82.103.0.0,82.103.63.255,hosting,AT,AS1764 
82.103.64.0,82.103.64.255,business,BG,AS44179 
82.103.65.0,82.103.65.159,business,BG,AS8717 
82.103.65.160,82.103.65.191,isp,BG,AS8717 
82.103.65.192,82.103.65.239,business,BG,AS8717 
82.103.65.240,82.103.75.255,isp,BG,AS8717 
82.103.76.0,82.103.78.255,isp,BG,AS29580 
82.103.79.0,82.103.79.255,hosting,BG,AS203312 
82.103.80.0,82.103.80.255,isp,BG,AS35464 
82.103.81.0,82.103.81.255,isp,BG,AS8717 
82.103.82.0,82.103.82.255,hosting,BG,AS202209 
82.103.83.0,82.103.83.255,isp,BG,AS29580 
82.103.84.0,82.103.86.255,isp,BG,AS8717 
82.103.87.0,82.103.87.255,isp,BG,AS42086 
82.103.88.0,82.103.89.255,isp,BG,AS8717 
82.103.90.0,82.103.90.255,business,BG,AS8717 
82.103.91.0,82.103.94.255,isp,BG,AS8717 
82.103.95.0,82.103.95.255,business,BG,AS8717 
82.103.96.0,82.103.99.255,isp,BG,AS8717 
82.103.100.0,82.103.100.255,isp,BG,AS29580 
82.103.101.0,82.103.101.127,isp,BG,AS8717 
82.103.101.128,82.103.101.159,business,BG,AS8717 
82.103.101.160,82.103.103.255,isp,BG,AS8717 
82.103.104.0,82.103.104.255,hosting,BG,AS35464 
82.103.105.0,82.103.105.255,business,BG,AS7155 
82.103.106.0,82.103.108.255,isp,BG,AS8717 
82.103.109.0,82.103.109.255,business,BG,AS8717 
82.103.110.0,82.103.111.255,isp,BG,AS8717 
82.103.112.0,82.103.112.255,isp,BG,AS42794 
82.103.113.0,82.103.123.255,isp,BG,AS8717 
82.103.124.0,82.103.124.255,isp,BG,AS29580 
82.103.125.0,82.103.125.255,business,BG,AS198003 
82.103.126.0,82.103.127.255,business,BG,AS8717 
82.103.128.0,82.103.144.255,hosting,DK,AS30736 
82.103.145.0,82.103.145.255,hosting,DE,AS30736 
82.103.146.0,82.103.191.255,hosting,DK,AS30736 
82.103.192.0,82.103.255.255,isp,FI,AS719 
