82.212.0.0,82.212.63.255,isp,DE,AS3209 
82.212.64.0,82.212.127.255,isp,JO,AS47887 
82.212.128.0,82.212.191.255,isp,BE,AS12392 
82.212.192.0,82.212.197.255,hosting,DE,AS13289 
82.212.198.0,82.212.198.255,isp,DE,AS29624 
82.212.199.0,82.212.203.191,hosting,DE,AS13289 
82.212.203.192,82.212.203.255,business,DE,AS29624 
82.212.204.0,82.212.212.255,hosting,DE,AS13289 
82.212.213.0,82.212.213.31,isp,DE,AS29624 
82.212.213.32,82.212.213.255,hosting,DE,AS13289 
82.212.214.0,82.212.214.15,isp,DE,AS29624 
82.212.214.16,82.212.214.255,hosting,DE,AS13289 
82.212.215.0,82.212.215.63,isp,DE,AS29624 
82.212.215.64,82.212.215.127,hosting,DE,AS13289 
82.212.215.128,82.212.215.255,isp,DE,AS29624 
82.212.216.0,82.212.216.31,hosting,DE,AS13289 
82.212.216.32,82.212.216.39,isp,DE,AS29624 
82.212.216.40,82.212.216.63,hosting,DE,AS13289 
82.212.216.64,82.212.216.87,business,DE,AS29624 
82.212.216.88,82.212.216.95,isp,DE,AS29624 
82.212.216.96,82.212.216.103,business,DE,AS29624 
82.212.216.104,82.212.216.111,isp,DE,AS29624 
82.212.216.112,82.212.216.127,business,DE,AS29624 
82.212.216.128,82.212.216.135,isp,DE,AS29624 
82.212.216.136,82.212.216.143,business,DE,AS29624 
82.212.216.144,82.212.216.151,isp,DE,AS29624 
82.212.216.152,82.212.216.167,hosting,DE,AS13289 
82.212.216.168,82.212.216.199,isp,DE,AS29624 
82.212.216.200,82.212.216.255,hosting,DE,AS13289 
82.212.217.0,82.212.217.23,business,DE,AS29624 
82.212.217.24,82.212.217.31,isp,DE,AS29624 
82.212.217.32,82.212.217.39,hosting,DE,AS13289 
82.212.217.40,82.212.217.47,business,DE,AS29624 
82.212.217.48,82.212.217.71,hosting,DE,AS13289 
82.212.217.72,82.212.217.94,business,DE,AS29624 
82.212.217.95,82.212.217.111,hosting,DE,AS13289 
82.212.217.112,82.212.217.119,isp,DE,AS29624 
82.212.217.120,82.212.217.127,hosting,DE,AS13289 
82.212.217.128,82.212.217.167,business,DE,AS29624 
82.212.217.168,82.212.217.175,hosting,DE,AS13289 
82.212.217.176,82.212.217.191,business,DE,AS29624 
82.212.217.192,82.212.217.223,hosting,DE,AS13289 
82.212.217.224,82.212.217.255,business,DE,AS29624 
82.212.218.0,82.212.218.127,isp,DE,AS29624 
82.212.218.128,82.212.218.191,hosting,DE,AS13289 
82.212.218.192,82.212.218.239,business,DE,AS29624 
82.212.218.240,82.212.218.255,hosting,DE,AS13289 
82.212.219.0,82.212.219.7,isp,DE,AS29624 
82.212.219.8,82.212.219.31,business,DE,AS29624 
82.212.219.32,82.212.219.47,isp,DE,AS29624 
82.212.219.48,82.212.219.95,business,DE,AS29624 
82.212.219.96,82.212.219.103,isp,DE,AS29624 
82.212.219.104,82.212.219.167,business,DE,AS29624 
82.212.219.168,82.212.219.191,isp,DE,AS29624 
82.212.219.192,82.212.219.207,hosting,DE,AS13289 
82.212.219.208,82.212.219.215,isp,DE,AS29624 
82.212.219.216,82.212.219.223,business,DE,AS29624 
82.212.219.224,82.212.219.255,hosting,DE,AS13289 
82.212.220.0,82.212.220.63,isp,DE,AS29624 
82.212.220.64,82.212.220.95,hosting,DE,AS13289 
82.212.220.96,82.212.220.127,isp,DE,AS29624 
82.212.220.128,82.212.220.191,hosting,DE,AS13289 
82.212.220.192,82.212.220.199,isp,DE,AS29624 
82.212.220.200,82.212.220.223,hosting,DE,AS13289 
82.212.220.224,82.212.220.231,business,DE,AS29624 
82.212.220.232,82.212.220.239,hosting,DE,AS13289 
82.212.220.240,82.212.220.243,business,DE,AS29624 
82.212.220.244,82.212.220.255,hosting,DE,AS13289 
82.212.221.0,82.212.222.191,isp,DE,AS29624 
82.212.222.192,82.212.222.223,hosting,DE,AS13289 
82.212.222.224,82.212.222.239,business,DE,AS29624 
82.212.222.240,82.212.222.255,hosting,DE,AS13289 
82.212.223.0,82.212.223.255,isp,DE,AS29624 
82.212.224.0,82.212.247.255,hosting,DE,AS13289 
82.212.248.0,82.212.248.11,business,DE,AS13289 
82.212.248.12,82.212.248.63,hosting,DE,AS13289 
82.212.248.64,82.212.248.79,business,DE,AS13289 
82.212.248.80,82.212.248.87,hosting,DE,AS13289 
82.212.248.88,82.212.248.95,business,DE,AS13289 
82.212.248.96,82.212.250.95,hosting,DE,AS13289 
82.212.250.96,82.212.250.111,business,DE,AS13289 
82.212.250.112,82.212.250.231,hosting,DE,AS13289 
82.212.250.232,82.212.250.239,business,DE,AS13289 
82.212.250.240,82.212.250.247,hosting,DE,AS13289 
82.212.250.248,82.212.251.31,business,DE,AS13289 
82.212.251.32,82.212.253.255,hosting,DE,AS13289 
82.212.254.0,82.212.255.255,isp,DE,AS13289 
