82.130.0.0,82.130.63.255,education,FI,AS39857 
82.130.64.0,82.130.127.255,education,CH,AS559 
82.130.128.0,82.130.140.31,isp,ES,AS12338 
82.130.140.32,82.130.140.33,business,ES,AS12338 
82.130.140.34,82.130.140.39,isp,ES,AS12338 
82.130.140.40,82.130.140.40,business,ES,AS12338 
82.130.140.41,82.130.140.41,isp,ES,AS12338 
82.130.140.42,82.130.140.57,business,ES,AS12338 
82.130.140.58,82.130.140.75,isp,ES,AS12338 
82.130.140.76,82.130.140.79,business,ES,AS12338 
82.130.140.80,82.130.140.87,isp,ES,AS12338 
82.130.140.88,82.130.140.96,business,ES,AS12338 
82.130.140.97,82.130.140.104,isp,ES,AS12338 
82.130.140.105,82.130.140.105,business,ES,AS12338 
82.130.140.106,82.130.140.106,isp,ES,AS12338 
82.130.140.107,82.130.140.107,business,ES,AS12338 
82.130.140.108,82.130.140.133,isp,ES,AS12338 
82.130.140.134,82.130.140.134,business,ES,AS12338 
82.130.140.135,82.130.140.140,isp,ES,AS12338 
82.130.140.141,82.130.140.141,business,ES,AS12338 
82.130.140.142,82.130.140.143,isp,ES,AS12338 
82.130.140.144,82.130.140.144,business,ES,AS12338 
82.130.140.145,82.130.140.145,isp,ES,AS12338 
82.130.140.146,82.130.140.147,business,ES,AS12338 
82.130.140.148,82.130.140.149,isp,ES,AS12338 
82.130.140.150,82.130.140.152,business,ES,AS12338 
82.130.140.153,82.130.140.158,isp,ES,AS12338 
82.130.140.159,82.130.140.159,business,ES,AS12338 
82.130.140.160,82.130.140.162,isp,ES,AS12338 
82.130.140.163,82.130.140.164,business,ES,AS12338 
82.130.140.165,82.130.140.171,isp,ES,AS12338 
82.130.140.172,82.130.140.172,business,ES,AS12338 
82.130.140.173,82.130.140.179,isp,ES,AS12338 
82.130.140.180,82.130.140.180,business,ES,AS12338 
82.130.140.181,82.130.142.52,isp,ES,AS12338 
82.130.142.53,82.130.142.53,business,ES,AS12338 
82.130.142.54,82.130.143.33,isp,ES,AS12338 
82.130.143.34,82.130.143.34,business,ES,AS12338 
82.130.143.35,82.130.143.47,isp,ES,AS12338 
82.130.143.48,82.130.143.48,business,ES,AS12338 
82.130.143.49,82.130.143.97,isp,ES,AS12338 
82.130.143.98,82.130.143.98,business,ES,AS12338 
82.130.143.99,82.130.143.103,isp,ES,AS12338 
82.130.143.104,82.130.143.104,business,ES,AS12338 
82.130.143.105,82.130.143.105,isp,ES,AS12338 
82.130.143.106,82.130.143.106,business,ES,AS12338 
82.130.143.107,82.130.143.109,isp,ES,AS12338 
82.130.143.110,82.130.143.111,business,ES,AS12338 
