154.126.0.0,154.126.127.255,isp,MG,AS37054 
154.126.128.0,154.126.129.255,business,CM,AS15964 
154.126.130.0,154.126.130.15,business,CM, 
154.126.130.16,154.126.159.255,business,CM,AS15964 
154.126.160.0,154.126.191.255,isp,CM,AS36905 
154.126.192.0,154.126.223.255,isp,ZA,AS327750 
154.126.224.0,154.126.235.255,isp,TZ, 
154.126.236.0,154.126.239.255,business,TZ, 
154.126.240.0,154.126.255.255,isp,TZ, 
