154.120.0.0,154.120.63.255,education,GH 
154.120.64.0,154.120.127.255,isp,NG 
154.120.128.0,154.120.191.255,isp,MG 
154.120.192.0,154.120.195.255,isp,ZA 
154.120.196.0,154.120.199.255,isp,KE 
154.120.200.0,154.120.201.255,isp,UG 
154.120.202.0,154.120.203.255,isp,RW 
154.120.204.0,154.120.205.255,isp,CD 
154.120.206.0,154.120.207.255,isp,ZM 
154.120.208.0,154.120.209.255,isp,ZW 
154.120.210.0,154.120.211.255,isp,BW 
154.120.212.0,154.120.213.255,isp,MZ 
154.120.214.0,154.120.215.255,isp,TZ 
154.120.216.0,154.120.223.255,isp,ZM 
154.120.224.0,154.120.255.255,isp,ZW 
