154.198.0.0,154.198.0.255,isp,PG,AS58460 
154.198.1.0,154.198.1.255,isp,ZA,AS23764 
154.198.2.0,154.198.2.255,isp,KE,AS23764 
154.198.3.0,154.198.3.255,isp,AE,AS23764 
154.198.4.0,154.198.7.255,isp,PH,AS137184 
154.198.8.0,154.198.8.255,business,PK, 
154.198.9.0,154.198.10.255,business,VN, 
154.198.11.0,154.198.11.255,hosting,US,AS20457 
154.198.12.0,154.198.12.255,hosting,US,AS396073 
154.198.13.0,154.198.13.255,business,PK,AS17557 
154.198.14.0,154.198.15.255,business,PH,AS134687 
154.198.16.0,154.198.16.255,isp,US,AS212238 
154.198.17.0,154.198.31.255,isp,US,AS7018 
154.198.32.0,154.198.35.255,business,US,AS15221 
154.198.36.0,154.198.39.255,business,LT, 
154.198.40.0,154.198.47.255,isp,US,AS39600 
154.198.48.0,154.198.55.255,hosting,HK,AS138995 
154.198.56.0,154.198.62.255,business,CO,AS267834 
154.198.63.0,154.198.63.255,business,PK, 
154.198.64.0,154.198.127.255,isp,PK,AS45669 
154.198.128.0,154.198.154.255,business,HK,AS55933 
154.198.155.0,154.198.155.255,business,US,AS55933 
154.198.156.0,154.198.159.255,business,HK,AS55933 
154.198.160.0,154.198.160.255,business,RU, 
154.198.161.0,154.198.163.255,business,UA, 
154.198.164.0,154.198.165.255,business,MM,AS151606 
154.198.166.0,154.198.167.255,business,MM, 
154.198.168.0,154.198.171.255,business,VN,AS150698 
154.198.172.0,154.198.172.255,isp,EC,AS27947 
154.198.173.0,154.198.173.255,hosting,IN,AS209242 
154.198.174.0,154.198.175.255,business,US,AS29802 
154.198.176.0,154.198.183.255,business,AE,AS29802 
154.198.184.0,154.198.185.255,business,US,AS29802 
154.198.186.0,154.198.187.255,business,MX,AS28419 
154.198.188.0,154.198.191.255,business,ZA, 
154.198.192.0,154.198.195.255,hosting,US,AS40065 
154.198.196.0,154.198.196.255,business,US,AS40065 
154.198.197.0,154.198.201.255,hosting,US,AS40065 
154.198.202.0,154.198.207.255,business,US,AS40065 
154.198.208.0,154.198.216.255,hosting,US,AS40065 
154.198.217.0,154.198.220.255,business,US,AS40065 
154.198.221.0,154.198.223.255,hosting,US,AS40065 
154.198.224.0,154.198.224.255,business,US,AS40065 
154.198.225.0,154.198.225.255,hosting,US,AS40065 
154.198.226.0,154.198.226.255,business,US,AS40065 
154.198.227.0,154.198.240.255,hosting,US,AS40065 
154.198.241.0,154.198.241.255,business,US,AS40065 
154.198.242.0,154.198.248.255,hosting,US,AS40065 
154.198.249.0,154.198.250.255,business,US,AS40065 
154.198.251.0,154.198.251.255,hosting,US,AS40065 
154.198.252.0,154.198.253.255,business,US,AS40065 
154.198.254.0,154.198.254.255,hosting,US,AS40065 
154.198.255.0,154.198.255.255,business,US,AS40065 
