163.171.0.0,163.171.63.255,government,GB,AS204222 
163.171.64.0,163.171.64.255,hosting,AU,AS54994 
163.171.65.0,163.171.65.255,business,PH,AS4775 
163.171.66.0,163.171.66.255,hosting,SG,AS54994 
163.171.67.0,163.171.67.255,business,ID,AS4787 
163.171.68.0,163.171.68.255,business,TH,AS7470 
163.171.69.0,163.171.69.255,hosting,US,AS54994 
163.171.70.0,163.171.70.255,hosting,AE,AS54994 
163.171.71.0,163.171.71.255,hosting,US,AS54994 
163.171.72.0,163.171.72.255,hosting,KR,AS38107 
163.171.73.0,163.171.74.255,business,KR, 
163.171.75.0,163.171.75.255,hosting,KR,AS38107 
163.171.76.0,163.171.76.255,business,KR, 
163.171.77.0,163.171.77.255,business,KR,AS2914 
163.171.78.0,163.171.79.255,business,KR, 
163.171.80.0,163.171.81.255,hosting,PH,AS54994 
163.171.82.0,163.171.82.255,business,KR,AS54994 
163.171.83.0,163.171.83.255,hosting,JP,AS54994 
163.171.84.0,163.171.85.255,business,JP,AS54994 
163.171.86.0,163.171.86.255,hosting,PH,AS54994 
163.171.87.0,163.171.87.255,hosting,US,AS54994 
163.171.88.0,163.171.88.255,business,AE,AS54994 
163.171.89.0,163.171.89.255,business,CA,AS174 
163.171.90.0,163.171.91.255,business,HK,AS2914 
163.171.92.0,163.171.92.255,hosting,KR,AS38107 
163.171.93.0,163.171.93.255,hosting,KR,AS54994 
163.171.94.0,163.171.94.255,hosting,JP,AS54994 
163.171.95.0,163.171.95.255,business,KR, 
163.171.96.0,163.171.96.255,hosting,SG,AS54994 
163.171.97.0,163.171.98.255,hosting,PH,AS54994 
163.171.99.0,163.171.99.255,hosting,KR,AS54994 
163.171.100.0,163.171.100.255,hosting,US,AS54994 
163.171.101.0,163.171.101.255,hosting,ID,AS54994 
163.171.102.0,163.171.104.255,business,ID,AS54994 
163.171.105.0,163.171.106.255,hosting,TH,AS4651 
163.171.107.0,163.171.107.255,business,KR, 
163.171.108.0,163.171.108.255,hosting,TH,AS4651 
163.171.109.0,163.171.109.255,hosting,KR,AS54994 
163.171.110.0,163.171.110.255,hosting,AR,AS54994 
163.171.111.0,163.171.111.255,business,KR, 
163.171.112.0,163.171.113.255,hosting,KR,AS54994 
163.171.114.0,163.171.119.255,hosting,US,AS54994 
163.171.120.0,163.171.121.255,hosting,TH,AS4651 
163.171.122.0,163.171.123.255,business,TH,AS7470 
163.171.124.0,163.171.124.255,hosting,KR,AS54994 
163.171.125.0,163.171.126.255,hosting,TR,AS54994 
163.171.127.0,163.171.127.255,hosting,KR,AS54994 
163.171.128.0,163.171.128.255,hosting,DE,AS54994 
163.171.129.0,163.171.130.255,hosting,GB,AS54994 
163.171.131.0,163.171.131.255,hosting,FR,AS54994 
163.171.132.0,163.171.132.255,hosting,DE,AS54994 
163.171.133.0,163.171.136.255,hosting,KR,AS54994 
163.171.137.0,163.171.137.255,hosting,UA,AS54994 
163.171.138.0,163.171.139.255,hosting,KR,AS54994 
163.171.140.0,163.171.140.255,hosting,NL,AS54994 
163.171.141.0,163.171.141.255,hosting,KR,AS54994 
163.171.142.0,163.171.142.255,business,KR,AS54994 
163.171.143.0,163.171.143.255,business,BE, 
163.171.144.0,163.171.144.255,business,GB,AS54994 
163.171.145.0,163.171.145.255,hosting,NL,AS54994 
163.171.146.0,163.171.146.255,hosting,GB,AS54994 
163.171.147.0,163.171.147.255,hosting,KR,AS54994 
163.171.148.0,163.171.148.255,business,TH,AS7470 
163.171.149.0,163.171.150.255,hosting,KR,AS54994 
163.171.151.0,163.171.151.255,business,KR,AS54994 
163.171.152.0,163.171.152.255,hosting,SA,AS54994 
163.171.153.0,163.171.153.255,hosting,RU,AS204720 
163.171.154.0,163.171.154.255,hosting,PT,AS54994 
163.171.155.0,163.171.155.255,hosting,CA,AS54994 
163.171.156.0,163.171.156.255,hosting,DE,AS54994 
163.171.157.0,163.171.157.255,hosting,KR,AS54994 
163.171.158.0,163.171.158.255,business,KR,AS54994 
163.171.159.0,163.171.159.255,hosting,KR,AS54994 
163.171.160.0,163.171.160.255,hosting,NL,AS54994 
163.171.161.0,163.171.161.255,hosting,GB,AS54994 
163.171.162.0,163.171.162.255,hosting,KR,AS54994 
163.171.163.0,163.171.163.255,hosting,ID,AS54994 
163.171.164.0,163.171.164.255,hosting,KR,AS54994 
163.171.165.0,163.171.165.255,business,ID,AS54994 
163.171.166.0,163.171.166.255,hosting,US,AS54994 
163.171.167.0,163.171.167.255,hosting,ID,AS54994 
163.171.168.0,163.171.170.255,hosting,TH,AS54994 
163.171.171.0,163.171.171.255,hosting,PH,AS54994 
163.171.172.0,163.171.172.255,hosting,ID,AS54994 
163.171.173.0,163.171.173.255,hosting,SG,AS54994 
163.171.174.0,163.171.174.255,hosting,ES,AS54994 
163.171.175.0,163.171.175.255,hosting,BR,AS54994 
163.171.176.0,163.171.177.255,hosting,ZA,AS54994 
163.171.178.0,163.171.178.255,business,AE,AS54994 
163.171.179.0,163.171.179.255,hosting,OM,AS54994 
163.171.180.0,163.171.180.255,business,EG,AS54994 
163.171.181.0,163.171.181.255,business,KW,AS54994 
163.171.182.0,163.171.184.255,hosting,PH,AS54994 
163.171.185.0,163.171.185.255,business,KR,AS54994 
163.171.186.0,163.171.186.255,hosting,KR,AS54994 
163.171.187.0,163.171.187.255,business,TH,AS54994 
163.171.188.0,163.171.188.255,hosting,TH,AS54994 
163.171.189.0,163.171.189.255,business,TH,AS54994 
163.171.190.0,163.171.190.255,business,MM,AS54994 
163.171.191.0,163.171.191.255,business,ID,AS18004 
163.171.192.0,163.171.192.255,hosting,US,AS54994 
163.171.193.0,163.171.193.255,hosting,KR,AS54994 
163.171.194.0,163.171.195.255,hosting,US,AS54994 
163.171.196.0,163.171.197.255,hosting,AU,AS54994 
163.171.198.0,163.171.198.255,hosting,CN,AS54994 
163.171.199.0,163.171.199.255,business,IN,AS54994 
163.171.200.0,163.171.201.255,hosting,KR,AS54994 
163.171.202.0,163.171.202.255,business,KR, 
163.171.203.0,163.171.203.255,hosting,KR,AS54994 
163.171.204.0,163.171.206.255,hosting,IN,AS54994 
163.171.207.0,163.171.207.255,business,SA,AS54994 
163.171.208.0,163.171.208.255,hosting,KR,AS54994 
163.171.209.0,163.171.209.255,hosting,SG,AS54994 
163.171.210.0,163.171.210.255,hosting,KR,AS54994 
163.171.211.0,163.171.211.255,hosting,SG,AS54994 
163.171.212.0,163.171.212.255,business,TH,AS54994 
163.171.213.0,163.171.214.255,hosting,KR,AS54994 
163.171.215.0,163.171.216.255,business,TR, 
163.171.217.0,163.171.217.255,hosting,KR,AS54994 
163.171.218.0,163.171.218.255,hosting,VN,AS36408 
163.171.219.0,163.171.219.255,business,KR,AS54994 
163.171.220.0,163.171.220.255,hosting,ID,AS54994 
163.171.221.0,163.171.221.255,hosting,KR,AS54994 
163.171.222.0,163.171.222.255,hosting,TW,AS54994 
163.171.223.0,163.171.223.255,business,ID,AS23700 
163.171.224.0,163.171.224.255,business,GB,AS54994 
163.171.225.0,163.171.225.255,hosting,SG,AS54994 
163.171.226.0,163.171.226.255,hosting,US,AS54994 
163.171.227.0,163.171.233.255,hosting,KR,AS54994 
163.171.234.0,163.171.234.255,hosting,US,AS54994 
163.171.235.0,163.171.245.255,hosting,KR,AS54994 
163.171.246.0,163.171.246.255,business,KR,AS2914 
163.171.247.0,163.171.247.255,hosting,US,AS54994 
163.171.248.0,163.171.250.255,hosting,KR,AS54994 
163.171.251.0,163.171.251.255,hosting,US,AS54994 
163.171.252.0,163.171.252.255,hosting,KR,AS54994 
163.171.253.0,163.171.255.255,hosting,US,AS54994 
