2.182.32.0,2.182.43.255,business,IR,AS12880 
2.182.44.0,2.182.95.255,business,IR,AS58224 
2.182.96.0,2.182.123.255,business,IR,AS12880 
2.182.124.0,2.182.127.255,business,IR,AS58224 
2.182.128.0,2.182.135.255,isp,IR,AS58224 
2.182.136.0,2.182.143.255,business,IR,AS58224 
2.182.144.0,2.182.155.255,business,IR,AS12880 
2.182.156.0,2.182.163.255,business,IR,AS58224 
2.182.164.0,2.182.167.255,isp,IR,AS58224 
2.182.168.0,2.182.173.255,business,IR,AS12880 
2.182.174.0,2.182.174.255,isp,IR,AS58224 
2.182.175.0,2.182.175.255,business,IR,AS12880 
2.182.176.0,2.182.183.255,business,IR,AS58224 
2.182.184.0,2.182.201.255,business,IR,AS12880 
2.182.202.0,2.182.203.255,isp,IR,AS58224 
2.182.204.0,2.182.213.255,business,IR,AS12880 
2.182.214.0,2.182.249.255,business,IR,AS58224 
2.182.250.0,2.182.251.255,business,IR,AS12880 
2.182.252.0,2.182.252.255,business,IR,AS58224 
2.182.253.0,2.182.253.255,business,IR,AS12880 
2.182.254.0,2.182.254.255,business,IR,AS58224 
2.182.255.0,2.182.255.255,business,IR,AS12880 
