2.187.32.0,2.187.32.255,isp,IR,AS58224 
2.187.33.0,2.187.127.255,business,IR,AS58224 
2.187.128.0,2.187.128.255,isp,IR,AS58224 
2.187.129.0,2.187.129.255,business,IR,AS58224 
2.187.130.0,2.187.130.255,education,IR,AS58224 
2.187.131.0,2.187.191.255,business,IR,AS58224 
2.187.192.0,2.187.203.255,business,,AS58224 
2.187.204.0,2.187.251.255,business,IR,AS58224 
2.187.252.0,2.187.252.255,business,IR,AS12880 
2.187.253.0,2.187.253.127,business,IR,AS60148 
2.187.253.128,2.187.255.255,business,IR,AS12880 
