65.172.24.0,65.172.27.255,isp,BB,AS14813 
65.172.28.0,65.172.30.255,isp,US,AS174 
65.172.31.0,65.172.31.255,business,US,AS174 
65.172.32.0,65.172.38.255,isp,US,AS174 
65.172.39.0,65.172.39.255,business,US,AS46131 
65.172.40.0,65.172.46.95,isp,US,AS174 
65.172.46.96,65.172.46.127,business,US,AS174 
65.172.46.128,65.172.47.255,isp,US,AS174 
65.172.48.0,65.172.51.255,business,HN,AS174 
65.172.52.0,65.172.53.255,isp,US,AS174 
65.172.54.0,65.172.54.255,business,US,AS1647 
65.172.55.0,65.172.57.47,isp,US,AS174 
65.172.57.48,65.172.57.63,business,US,AS174 
65.172.57.64,65.172.57.207,isp,US,AS174 
65.172.57.208,65.172.57.223,business,US,AS174 
65.172.57.224,65.172.70.255,isp,US,AS174 
65.172.71.0,65.172.71.255,business,US,AS174 
65.172.72.0,65.172.73.255,isp,US,AS18632 
65.172.74.0,65.172.103.47,isp,US,AS174 
65.172.103.48,65.172.103.63,business,US,AS174 
65.172.103.64,65.172.131.255,isp,US,AS174 
65.172.132.0,65.172.132.255,business,US,AS174 
65.172.133.0,65.172.133.7,isp,US,AS174 
65.172.133.8,65.172.133.15,business,US,AS174 
65.172.133.16,65.172.133.63,isp,US,AS174 
65.172.133.64,65.172.133.127,business,US,AS174 
65.172.133.128,65.172.167.255,isp,US,AS174 
65.172.168.0,65.172.175.255,business,US,AS174 
65.172.176.0,65.172.176.95,isp,US,AS174 
65.172.176.96,65.172.176.111,business,US,AS174 
65.172.176.112,65.172.193.31,isp,US,AS174 
65.172.193.32,65.172.193.63,business,US,AS174 
65.172.193.64,65.172.193.191,isp,US,AS174 
65.172.193.192,65.172.193.223,business,US,AS174 
65.172.193.224,65.172.193.239,isp,US,AS174 
65.172.193.240,65.172.193.255,business,US,AS174 
65.172.194.0,65.172.239.255,isp,US,AS174 
65.172.240.0,65.172.243.255,business,US,AS174 
65.172.244.0,65.172.247.255,isp,US,AS18435 
65.172.248.0,65.173.0.55,isp,US,AS174 
