201.216.0.0,201.216.63.255,isp,CO 
201.216.64.0,201.216.75.255,isp,BR 
201.216.80.0,201.216.103.255,isp,BR 
201.216.104.0,201.216.107.255,business,BR 
201.216.108.0,201.216.112.255,isp,BR 
201.216.113.0,201.216.113.255,business,BR 
201.216.114.0,201.216.114.255,isp,BR 
201.216.115.0,201.216.115.255,business,BR 
201.216.116.0,201.216.119.255,isp,BR 
201.216.120.0,201.216.123.127,business,BR 
201.216.123.128,201.216.127.255,isp,BR 
201.216.128.0,201.216.191.255,isp,GT 
201.216.192.0,201.216.209.159,isp,AR 
201.216.209.160,201.216.209.167,business,US 
201.216.209.168,201.216.226.63,isp,AR 
201.216.226.64,201.216.226.95,business,AR 
201.216.226.96,201.216.227.127,isp,AR 
201.216.227.128,201.216.227.143,business,AR 
201.216.227.144,201.216.231.255,isp,AR 
201.216.232.0,201.216.232.31,business,AR 
201.216.232.32,201.216.249.127,isp,AR 
201.216.249.128,201.216.249.143,business,AR 
201.216.249.144,201.216.255.95,isp,AR 
201.216.255.96,201.216.255.127,business,AR 
201.216.255.128,201.216.255.255,isp,AR 
