201.245.5.144,201.245.5.151,education,CO 
201.245.5.152,201.245.104.7,isp,CO 
201.245.104.8,201.245.104.15,education,CO 
201.245.104.16,201.245.119.87,isp,CO 
201.245.119.88,201.245.119.95,business,CO 
201.245.119.96,201.245.160.255,isp,CO 
201.245.161.0,201.245.161.3,education,CO 
201.245.161.4,201.245.161.15,isp,CO 
201.245.161.16,201.245.161.23,business,CO 
201.245.161.24,201.245.161.39,isp,CO 
201.245.161.40,201.245.161.55,business,CO 
201.245.161.56,201.245.161.63,education,CO 
201.245.161.64,201.245.161.71,isp,CO 
201.245.161.72,201.245.161.79,business,CO 
201.245.161.80,201.245.161.111,isp,CO 
201.245.161.112,201.245.161.119,business,CO 
201.245.161.120,201.245.161.127,isp,CO 
201.245.161.128,201.245.161.135,business,CO 
201.245.161.136,201.245.161.143,isp,CO 
201.245.161.144,201.245.161.167,business,CO 
201.245.161.168,201.245.161.175,isp,CO 
201.245.161.176,201.245.161.183,business,CO 
201.245.161.184,201.245.161.191,isp,CO 
201.245.161.192,201.245.161.199,business,CO 
201.245.161.200,201.245.161.215,isp,CO 
201.245.161.216,201.245.161.255,business,CO 
201.245.162.0,201.245.162.23,education,CO 
201.245.162.24,201.245.162.63,business,CO 
201.245.162.64,201.245.162.71,isp,CO 
201.245.162.72,201.245.162.111,business,CO 
201.245.162.112,201.245.162.119,isp,CO 
201.245.162.120,201.245.162.135,business,CO 
201.245.162.136,201.245.162.143,isp,CO 
201.245.162.144,201.245.162.151,business,CO 
201.245.162.152,201.245.162.167,isp,CO 
201.245.162.168,201.245.162.175,business,CO 
201.245.162.176,201.245.162.191,isp,CO 
201.245.162.192,201.245.162.223,business,CO 
201.245.162.224,201.245.162.231,isp,CO 
201.245.162.232,201.245.162.255,business,CO 
201.245.163.0,201.245.163.71,isp,CO 
201.245.163.72,201.245.163.79,business,CO 
201.245.163.80,201.245.163.87,isp,CO 
201.245.163.88,201.245.163.95,education,CO 
201.245.163.96,201.245.164.63,business,CO 
201.245.164.64,201.245.164.71,isp,CO 
201.245.164.72,201.245.164.79,education,CO 
201.245.164.80,201.245.164.119,business,CO 
201.245.164.120,201.245.164.127,isp,CO 
201.245.164.128,201.245.164.131,business,CO 
201.245.164.132,201.245.164.135,education,CO 
201.245.164.136,201.245.164.143,business,CO 
201.245.164.144,201.245.164.151,isp,CO 
201.245.164.152,201.245.164.159,business,CO 
201.245.164.160,201.245.164.223,isp,CO 
201.245.164.224,201.245.165.63,business,CO 
201.245.165.64,201.245.165.71,isp,CO 
201.245.165.72,201.245.165.79,business,CO 
201.245.165.80,201.245.165.87,isp,CO 
201.245.165.88,201.245.165.91,business,CO 
201.245.165.92,201.245.165.103,isp,CO 
201.245.165.104,201.245.165.111,business,CO 
201.245.165.112,201.245.165.119,isp,CO 
201.245.165.120,201.245.165.127,education,CO 
201.245.165.128,201.245.165.159,isp,CO 
201.245.165.160,201.245.165.191,business,CO 
201.245.165.192,201.245.165.207,isp,CO 
201.245.165.208,201.245.165.215,business,CO 
201.245.165.216,201.245.165.223,isp,CO 
201.245.165.224,201.245.165.231,business,CO 
201.245.165.232,201.245.165.247,isp,CO 
201.245.165.248,201.245.165.255,business,CO 
201.245.166.0,201.245.166.15,isp,CO 
201.245.166.16,201.245.166.31,business,CO 
201.245.166.32,201.245.166.55,isp,CO 
201.245.166.56,201.245.166.79,business,CO 
201.245.166.80,201.245.166.107,isp,CO 
201.245.166.108,201.245.166.119,business,CO 
201.245.166.120,201.245.166.127,isp,CO 
201.245.166.128,201.245.166.143,business,CO 
201.245.166.144,201.245.166.167,isp,CO 
201.245.166.168,201.245.166.183,business,CO 
201.245.166.184,201.245.166.191,isp,CO 
201.245.166.192,201.245.166.199,education,CO 
201.245.166.200,201.245.166.223,isp,CO 
201.245.166.224,201.245.166.231,business,CO 
201.245.166.232,201.245.166.247,isp,CO 
201.245.166.248,201.245.166.255,business,CO 
201.245.167.0,201.245.168.15,isp,CO 
