201.202.22.0,201.202.30.255,business,CR 
201.202.31.0,201.202.186.255,isp,CR 
201.202.187.0,201.202.187.255,business,CR 
201.202.188.0,201.202.193.255,isp,CR 
201.202.194.0,201.202.197.255,business,CR 
201.202.198.0,201.202.210.255,isp,CR 
201.202.211.0,201.202.211.255,business,CR 
201.202.212.0,201.202.214.255,isp,CR 
201.202.215.0,201.202.215.255,business,CR 
201.202.216.0,201.202.222.191,isp,CR 
201.202.222.192,201.202.222.207,business,CR 
201.202.222.208,201.202.225.255,isp,CR 
201.202.226.0,201.202.227.255,business,CR 
201.202.228.0,201.203.37.255,isp,CR 
