201.247.0.0,201.247.96.95,isp,SV 
201.247.96.96,201.247.96.103,business,SV 
201.247.96.104,201.247.97.167,isp,SV 
201.247.97.168,201.247.97.175,business,SV 
201.247.97.176,201.247.98.39,isp,SV 
201.247.98.40,201.247.98.47,business,SV 
201.247.98.48,201.247.99.127,isp,SV 
201.247.99.128,201.247.99.135,business,SV 
201.247.99.136,201.247.101.87,isp,SV 
201.247.101.88,201.247.101.95,business,SV 
201.247.101.96,201.247.101.135,isp,SV 
201.247.101.136,201.247.101.143,business,SV 
201.247.101.144,201.247.102.31,isp,SV 
201.247.102.32,201.247.102.63,business,SV 
201.247.102.64,201.247.102.79,isp,SV 
201.247.102.80,201.247.102.87,business,SV 
201.247.102.88,201.247.102.247,isp,SV 
201.247.102.248,201.247.102.255,business,SV 
201.247.103.0,201.247.103.159,isp,SV 
201.247.103.160,201.247.103.175,education,SV 
201.247.103.176,201.247.104.39,isp,SV 
201.247.104.40,201.247.104.47,business,SV 
201.247.104.48,201.247.104.207,isp,SV 
201.247.104.208,201.247.104.215,business,SV 
201.247.104.216,201.247.105.71,isp,SV 
201.247.105.72,201.247.105.87,education,SV 
201.247.105.88,201.247.107.119,isp,SV 
201.247.107.120,201.247.107.127,business,SV 
201.247.107.128,201.247.108.199,isp,SV 
201.247.108.200,201.247.108.207,business,SV 
201.247.108.208,201.247.111.255,isp,SV 
201.247.112.0,201.247.112.7,business,SV 
201.247.112.8,201.247.113.143,isp,SV 
201.247.113.144,201.247.113.151,business,SV 
201.247.113.152,201.247.119.143,isp,SV 
201.247.119.144,201.247.119.151,business,SV 
201.247.119.152,201.247.149.55,isp,SV 
201.247.149.56,201.247.149.63,business,SV 
201.247.149.64,201.247.149.119,isp,SV 
201.247.149.120,201.247.149.127,business,SV 
201.247.149.128,201.247.149.151,isp,SV 
201.247.149.152,201.247.149.155,education,SV 
201.247.149.156,201.247.151.207,isp,SV 
201.247.151.208,201.247.151.215,business,SV 
201.247.151.216,201.247.151.231,isp,SV 
201.247.151.232,201.247.151.239,business,SV 
201.247.151.240,201.247.173.95,isp,SV 
201.247.173.96,201.247.173.111,business,SV 
201.247.173.112,201.247.174.39,isp,SV 
201.247.174.40,201.247.174.47,business,SV 
201.247.174.48,201.247.174.79,isp,SV 
201.247.174.80,201.247.174.95,business,SV 
201.247.174.96,201.247.175.63,isp,SV 
201.247.175.64,201.247.175.71,business,SV 
201.247.175.72,201.247.176.55,isp,SV 
201.247.176.56,201.247.176.63,business,SV 
201.247.176.64,201.247.177.63,isp,SV 
201.247.177.64,201.247.177.71,business,SV 
201.247.177.72,201.247.177.119,isp,SV 
201.247.177.120,201.247.177.127,business,SV 
201.247.177.128,201.247.177.223,isp,SV 
201.247.177.224,201.247.177.255,business,SV 
201.247.178.0,201.247.178.119,isp,SV 
201.247.178.120,201.247.178.127,education,SV 
201.247.178.128,201.247.241.7,isp,SV 
201.247.241.8,201.247.241.79,education,SV 
201.247.241.80,201.247.241.87,isp,SV 
201.247.241.88,201.247.241.95,education,SV 
201.247.241.96,201.247.241.183,isp,SV 
201.247.241.184,201.247.241.199,education,SV 
201.247.241.200,201.247.255.255,isp,SV 
