116.115.10.0,116.115.15.255,isp,CN 
116.115.16.0,116.115.112.255,business,CN 
116.115.113.0,116.115.113.1,isp,CN 
116.115.113.2,116.115.113.2,business,CN 
116.115.113.3,116.115.113.5,isp,CN 
116.115.113.6,116.115.113.6,business,CN 
116.115.113.7,116.115.113.9,isp,CN 
116.115.113.10,116.115.113.10,business,CN 
116.115.113.11,116.115.113.13,isp,CN 
116.115.113.14,116.115.113.14,business,CN 
116.115.113.15,116.115.113.17,isp,CN 
116.115.113.18,116.115.113.18,business,CN 
116.115.113.19,116.115.113.21,isp,CN 
116.115.113.22,116.115.113.22,business,CN 
116.115.113.23,116.115.113.25,isp,CN 
116.115.113.26,116.115.113.26,business,CN 
116.115.113.27,116.115.113.29,isp,CN 
116.115.113.30,116.115.113.30,business,CN 
116.115.113.31,116.115.113.33,isp,CN 
116.115.113.34,116.115.113.38,business,CN 
116.115.113.39,116.115.113.41,isp,CN 
116.115.113.42,116.115.113.46,business,CN 
116.115.113.47,116.115.113.49,isp,CN 
116.115.113.50,116.115.113.54,business,CN 
116.115.113.55,116.115.113.57,isp,CN 
116.115.113.58,116.115.113.62,business,CN 
116.115.113.63,116.115.113.65,isp,CN 
116.115.113.66,116.115.113.70,business,CN 
116.115.113.71,116.115.113.255,isp,CN 
116.115.114.0,116.115.114.3,business,CN 
116.115.114.4,116.115.159.255,isp,CN 
116.115.160.0,116.115.175.255,business,CN 
116.115.176.0,116.115.191.255,isp,CN 
116.115.192.0,116.115.231.255,business,CN 
116.115.232.0,116.115.255.255,isp,CN 
