116.212.0.0,116.212.31.255,isp,KR,AS45361 
116.212.32.0,116.212.63.255,business,VN,AS55322 
116.212.64.0,116.212.71.255,isp,AU,AS17889 
116.212.72.0,116.212.79.255,business,ID,AS46030 
116.212.80.0,116.212.95.255,isp,TW, 
116.212.96.0,116.212.103.255,business,ID,AS38501 
116.212.104.0,116.212.104.255,isp,BD,AS38712 
116.212.105.0,116.212.105.15,business,BD,AS38712 
116.212.105.16,116.212.105.39,isp,BD,AS38712 
116.212.105.40,116.212.105.43,business,BD,AS38712 
116.212.105.44,116.212.105.87,isp,BD,AS38712 
116.212.105.88,116.212.105.91,business,BD,AS38712 
116.212.105.92,116.212.105.255,isp,BD,AS38712 
116.212.106.0,116.212.106.47,business,BD,AS38712 
116.212.106.48,116.212.106.191,isp,BD,AS38712 
116.212.106.192,116.212.106.195,business,BD,AS38712 
116.212.106.196,116.212.106.215,isp,BD,AS38712 
116.212.106.216,116.212.106.223,business,BD,AS38712 
116.212.106.224,116.212.106.231,isp,BD,AS38712 
116.212.106.232,116.212.106.235,business,BD,AS38712 
116.212.106.236,116.212.106.247,isp,BD,AS38712 
116.212.106.248,116.212.106.251,business,BD,AS38712 
116.212.106.252,116.212.108.35,isp,BD,AS38712 
116.212.108.36,116.212.108.39,business,BD,AS38712 
116.212.108.40,116.212.108.223,isp,BD,AS38712 
116.212.108.224,116.212.108.239,business,BD,AS38712 
116.212.108.240,116.212.109.191,isp,BD,AS38712 
116.212.109.192,116.212.109.199,business,BD,AS38712 
116.212.109.200,116.212.111.255,isp,BD,AS38712 
116.212.112.0,116.212.127.255,isp,HK,AS38186 
116.212.128.0,116.212.159.255,isp,KH,AS38235 
116.212.160.0,116.212.175.255,education,CN, 
116.212.176.0,116.212.180.255,business,IN,AS55839 
116.212.181.0,116.212.181.255,business,IN, 
116.212.182.0,116.212.183.255,business,IN,AS55839 
116.212.184.0,116.212.184.255,isp,BD,AS38556 
116.212.185.0,116.212.185.255,business,BD,AS45905 
116.212.186.0,116.212.186.0,business,BD,AS38556 
116.212.186.1,116.212.186.255,isp,BD,AS38556 
116.212.188.0,116.212.191.255,hosting,US,AS207990 
116.212.192.0,116.212.222.127,isp,AU,AS4826 
116.212.222.128,116.212.222.191,hosting,AU,AS4826 
116.212.222.192,116.212.255.255,isp,AU,AS4826 
