116.116.0.0,116.116.31.255,business,CN,AS4837 
116.116.32.0,116.116.158.255,isp,CN,AS4837 
116.116.159.0,116.116.159.27,business,CN,AS4837 
116.116.159.28,116.116.159.31,isp,CN,AS4837 
116.116.159.32,116.116.159.35,business,CN,AS4837 
116.116.159.36,116.116.159.39,isp,CN,AS4837 
116.116.159.40,116.116.159.87,business,CN,AS4837 
116.116.159.88,116.116.159.91,isp,CN,AS4837 
116.116.159.92,116.116.159.115,business,CN,AS4837 
116.116.159.116,116.116.159.119,isp,CN,AS4837 
116.116.159.120,116.116.159.151,business,CN,AS4837 
116.116.159.152,116.116.159.255,isp,CN,AS4837 
116.116.160.0,116.116.255.255,business,CN,AS4837 
