89.252.0.0,89.252.63.255,isp,UA,AS31148 
89.252.64.0,89.252.127.255,isp,RU,AS16301 
89.252.128.0,89.252.131.255,hosting,TR,AS51559 
89.252.132.0,89.252.133.255,business,TR,AS134094 
89.252.134.0,89.252.134.255,hosting,TR,AS42846 
89.252.135.0,89.252.135.255,hosting,TR,AS51559 
89.252.136.0,89.252.136.255,isp,TR,AS51559 
89.252.137.0,89.252.138.255,hosting,TR,AS42846 
89.252.139.0,89.252.140.255,hosting,TR,AS51559 
89.252.141.0,89.252.141.255,hosting,TR,AS213252 
89.252.142.0,89.252.142.255,hosting,TR,AS213274 
89.252.143.0,89.252.143.255,hosting,TR,AS51559 
89.252.144.0,89.252.144.255,business,TR, 
89.252.145.0,89.252.146.255,hosting,TR,AS51559 
89.252.147.0,89.252.147.255,business,TR, 
89.252.148.0,89.252.148.255,hosting,TR,AS51559 
89.252.149.0,89.252.150.255,business,TR, 
89.252.151.0,89.252.151.255,hosting,TR,AS207429 
89.252.152.0,89.252.152.255,business,TR,AS213274 
89.252.153.0,89.252.153.255,hosting,TR,AS213252 
89.252.154.0,89.252.154.255,business,TR,AS207429 
89.252.155.0,89.252.156.255,business,TR, 
89.252.157.0,89.252.157.255,hosting,TR,AS213274 
89.252.158.0,89.252.158.255,hosting,TR,AS51559 
89.252.159.0,89.252.159.255,hosting,TR,AS42846 
89.252.160.0,89.252.176.255,hosting,TR,AS51559 
89.252.177.0,89.252.177.255,business,TR, 
89.252.178.0,89.252.187.255,hosting,TR,AS42846 
89.252.188.0,89.252.191.255,hosting,TR,AS203576 
89.252.192.0,89.252.195.255,hosting,BG,AS8262 
89.252.196.0,89.252.196.255,education,BG,AS35503 
89.252.197.0,89.252.197.255,business,BG,AS35014 
89.252.198.0,89.252.198.255,business,BG,AS211526 
89.252.199.0,89.252.200.255,hosting,BG,AS8262 
89.252.201.0,89.252.201.255,business,BG,AS61301 
89.252.202.0,89.252.202.255,business,BG,AS201215 
89.252.203.0,89.252.203.255,hosting,BG,AS8262 
89.252.204.0,89.252.205.255,business,BG,AS211545 
89.252.206.0,89.252.207.255,business,BG,AS205343 
89.252.208.0,89.252.215.255,business,BG,AS8262 
89.252.216.0,89.252.219.255,isp,BG,AS25206 
89.252.220.0,89.252.221.255,hosting,BG,AS8262 
89.252.222.0,89.252.222.255,isp,BG,AS197184 
89.252.223.0,89.252.226.255,hosting,BG,AS8262 
89.252.227.0,89.252.227.255,hosting,BG,AS41703 
89.252.228.0,89.252.231.255,hosting,BG,AS8262 
89.252.232.0,89.252.239.255,isp,BG,AS25206 
89.252.240.0,89.252.241.255,hosting,BG,AS8262 
89.252.242.0,89.252.243.0,business,BG,AS205343 
89.252.243.1,89.252.245.255,hosting,BG,AS8262 
89.252.246.0,89.252.246.255,business,BG,AS8262 
89.252.247.0,89.252.247.255,hosting,BG,AS8262 
89.252.248.0,89.252.251.255,isp,BG,AS25206 
89.252.252.0,89.252.253.255,business,BG,AS51189 
89.252.254.0,89.252.255.255,hosting,BG,AS8262 
