89.113.16.0,89.113.24.255,business,RU 
89.113.25.0,89.113.98.255,isp,RU 
89.113.99.0,89.113.100.255,business,RU 
89.113.101.0,89.113.102.255,isp,RU 
89.113.103.0,89.113.119.255,business,RU 
89.113.120.0,89.113.120.255,isp,RU 
89.113.121.0,89.113.123.255,business,RU 
89.113.124.0,89.113.125.255,isp,RU 
89.113.126.0,89.113.126.255,business,RU 
89.113.127.0,89.113.127.255,isp,RU 
89.113.128.0,89.113.135.255,business,RU 
89.113.136.0,89.113.241.255,isp,RU 
89.113.242.0,89.113.242.255,business,RU 
89.113.243.0,89.113.255.255,isp,RU 
