89.108.0.0,89.108.63.255,isp,SA,AS41176 
89.108.64.0,89.108.112.255,hosting,RU,AS197695 
89.108.113.0,89.108.113.255,business,RU, 
89.108.114.0,89.108.127.255,hosting,RU,AS197695 
89.108.128.0,89.108.131.255,isp,LB,AS31126 
89.108.132.0,89.108.132.255,isp,LB,AS202772 
89.108.133.0,89.108.133.255,isp,LB,AS31126 
89.108.134.0,89.108.134.255,isp,LB,AS201544 
89.108.135.0,89.108.135.255,isp,LB,AS31126 
89.108.136.0,89.108.136.255,business,LB,AS62144 
89.108.137.0,89.108.160.255,isp,LB,AS31126 
89.108.161.0,89.108.161.255,education,LB,AS31126 
89.108.162.0,89.108.191.255,isp,LB,AS31126 
89.108.192.0,89.108.255.255,isp,PL,AS39603 
