89.206.0.0,89.206.63.255,isp,PL 
89.206.64.0,89.206.127.255,education,CH 
89.206.128.0,89.206.128.15,business,GB 
89.206.128.16,89.206.128.31,hosting,GB 
89.206.128.32,89.206.128.48,business,GB 
89.206.128.49,89.206.128.50,hosting,GB 
89.206.128.51,89.206.128.52,business,GB 
89.206.128.53,89.206.128.55,hosting,GB 
89.206.128.56,89.206.128.95,business,GB 
89.206.128.96,89.206.128.111,hosting,GB 
89.206.128.112,89.206.128.119,business,GB 
89.206.128.120,89.206.128.127,hosting,GB 
89.206.128.128,89.206.128.143,business,GB 
89.206.128.144,89.206.128.151,hosting,GB 
89.206.128.152,89.206.128.175,business,GB 
89.206.128.176,89.206.128.178,hosting,GB 
89.206.128.179,89.206.128.191,business,GB 
89.206.128.192,89.206.128.207,hosting,GB 
89.206.128.208,89.206.128.223,business,GB 
89.206.128.224,89.206.128.231,hosting,GB 
89.206.128.232,89.206.128.238,business,GB 
89.206.128.239,89.206.128.255,hosting,GB 
89.206.129.0,89.206.129.31,business,GB 
89.206.129.32,89.206.129.39,hosting,GB 
89.206.129.40,89.206.129.191,business,GB 
89.206.129.192,89.206.129.223,hosting,GB 
89.206.129.224,89.206.129.224,business,GB 
89.206.129.225,89.206.129.225,hosting,GB 
89.206.129.226,89.206.129.229,business,GB 
89.206.129.230,89.206.129.239,hosting,GB 
89.206.129.240,89.206.129.241,business,GB 
89.206.129.242,89.206.129.242,hosting,GB 
89.206.129.243,89.206.129.245,business,GB 
89.206.129.246,89.206.129.246,hosting,GB 
89.206.129.247,89.206.130.31,business,GB 
89.206.130.32,89.206.130.33,hosting,GB 
89.206.130.34,89.206.130.38,business,GB 
89.206.130.39,89.206.130.39,hosting,GB 
89.206.130.40,89.206.130.46,business,GB 
89.206.130.47,89.206.130.47,hosting,GB 
89.206.130.48,89.206.130.51,business,GB 
89.206.130.52,89.206.130.53,hosting,GB 
89.206.130.54,89.206.130.55,business,GB 
89.206.130.56,89.206.130.63,hosting,GB 
89.206.130.64,89.206.130.71,business,GB 
89.206.130.72,89.206.130.79,hosting,GB 
89.206.130.80,89.206.130.95,business,GB 
89.206.130.96,89.206.130.127,education,GB 
89.206.130.128,89.206.130.143,business,GB 
89.206.130.144,89.206.130.159,hosting,GB 
89.206.130.160,89.206.130.167,isp,GB 
89.206.130.168,89.206.130.185,hosting,GB 
89.206.130.186,89.206.130.186,business,GB 
89.206.130.187,89.206.130.189,hosting,GB 
89.206.130.190,89.206.130.203,business,GB 
89.206.130.204,89.206.130.207,education,GB 
89.206.130.208,89.206.130.215,business,GB 
89.206.130.216,89.206.130.239,hosting,GB 
89.206.130.240,89.206.131.15,business,GB 
89.206.131.16,89.206.131.31,hosting,GB 
89.206.131.32,89.206.131.39,business,GB 
89.206.131.40,89.206.131.47,hosting,GB 
89.206.131.48,89.206.131.73,business,GB 
89.206.131.74,89.206.131.75,hosting,GB 
89.206.131.76,89.206.131.104,business,GB 
89.206.131.105,89.206.131.105,hosting,GB 
89.206.131.106,89.206.131.107,business,GB 
89.206.131.108,89.206.131.108,hosting,GB 
89.206.131.109,89.206.131.110,business,GB 
89.206.131.111,89.206.131.119,hosting,GB 
89.206.131.120,89.206.131.122,business,GB 
89.206.131.123,89.206.131.127,hosting,GB 
89.206.131.128,89.206.131.128,business,GB 
89.206.131.129,89.206.131.129,hosting,GB 
89.206.131.130,89.206.131.143,business,GB 
89.206.131.144,89.206.131.151,hosting,GB 
89.206.131.152,89.206.131.158,business,GB 
89.206.131.159,89.206.131.159,hosting,GB 
89.206.131.160,89.206.131.191,business,GB 
89.206.131.192,89.206.131.199,hosting,GB 
89.206.131.200,89.206.131.217,business,GB 
89.206.131.218,89.206.131.223,hosting,GB 
89.206.131.224,89.206.131.231,business,GB 
89.206.131.232,89.206.131.247,hosting,GB 
89.206.131.248,89.206.131.255,business,GB 
89.206.132.0,89.206.132.19,hosting,GB 
89.206.132.20,89.206.132.47,business,GB 
89.206.132.48,89.206.132.55,hosting,GB 
89.206.132.56,89.206.132.63,business,GB 
89.206.132.64,89.206.132.71,hosting,GB 
89.206.132.72,89.206.132.95,business,GB 
89.206.132.96,89.206.132.111,hosting,GB 
89.206.132.112,89.206.132.143,business,GB 
89.206.132.144,89.206.132.151,hosting,GB 
89.206.132.152,89.206.132.156,business,GB 
89.206.132.157,89.206.132.158,hosting,GB 
89.206.132.159,89.206.132.183,business,GB 
89.206.132.184,89.206.132.191,hosting,GB 
89.206.132.192,89.206.132.223,business,GB 
89.206.132.224,89.206.132.239,hosting,GB 
89.206.132.240,89.206.133.31,business,GB 
89.206.133.32,89.206.133.47,hosting,GB 
89.206.133.48,89.206.133.53,business,GB 
89.206.133.54,89.206.133.54,hosting,GB 
89.206.133.55,89.206.133.56,business,GB 
89.206.133.57,89.206.133.57,hosting,GB 
89.206.133.58,89.206.133.58,business,GB 
89.206.133.59,89.206.133.60,hosting,GB 
89.206.133.61,89.206.133.127,business,GB 
89.206.133.128,89.206.133.135,hosting,GB 
89.206.133.136,89.206.133.151,business,GB 
89.206.133.152,89.206.133.159,hosting,GB 
89.206.133.160,89.206.133.207,business,GB 
89.206.133.208,89.206.133.215,hosting,GB 
89.206.133.216,89.206.133.239,business,GB 
89.206.133.240,89.206.133.247,hosting,GB 
89.206.133.248,89.206.134.7,business,GB 
89.206.134.8,89.206.134.15,hosting,GB 
89.206.134.16,89.206.134.51,business,GB 
89.206.134.52,89.206.134.54,hosting,GB 
89.206.134.55,89.206.134.59,business,GB 
89.206.134.60,89.206.134.62,hosting,GB 
89.206.134.63,89.206.134.70,business,GB 
89.206.134.71,89.206.134.79,hosting,GB 
89.206.134.80,89.206.134.92,business,GB 
89.206.134.93,89.206.134.93,hosting,GB 
89.206.134.94,89.206.134.95,business,GB 
89.206.134.96,89.206.134.96,hosting,GB 
89.206.134.97,89.206.134.103,business,GB 
89.206.134.104,89.206.134.104,education,GB 
89.206.134.105,89.206.134.107,business,GB 
89.206.134.108,89.206.134.110,hosting,GB 
89.206.134.111,89.206.134.120,business,GB 
89.206.134.121,89.206.134.122,hosting,GB 
89.206.134.123,89.206.134.123,business,GB 
89.206.134.124,89.206.134.124,hosting,GB 
89.206.134.125,89.206.134.125,business,GB 
89.206.134.126,89.206.134.127,hosting,GB 
89.206.134.128,89.206.134.191,business,GB 
89.206.134.192,89.206.134.200,hosting,GB 
89.206.134.201,89.206.134.201,business,GB 
89.206.134.202,89.206.134.202,hosting,GB 
89.206.134.203,89.206.134.203,business,GB 
89.206.134.204,89.206.134.204,hosting,GB 
89.206.134.205,89.206.134.205,business,GB 
89.206.134.206,89.206.134.206,hosting,GB 
89.206.134.207,89.206.134.215,business,GB 
89.206.134.216,89.206.134.223,hosting,GB 
89.206.134.224,89.206.134.247,business,GB 
89.206.134.248,89.206.134.255,hosting,GB 
89.206.135.0,89.206.135.31,business,GB 
89.206.135.32,89.206.135.39,hosting,GB 
89.206.135.40,89.206.135.52,business,GB 
89.206.135.53,89.206.135.53,hosting,GB 
89.206.135.54,89.206.135.58,business,GB 
89.206.135.59,89.206.135.59,hosting,GB 
89.206.135.60,89.206.135.60,business,GB 
89.206.135.61,89.206.135.61,hosting,GB 
89.206.135.62,89.206.135.63,business,GB 
89.206.135.64,89.206.135.80,hosting,GB 
89.206.135.81,89.206.135.87,business,GB 
89.206.135.88,89.206.135.95,hosting,GB 
89.206.135.96,89.206.135.111,business,GB 
89.206.135.112,89.206.135.127,hosting,GB 
89.206.135.128,89.206.135.133,business,GB 
89.206.135.134,89.206.135.134,hosting,GB 
89.206.135.135,89.206.135.136,business,GB 
89.206.135.137,89.206.135.137,hosting,GB 
89.206.135.138,89.206.135.140,business,GB 
89.206.135.141,89.206.135.141,hosting,GB 
89.206.135.142,89.206.135.146,business,GB 
89.206.135.147,89.206.135.147,hosting,GB 
89.206.135.148,89.206.135.148,business,GB 
89.206.135.149,89.206.135.149,hosting,GB 
89.206.135.150,89.206.135.150,business,GB 
89.206.135.151,89.206.135.151,hosting,GB 
89.206.135.152,89.206.135.156,business,GB 
89.206.135.157,89.206.135.157,hosting,GB 
89.206.135.158,89.206.135.158,business,GB 
89.206.135.159,89.206.135.159,hosting,GB 
89.206.135.160,89.206.135.175,business,GB 
89.206.135.176,89.206.135.183,hosting,GB 
89.206.135.184,89.206.135.191,business,GB 
89.206.135.192,89.206.135.223,hosting,GB 
89.206.135.224,89.206.135.255,business,GB 
89.206.136.0,89.206.136.23,hosting,GB 
89.206.136.24,89.206.136.39,business,GB 
89.206.136.40,89.206.136.55,hosting,GB 
89.206.136.56,89.206.136.64,business,GB 
89.206.136.65,89.206.136.65,hosting,GB 
89.206.136.66,89.206.136.71,business,GB 
89.206.136.72,89.206.136.72,hosting,GB 
89.206.136.73,89.206.136.73,business,GB 
89.206.136.74,89.206.136.74,hosting,GB 
89.206.136.75,89.206.136.76,business,GB 
89.206.136.77,89.206.136.77,hosting,GB 
89.206.136.78,89.206.136.78,business,GB 
89.206.136.79,89.206.136.79,hosting,GB 
89.206.136.80,89.206.136.84,business,GB 
89.206.136.85,89.206.136.85,hosting,GB 
89.206.136.86,89.206.136.86,business,GB 
89.206.136.87,89.206.136.91,hosting,GB 
89.206.136.92,89.206.136.98,business,GB 
89.206.136.99,89.206.136.99,hosting,GB 
89.206.136.100,89.206.136.103,business,GB 
89.206.136.104,89.206.136.104,hosting,GB 
89.206.136.105,89.206.136.105,business,GB 
89.206.136.106,89.206.136.109,hosting,GB 
89.206.136.110,89.206.136.115,business,GB 
89.206.136.116,89.206.136.116,hosting,GB 
89.206.136.117,89.206.136.117,business,GB 
89.206.136.118,89.206.136.119,hosting,GB 
89.206.136.120,89.206.136.175,business,GB 
89.206.136.176,89.206.136.183,hosting,GB 
89.206.136.184,89.206.136.215,business,GB 
89.206.136.216,89.206.136.223,hosting,GB 
89.206.136.224,89.206.136.231,business,GB 
89.206.136.232,89.206.136.255,hosting,GB 
89.206.137.0,89.206.137.23,business,GB 
89.206.137.24,89.206.137.31,hosting,GB 
89.206.137.32,89.206.137.47,business,GB 
89.206.137.48,89.206.137.60,hosting,GB 
89.206.137.61,89.206.137.61,business,GB 
89.206.137.62,89.206.137.62,hosting,GB 
89.206.137.63,89.206.137.95,business,GB 
89.206.137.96,89.206.137.120,hosting,GB 
89.206.137.121,89.206.137.122,business,GB 
89.206.137.123,89.206.137.123,hosting,GB 
89.206.137.124,89.206.137.125,business,GB 
89.206.137.126,89.206.137.126,hosting,GB 
89.206.137.127,89.206.137.130,business,GB 
89.206.137.131,89.206.137.131,hosting,GB 
89.206.137.132,89.206.137.132,business,GB 
89.206.137.133,89.206.137.133,hosting,GB 
89.206.137.134,89.206.137.135,business,GB 
89.206.137.136,89.206.137.143,hosting,GB 
89.206.137.144,89.206.137.148,business,GB 
89.206.137.149,89.206.137.151,hosting,GB 
89.206.137.152,89.206.137.167,business,GB 
89.206.137.168,89.206.137.175,hosting,GB 
89.206.137.176,89.206.137.183,business,GB 
89.206.137.184,89.206.137.191,hosting,GB 
89.206.137.192,89.206.137.243,business,GB 
89.206.137.244,89.206.137.244,hosting,GB 
89.206.137.245,89.206.137.250,business,GB 
89.206.137.251,89.206.137.251,hosting,GB 
89.206.137.252,89.206.138.15,business,GB 
89.206.138.16,89.206.138.23,hosting,GB 
89.206.138.24,89.206.138.31,business,GB 
89.206.138.32,89.206.138.35,hosting,GB 
89.206.138.36,89.206.138.39,business,GB 
89.206.138.40,89.206.138.43,hosting,GB 
89.206.138.44,89.206.138.44,business,GB 
89.206.138.45,89.206.138.46,hosting,GB 
89.206.138.47,89.206.138.47,business,GB 
89.206.138.48,89.206.138.48,hosting,GB 
89.206.138.49,89.206.138.49,business,GB 
89.206.138.50,89.206.138.52,hosting,GB 
89.206.138.53,89.206.138.53,business,GB 
89.206.138.54,89.206.138.54,hosting,GB 
89.206.138.55,89.206.138.71,business,GB 
89.206.138.72,89.206.138.95,hosting,GB 
89.206.138.96,89.206.138.127,business,GB 
89.206.138.128,89.206.138.135,hosting,GB 
89.206.138.136,89.206.138.207,business,GB 
89.206.138.208,89.206.138.215,hosting,GB 
89.206.138.216,89.206.138.224,business,GB 
89.206.138.225,89.206.138.225,hosting,GB 
89.206.138.226,89.206.138.227,business,GB 
89.206.138.228,89.206.138.231,hosting,GB 
89.206.138.232,89.206.138.239,business,GB 
89.206.138.240,89.206.138.247,hosting,GB 
89.206.138.248,89.206.138.255,business,GB 
89.206.139.0,89.206.139.31,hosting,GB 
89.206.139.32,89.206.139.47,business,GB 
89.206.139.48,89.206.139.63,hosting,GB 
89.206.139.64,89.206.139.75,business,GB 
89.206.139.76,89.206.139.95,hosting,GB 
89.206.139.96,89.206.139.112,education,GB 
89.206.139.113,89.206.139.119,business,GB 
89.206.139.120,89.206.139.143,hosting,GB 
89.206.139.144,89.206.139.159,business,GB 
89.206.139.160,89.206.139.167,hosting,GB 
89.206.139.168,89.206.139.179,business,GB 
89.206.139.180,89.206.139.180,hosting,GB 
89.206.139.181,89.206.139.183,business,GB 
89.206.139.184,89.206.139.191,hosting,GB 
89.206.139.192,89.206.139.207,business,GB 
89.206.139.208,89.206.139.215,hosting,GB 
89.206.139.216,89.206.139.221,business,GB 
89.206.139.222,89.206.139.255,hosting,GB 
89.206.140.0,89.206.140.8,business,GB 
89.206.140.9,89.206.140.14,hosting,GB 
89.206.140.15,89.206.140.25,business,GB 
89.206.140.26,89.206.140.26,hosting,GB 
89.206.140.27,89.206.140.30,business,GB 
89.206.140.31,89.206.140.33,hosting,GB 
89.206.140.34,89.206.140.39,business,GB 
89.206.140.40,89.206.140.40,hosting,GB 
89.206.140.41,89.206.140.44,business,GB 
89.206.140.45,89.206.140.45,hosting,GB 
89.206.140.46,89.206.140.56,business,GB 
89.206.140.57,89.206.140.57,hosting,GB 
89.206.140.58,89.206.140.59,business,GB 
89.206.140.60,89.206.140.62,hosting,GB 
89.206.140.63,89.206.140.67,business,GB 
89.206.140.68,89.206.140.68,hosting,GB 
89.206.140.69,89.206.140.70,business,GB 
89.206.140.71,89.206.140.71,hosting,GB 
89.206.140.72,89.206.140.72,business,GB 
89.206.140.73,89.206.140.73,hosting,GB 
89.206.140.74,89.206.140.74,business,GB 
89.206.140.75,89.206.140.76,hosting,GB 
89.206.140.77,89.206.140.83,business,GB 
89.206.140.84,89.206.140.84,hosting,GB 
89.206.140.85,89.206.140.87,business,GB 
89.206.140.88,89.206.140.92,hosting,GB 
89.206.140.93,89.206.140.93,business,GB 
89.206.140.94,89.206.140.94,hosting,GB 
89.206.140.95,89.206.140.95,business,GB 
89.206.140.96,89.206.140.96,hosting,GB 
89.206.140.97,89.206.140.97,business,GB 
89.206.140.98,89.206.140.98,hosting,GB 
89.206.140.99,89.206.140.101,business,GB 
89.206.140.102,89.206.140.103,hosting,GB 
89.206.140.104,89.206.140.106,business,GB 
89.206.140.107,89.206.140.107,hosting,GB 
89.206.140.108,89.206.140.111,business,GB 
89.206.140.112,89.206.140.113,hosting,GB 
89.206.140.114,89.206.140.116,business,GB 
89.206.140.117,89.206.140.117,hosting,GB 
89.206.140.118,89.206.140.136,business,GB 
89.206.140.137,89.206.140.137,hosting,GB 
89.206.140.138,89.206.140.141,business,GB 
89.206.140.142,89.206.140.142,hosting,GB 
89.206.140.143,89.206.140.143,business,GB 
89.206.140.144,89.206.140.144,hosting,GB 
89.206.140.145,89.206.140.149,business,GB 
89.206.140.150,89.206.140.151,hosting,GB 
89.206.140.152,89.206.140.157,business,GB 
89.206.140.158,89.206.140.158,hosting,GB 
89.206.140.159,89.206.140.159,business,GB 
89.206.140.160,89.206.140.160,hosting,GB 
89.206.140.161,89.206.140.166,business,GB 
89.206.140.167,89.206.140.167,hosting,GB 
89.206.140.168,89.206.140.173,business,GB 
89.206.140.174,89.206.140.174,hosting,GB 
89.206.140.175,89.206.140.177,business,GB 
89.206.140.178,89.206.140.178,hosting,GB 
89.206.140.179,89.206.140.180,business,GB 
89.206.140.181,89.206.140.182,hosting,GB 
89.206.140.183,89.206.140.183,business,GB 
89.206.140.184,89.206.140.184,hosting,GB 
89.206.140.185,89.206.140.189,business,GB 
89.206.140.190,89.206.140.192,hosting,GB 
89.206.140.193,89.206.140.194,business,GB 
89.206.140.195,89.206.140.195,hosting,GB 
89.206.140.196,89.206.140.205,business,GB 
89.206.140.206,89.206.140.206,hosting,GB 
89.206.140.207,89.206.140.208,business,GB 
89.206.140.209,89.206.140.209,hosting,GB 
89.206.140.210,89.206.140.216,business,GB 
89.206.140.217,89.206.140.217,hosting,GB 
89.206.140.218,89.206.140.219,business,GB 
89.206.140.220,89.206.140.223,hosting,GB 
89.206.140.224,89.206.140.224,business,GB 
89.206.140.225,89.206.140.225,hosting,GB 
89.206.140.226,89.206.140.238,business,GB 
89.206.140.239,89.206.140.239,hosting,GB 
89.206.140.240,89.206.140.244,business,GB 
89.206.140.245,89.206.140.245,hosting,GB 
89.206.140.246,89.206.140.248,business,GB 
89.206.140.249,89.206.140.250,hosting,GB 
89.206.140.251,89.206.140.253,business,GB 
89.206.140.254,89.206.140.254,hosting,GB 
89.206.140.255,89.206.140.255,business,GB 
89.206.141.0,89.206.141.0,hosting,GB 
89.206.141.1,89.206.141.4,business,GB 
89.206.141.5,89.206.141.6,hosting,GB 
89.206.141.7,89.206.141.9,business,GB 
89.206.141.10,89.206.141.10,hosting,GB 
89.206.141.11,89.206.141.12,business,GB 
89.206.141.13,89.206.141.13,hosting,GB 
89.206.141.14,89.206.141.16,business,GB 
89.206.141.17,89.206.141.17,hosting,GB 
