89.148.0.0,89.148.63.255,isp,BH,AS5416 
89.148.64.0,89.148.127.255,isp,HU,AS20845 
89.148.128.0,89.148.191.255,isp,IT,AS59766 
89.148.192.0,89.148.196.79,business,RU,AS15640 
89.148.196.80,89.148.196.87,isp,RU,AS15640 
89.148.196.88,89.148.196.95,business,RU,AS15640 
89.148.196.96,89.148.196.175,isp,RU,AS15640 
89.148.196.176,89.148.196.183,business,RU,AS15640 
89.148.196.184,89.148.196.207,isp,RU,AS15640 
89.148.196.208,89.148.240.255,business,RU,AS15640 
89.148.241.0,89.148.244.255,isp,RU,AS15640 
89.148.245.0,89.148.255.255,business,RU,AS15640 
