89.124.0.0,89.124.64.63,business,IE,AS25441 
89.124.64.64,89.124.64.71,isp,IE,AS25441 
89.124.64.72,89.124.128.255,business,IE,AS25441 
89.124.129.0,89.124.135.255,hosting,IE,AS25441 
89.124.136.0,89.124.137.255,business,IE,AS25441 
89.124.138.0,89.124.139.255,hosting,IE,AS25441 
89.124.140.0,89.124.140.255,business,IE,AS25441 
89.124.141.0,89.124.143.255,hosting,IE,AS25441 
89.124.144.0,89.124.144.255,business,IE,AS25441 
89.124.145.0,89.124.147.255,hosting,IE,AS25441 
89.124.148.0,89.124.148.255,business,IE,AS25441 
89.124.149.0,89.124.149.255,hosting,IE,AS25441 
89.124.150.0,89.124.156.255,business,IE,AS25441 
89.124.157.0,89.124.159.255,hosting,IE,AS25441 
89.124.160.0,89.124.160.255,business,IE,AS25441 
89.124.161.0,89.124.161.255,hosting,IE,AS25441 
89.124.162.0,89.124.165.255,business,IE,AS25441 
89.124.166.0,89.124.167.255,hosting,IE,AS25441 
89.124.168.0,89.124.168.255,business,IE,AS25441 
89.124.169.0,89.124.171.255,hosting,IE,AS25441 
89.124.172.0,89.124.180.255,business,IE,AS25441 
89.124.181.0,89.124.183.255,hosting,IE,AS25441 
89.124.184.0,89.124.241.255,business,IE,AS25441 
89.124.242.0,89.124.244.255,isp,IE,AS34245 
89.124.245.0,89.127.160.67,business,IE,AS25441 
