89.190.0.0,89.190.31.255,isp,FI 
89.190.32.0,89.190.41.255,isp,CZ 
89.190.42.0,89.190.43.255,business,CZ 
89.190.44.0,89.190.47.255,isp,CZ 
89.190.48.0,89.190.49.255,business,CZ 
89.190.50.0,89.190.50.255,isp,CZ 
89.190.51.0,89.190.51.255,business,CZ 
89.190.52.0,89.190.55.255,isp,CZ 
89.190.56.0,89.190.56.255,business,CZ 
89.190.57.0,89.190.87.255,isp,CZ 
89.190.88.0,89.190.88.255,business,CZ 
89.190.89.0,89.190.95.255,isp,CZ 
89.190.96.0,89.190.127.255,hosting,LT 
89.190.128.0,89.190.128.47,isp,CZ 
89.190.128.48,89.190.128.63,business,CZ 
89.190.128.64,89.190.131.255,isp,CZ 
89.190.132.0,89.190.135.255,hosting,GB 
89.190.136.0,89.190.139.255,isp,DE 
89.190.140.0,89.190.140.255,isp,NL 
89.190.141.0,89.190.143.255,hosting,NL 
89.190.144.0,89.190.147.255,hosting,CH 
89.190.148.0,89.190.148.255,business,LT 
89.190.149.0,89.190.151.255,hosting,LT 
89.190.152.0,89.190.155.255,isp,ES 
89.190.156.0,89.190.156.255,hosting,NL 
89.190.157.0,89.190.157.255,business,MQ 
89.190.158.0,89.190.159.255,hosting,NL 
89.190.160.0,89.190.160.3,business,IT 
89.190.160.4,89.190.160.7,business,AT 
89.190.160.8,89.190.160.11,business,IT 
89.190.160.12,89.190.160.15,isp,IT 
89.190.160.16,89.190.160.23,business,IT 
89.190.160.24,89.190.160.31,isp,IT 
89.190.160.32,89.190.160.43,business,IT 
89.190.160.44,89.190.160.47,isp,IT 
89.190.160.48,89.190.160.55,business,IT 
89.190.160.56,89.190.160.87,isp,IT 
89.190.160.88,89.190.160.91,business,IT 
89.190.160.92,89.190.160.111,isp,IT 
89.190.160.112,89.190.160.135,business,IT 
89.190.160.136,89.190.160.143,isp,IT 
89.190.160.144,89.190.160.151,business,IT 
89.190.160.152,89.190.160.159,business,AT 
89.190.160.160,89.190.160.175,business,IT 
89.190.160.176,89.190.160.191,isp,IT 
89.190.160.192,89.190.160.203,business,IT 
89.190.160.204,89.190.160.211,isp,IT 
89.190.160.212,89.190.160.215,business,IT 
89.190.160.216,89.190.160.223,isp,IT 
89.190.160.224,89.190.160.235,business,IT 
89.190.160.236,89.190.160.239,isp,IT 
89.190.160.240,89.190.161.23,business,IT 
89.190.161.24,89.190.161.31,isp,IT 
89.190.161.32,89.190.161.79,business,IT 
89.190.161.80,89.190.161.87,isp,IT 
89.190.161.88,89.190.161.91,business,IT 
89.190.161.92,89.190.161.127,isp,IT 
89.190.161.128,89.190.161.135,business,IT 
89.190.161.136,89.190.161.143,isp,IT 
89.190.161.144,89.190.161.159,business,IT 
89.190.161.160,89.190.161.167,isp,IT 
89.190.161.168,89.190.161.207,business,IT 
89.190.161.208,89.190.161.223,isp,IT 
89.190.161.224,89.190.161.251,business,IT 
89.190.161.252,89.190.162.31,isp,IT 
89.190.162.32,89.190.162.39,business,IT 
89.190.162.40,89.190.162.43,isp,IT 
89.190.162.44,89.190.162.47,business,IT 
89.190.162.48,89.190.162.63,isp,IT 
89.190.162.64,89.190.162.67,business,IT 
89.190.162.68,89.190.162.71,isp,IT 
89.190.162.72,89.190.162.79,business,IT 
89.190.162.80,89.190.162.151,isp,IT 
89.190.162.152,89.190.162.155,business,IT 
89.190.162.156,89.190.162.159,isp,IT 
89.190.162.160,89.190.162.167,business,IT 
89.190.162.168,89.190.162.175,isp,IT 
89.190.162.176,89.190.162.183,business,IT 
89.190.162.184,89.190.162.211,isp,IT 
