89.110.0.0,89.110.63.255,isp,RU,AS12389 
89.110.64.0,89.110.65.255,hosting,NL,AS216071 
89.110.66.0,89.110.69.255,business,NL,AS216071 
89.110.70.0,89.110.70.255,hosting,NL,AS216071 
89.110.71.0,89.110.71.255,business,NL,AS216071 
89.110.72.0,89.110.72.255,hosting,NL,AS216071 
89.110.73.0,89.110.73.255,business,NL,AS216071 
89.110.74.0,89.110.75.255,hosting,NL,AS216071 
89.110.76.0,89.110.76.255,business,NL,AS216071 
89.110.77.0,89.110.84.255,hosting,NL,AS216071 
89.110.85.0,89.110.87.255,business,NL,AS216071 
89.110.88.0,89.110.98.255,hosting,RU,AS48282 
89.110.99.0,89.110.99.255,business,RU, 
89.110.100.0,89.110.101.255,business,NL,AS216071 
89.110.102.0,89.110.105.255,hosting,NL,AS216071 
89.110.106.0,89.110.106.255,business,NL,AS216071 
89.110.107.0,89.110.110.255,hosting,NL,AS216071 
89.110.111.0,89.110.113.255,business,NL,AS216071 
89.110.114.0,89.110.114.255,hosting,NL,AS216071 
89.110.115.0,89.110.116.255,business,NL,AS216071 
89.110.117.0,89.110.120.255,hosting,NL,AS216071 
89.110.121.0,89.110.124.255,business,NL,AS216071 
89.110.125.0,89.110.125.255,hosting,NL,AS216071 
89.110.126.0,89.110.126.255,business,NL,AS216071 
89.110.127.0,89.110.127.255,hosting,NL,AS216071 
89.110.128.0,89.110.128.255,business,DE,AS24989 
89.110.129.0,89.110.129.255,hosting,DE,AS24989 
89.110.130.0,89.110.130.255,business,DE,AS24989 
89.110.131.0,89.110.131.255,hosting,DE,AS24989 
89.110.132.0,89.110.132.255,business,DE,AS24989 
89.110.133.0,89.110.133.255,hosting,DE,AS24989 
89.110.134.0,89.110.134.255,business,DE,AS24989 
89.110.135.0,89.110.137.63,hosting,DE,AS24989 
89.110.137.64,89.110.143.255,business,DE,AS24989 
89.110.144.0,89.110.159.255,hosting,DE,AS24989 
89.110.160.0,89.110.176.255,business,DE,AS24989 
89.110.177.0,89.110.177.95,hosting,DE,AS24989 
89.110.177.96,89.110.191.255,business,DE,AS24989 
89.110.192.0,89.110.255.255,business,RS,AS13091 
