89.144.0.0,89.144.63.255,hosting,DE,AS197549 
89.144.64.0,89.144.95.255,isp,SA,AS34426 
89.144.96.0,89.144.100.39,business,SA,AS34426 
89.144.100.40,89.144.100.63,isp,SA,AS34426 
89.144.100.64,89.144.100.95,business,SA,AS34426 
89.144.100.96,89.144.103.255,isp,SA,AS34426 
89.144.104.0,89.144.107.255,business,SA,AS34426 
89.144.108.0,89.144.127.255,isp,SA,AS34426 
89.144.128.0,89.144.133.215,isp,IR,AS39308 
89.144.133.216,89.144.133.223,education,IR,AS39308 
89.144.133.224,89.144.138.255,isp,IR,AS39308 
89.144.139.0,89.144.142.255,education,IR,AS39308 
89.144.143.0,89.144.143.143,isp,IR,AS39308 
89.144.143.144,89.144.143.155,business,IR,AS39308 
89.144.143.156,89.144.159.255,isp,IR,AS39308 
89.144.160.0,89.144.163.255,education,IR,AS39308 
89.144.164.0,89.144.189.255,isp,IR,AS39308 
89.144.190.0,89.144.190.255,education,IR,AS39308 
89.144.191.0,89.144.191.255,isp,IR,AS39308 
89.144.192.0,89.144.255.255,isp,AT,AS8447 
