89.136.0.0,89.136.99.255,business,RO,AS12302 
89.136.100.0,89.136.103.255,isp,RO,AS12302 
89.136.104.0,89.136.127.255,business,RO,AS12302 
89.136.128.0,89.136.187.255,isp,RO,AS12302 
89.136.188.0,89.136.194.255,business,RO,AS12302 
89.136.195.0,89.136.196.127,isp,RO,AS12302 
89.136.196.128,89.136.196.255,business,RO,AS12302 
89.136.197.0,89.136.197.39,isp,RO,AS12302 
89.136.197.40,89.136.197.159,business,RO,AS12302 
89.136.197.160,89.136.197.167,isp,RO,AS12302 
89.136.197.168,89.136.197.255,business,RO,AS12302 
89.136.198.0,89.136.198.127,education,RO,AS12302 
89.136.198.128,89.136.198.239,business,RO,AS12302 
89.136.198.240,89.136.198.255,isp,RO,AS12302 
89.136.199.0,89.136.199.55,business,RO,AS12302 
89.136.199.56,89.136.199.63,isp,RO,AS12302 
89.136.199.64,89.136.201.23,business,RO,AS12302 
89.136.201.24,89.136.201.31,isp,RO,AS12302 
89.136.201.32,89.136.201.39,business,RO,AS12302 
89.136.201.40,89.136.201.47,isp,RO,AS12302 
89.136.201.48,89.136.201.63,business,RO,AS12302 
89.136.201.64,89.136.201.71,isp,RO,AS12302 
89.136.201.72,89.136.202.7,business,RO,AS12302 
89.136.202.8,89.136.202.15,isp,RO,AS12302 
89.136.202.16,89.136.202.23,business,RO,AS12302 
89.136.202.24,89.136.202.31,isp,RO,AS12302 
89.136.202.32,89.136.202.71,business,RO,AS12302 
89.136.202.72,89.136.202.159,isp,RO,AS12302 
89.136.202.160,89.136.202.175,business,RO,AS12302 
89.136.202.176,89.136.202.191,isp,RO,AS12302 
89.136.202.192,89.136.202.199,business,RO,AS12302 
89.136.202.200,89.136.202.207,education,RO,AS12302 
89.136.202.208,89.136.202.255,business,RO,AS12302 
89.136.203.0,89.136.203.15,isp,RO,AS12302 
89.136.203.16,89.136.203.143,business,RO,AS12302 
89.136.203.144,89.136.203.159,education,RO,AS12302 
89.136.203.160,89.136.203.223,business,RO,AS12302 
89.136.203.224,89.136.204.23,isp,RO,AS12302 
89.136.204.24,89.136.204.63,business,RO,AS12302 
89.136.204.64,89.136.204.87,isp,RO,AS12302 
89.136.204.88,89.136.205.95,business,RO,AS12302 
89.136.205.96,89.136.205.103,isp,RO,AS12302 
89.136.205.104,89.136.207.31,business,RO,AS12302 
89.136.207.32,89.136.207.39,isp,RO,AS12302 
89.136.207.40,89.136.207.95,business,RO,AS12302 
89.136.207.96,89.136.207.127,isp,RO,AS12302 
89.136.207.128,89.136.208.7,business,RO,AS12302 
89.136.208.8,89.136.208.31,isp,RO,AS12302 
89.136.208.32,89.136.208.199,business,RO,AS12302 
89.136.208.200,89.136.208.255,isp,RO,AS12302 
89.136.209.0,89.136.210.15,business,RO,AS12302 
89.136.210.16,89.136.210.31,isp,RO,AS12302 
89.136.210.32,89.136.210.127,business,RO,AS12302 
89.136.210.128,89.136.210.159,isp,RO,AS12302 
89.136.210.160,89.136.210.223,business,RO,AS12302 
89.136.210.224,89.136.213.63,isp,RO,AS12302 
89.136.213.64,89.136.214.255,business,RO,AS12302 
89.136.215.0,89.136.215.31,isp,RO,AS12302 
89.136.215.32,89.136.215.71,business,RO,AS12302 
89.136.215.72,89.136.215.111,isp,RO,AS12302 
89.136.215.112,89.136.215.119,business,RO,AS12302 
89.136.215.120,89.136.216.255,isp,RO,AS12302 
89.136.217.0,89.136.217.47,business,RO,AS12302 
89.136.217.48,89.136.217.63,isp,RO,AS12302 
89.136.217.64,89.136.217.71,business,RO,AS12302 
89.136.217.72,89.136.217.95,isp,RO,AS12302 
89.136.217.96,89.136.217.215,business,RO,AS12302 
89.136.217.216,89.136.217.239,isp,RO,AS12302 
89.136.217.240,89.136.217.247,business,RO,AS12302 
89.136.217.248,89.136.217.255,isp,RO,AS12302 
89.136.218.0,89.136.218.15,business,RO,AS12302 
89.136.218.16,89.136.218.31,isp,RO,AS12302 
89.136.218.32,89.136.218.71,business,RO,AS12302 
89.136.218.72,89.136.219.55,isp,RO,AS12302 
89.136.219.56,89.136.219.63,business,RO,AS12302 
89.136.219.64,89.136.219.175,isp,RO,AS12302 
89.136.219.176,89.136.219.207,business,RO,AS12302 
89.136.219.208,89.136.219.247,isp,RO,AS12302 
89.136.219.248,89.136.219.255,business,RO,AS12302 
89.136.220.0,89.136.220.255,isp,RO,AS12302 
89.136.221.0,89.136.233.255,business,RO,AS12302 
89.136.234.0,89.136.234.255,isp,RO,AS12302 
89.136.235.0,89.136.240.15,business,RO,AS12302 
89.136.240.16,89.136.240.31,education,RO,AS12302 
89.136.240.32,89.136.240.47,business,RO,AS12302 
89.136.240.48,89.136.240.63,isp,RO,AS12302 
89.136.240.64,89.136.240.79,education,RO,AS12302 
89.136.240.80,89.136.240.159,business,RO,AS12302 
89.136.240.160,89.136.240.191,isp,RO,AS12302 
89.136.240.192,89.136.240.207,business,RO,AS12302 
89.136.240.208,89.136.240.223,isp,RO,AS12302 
89.136.240.224,89.136.241.255,business,RO,AS12302 
89.136.242.0,89.136.242.63,isp,RO,AS12302 
89.136.242.64,89.136.242.255,business,RO,AS12302 
89.136.243.0,89.136.243.127,isp,RO,AS12302 
89.136.243.128,89.136.245.255,business,RO,AS12302 
89.136.246.0,89.136.246.63,isp,RO,AS12302 
89.136.246.64,89.136.246.111,business,RO,AS12302 
89.136.246.112,89.136.246.159,isp,RO,AS12302 
89.136.246.160,89.136.246.191,business,RO,AS12302 
89.136.246.192,89.136.246.255,isp,RO,AS12302 
89.136.247.0,89.137.16.255,business,RO,AS12302 
