89.236.0.0,89.236.63.255,isp,SE 
89.236.64.0,89.236.100.31,hosting,FI 
89.236.100.32,89.236.100.63,business,FI 
89.236.100.64,89.236.101.31,hosting,FI 
89.236.101.32,89.236.101.79,business,FI 
89.236.101.80,89.236.101.111,hosting,FI 
89.236.101.112,89.236.101.127,business,FI 
89.236.101.128,89.236.101.135,hosting,FI 
89.236.101.136,89.236.101.159,business,FI 
89.236.101.160,89.236.101.175,hosting,FI 
89.236.101.176,89.236.101.191,business,FI 
89.236.101.192,89.236.102.223,hosting,FI 
89.236.102.224,89.236.102.255,business,FI 
89.236.103.0,89.236.103.79,hosting,FI 
89.236.103.80,89.236.103.87,business,FI 
89.236.103.88,89.236.103.255,hosting,FI 
89.236.104.0,89.236.104.255,business,FI 
89.236.105.0,89.236.107.15,hosting,FI 
89.236.107.16,89.236.107.23,business,FI 
89.236.107.24,89.236.107.39,hosting,FI 
89.236.107.40,89.236.107.47,business,FI 
89.236.107.48,89.236.107.255,hosting,FI 
89.236.108.0,89.236.108.7,business,FI 
89.236.108.8,89.236.108.127,hosting,FI 
89.236.108.128,89.236.108.143,business,FI 
89.236.108.144,89.236.109.15,hosting,FI 
89.236.109.16,89.236.109.23,business,FI 
89.236.109.24,89.236.109.75,hosting,FI 
89.236.109.76,89.236.109.79,business,FI 
89.236.109.80,89.236.109.231,hosting,FI 
89.236.109.232,89.236.109.239,business,FI 
89.236.109.240,89.236.110.127,hosting,FI 
89.236.110.128,89.236.110.135,business,FI 
89.236.110.136,89.236.110.255,hosting,FI 
89.236.111.0,89.236.111.7,business,FI 
89.236.111.8,89.236.111.95,hosting,FI 
89.236.111.96,89.236.111.111,business,FI 
89.236.111.112,89.236.111.255,hosting,FI 
89.236.112.0,89.236.112.7,business,FI 
89.236.112.8,89.236.112.63,hosting,FI 
89.236.112.64,89.236.112.111,business,FI 
89.236.112.112,89.236.112.127,hosting,FI 
89.236.112.128,89.236.112.159,business,FI 
89.236.112.160,89.236.112.191,hosting,FI 
89.236.112.192,89.236.112.223,business,FI 
89.236.112.224,89.236.113.127,hosting,FI 
89.236.113.128,89.236.113.255,business,FI 
89.236.114.0,89.236.114.31,hosting,FI 
89.236.114.32,89.236.114.63,business,FI 
89.236.114.64,89.236.114.127,hosting,FI 
89.236.114.128,89.236.114.159,business,FI 
89.236.114.160,89.236.114.255,hosting,FI 
89.236.115.0,89.236.115.255,business,FI 
89.236.116.0,89.236.116.51,hosting,FI 
89.236.116.52,89.236.116.55,business,FI 
89.236.116.56,89.236.116.63,hosting,FI 
89.236.116.64,89.236.116.79,business,FI 
89.236.116.80,89.236.116.95,hosting,FI 
89.236.116.96,89.236.116.127,business,FI 
89.236.116.128,89.236.116.191,hosting,FI 
89.236.116.192,89.236.116.223,business,FI 
89.236.116.224,89.236.116.255,hosting,FI 
89.236.117.0,89.236.117.15,isp,FI 
89.236.117.16,89.236.117.31,hosting,FI 
89.236.117.32,89.236.117.39,business,FI 
89.236.117.40,89.236.117.47,hosting,FI 
89.236.117.48,89.236.117.63,business,FI 
89.236.117.64,89.236.119.63,hosting,FI 
89.236.119.64,89.236.119.127,isp,FI 
89.236.119.128,89.236.119.159,hosting,FI 
89.236.119.160,89.236.119.175,isp,FI 
89.236.119.176,89.236.119.255,hosting,FI 
89.236.120.0,89.236.120.255,business,FI 
89.236.121.0,89.236.123.127,hosting,FI 
89.236.123.128,89.236.123.255,business,FI 
89.236.124.0,89.236.125.255,hosting,FI 
89.236.126.0,89.236.126.127,isp,FI 
89.236.126.128,89.236.126.223,business,FI 
89.236.126.224,89.236.127.79,hosting,FI 
89.236.127.80,89.236.127.95,business,FI 
89.236.127.96,89.236.127.255,hosting,FI 
89.236.128.0,89.236.167.255,isp,CH 
89.236.168.0,89.236.169.255,business,CH 
89.236.170.0,89.236.191.255,isp,CH 
89.236.192.0,89.236.255.255,isp,UZ 
