150.241.0.0,150.241.31.255,education,ES,AS207714 
150.241.32.0,150.241.63.255,business,ES,AS207714 
150.241.64.0,150.241.67.255,hosting,SE,AS210644 
150.241.68.0,150.241.69.255,hosting,NL,AS210644 
150.241.70.0,150.241.70.255,hosting,FI,AS210644 
150.241.71.0,150.241.71.255,hosting,DE,AS210644 
150.241.72.0,150.241.93.255,hosting,SE,AS210644 
150.241.94.0,150.241.95.255,hosting,DE,AS210644 
150.241.96.0,150.241.97.255,hosting,FI,AS210644 
150.241.98.0,150.241.101.255,hosting,DE,AS210644 
150.241.102.0,150.241.102.255,hosting,NL,AS210644 
150.241.103.0,150.241.103.255,hosting,FI,AS210644 
150.241.104.0,150.241.104.255,hosting,US,AS210644 
150.241.105.0,150.241.105.255,isp,DE,AS214046 
150.241.106.0,150.241.107.255,hosting,DE,AS215590 
150.241.108.0,150.241.108.255,business,DE, 
150.241.109.0,150.241.112.255,hosting,US,AS210644 
150.241.113.0,150.241.116.255,hosting,DE,AS199785 
150.241.117.0,150.241.120.255,hosting,US,AS210644 
150.241.121.0,150.241.121.255,hosting,DE,AS20473 
150.241.122.0,150.241.122.255,hosting,US,AS49791 
150.241.123.0,150.241.123.255,business,DE, 
150.241.124.0,150.241.124.255,hosting,DE,AS15440 
150.241.125.0,150.241.127.255,hosting,US,AS210644 
150.241.128.0,150.241.255.255,business,US, 
