150.207.0.0,150.207.15.255,hosting,AU,AS38809 
150.207.16.0,150.207.133.255,isp,AU,AS38809 
150.207.134.0,150.207.134.159,business,AU,AS38809 
150.207.134.160,150.207.134.191,isp,AU,AS38809 
150.207.134.192,150.207.135.165,business,AU,AS38809 
150.207.135.166,150.207.135.167,isp,AU,AS38809 
150.207.135.168,150.207.135.207,business,AU,AS38809 
150.207.135.208,150.207.135.223,isp,AU,AS38809 
150.207.135.224,150.207.137.255,business,AU,AS38809 
150.207.138.0,150.207.138.63,isp,AU,AS38809 
150.207.138.64,150.207.138.191,business,AU,AS38809 
150.207.138.192,150.207.138.255,isp,AU,AS38809 
150.207.139.0,150.207.139.255,business,AU,AS38809 
150.207.140.0,150.207.143.255,isp,AU,AS38809 
150.207.144.0,150.207.145.47,hosting,AU,AS38809 
150.207.145.48,150.207.145.63,isp,AU,AS38809 
150.207.145.64,150.207.146.15,hosting,AU,AS38809 
150.207.146.16,150.207.146.95,business,AU,AS38809 
150.207.146.96,150.207.146.103,hosting,AU,AS38809 
150.207.146.104,150.207.146.111,business,AU,AS38809 
150.207.146.112,150.207.146.191,isp,AU,AS38809 
150.207.146.192,150.207.147.31,hosting,AU,AS38809 
150.207.147.32,150.207.147.47,isp,AU,AS38809 
150.207.147.48,150.207.147.223,hosting,AU,AS38809 
150.207.147.224,150.207.147.231,isp,AU,AS38809 
150.207.147.232,150.207.147.255,hosting,AU,AS38809 
150.207.148.0,150.207.149.255,isp,AU,AS38809 
150.207.150.0,150.207.150.255,hosting,AU,AS38809 
150.207.151.0,150.207.151.191,isp,AU,AS38809 
150.207.151.192,150.207.151.239,business,AU,AS38809 
150.207.151.240,150.207.151.247,isp,AU,AS38809 
150.207.151.248,150.207.152.255,business,AU,AS38809 
150.207.153.0,150.207.153.151,hosting,AU,AS38809 
150.207.153.152,150.207.153.159,isp,AU,AS38809 
150.207.153.160,150.207.153.223,hosting,AU,AS38809 
150.207.153.224,150.207.153.239,isp,AU,AS38809 
150.207.153.240,150.207.155.255,hosting,AU,AS38809 
150.207.156.0,150.207.156.15,business,AU,AS38809 
150.207.156.16,150.207.156.31,hosting,AU,AS38809 
150.207.156.32,150.207.156.223,business,AU,AS38809 
150.207.156.224,150.207.156.255,hosting,AU,AS38809 
150.207.157.0,150.207.158.63,business,AU,AS38809 
150.207.158.64,150.207.158.111,hosting,AU,AS38809 
150.207.158.112,150.207.158.191,business,AU,AS38809 
150.207.158.192,150.207.158.223,hosting,AU,AS38809 
150.207.158.224,150.207.158.255,business,AU,AS38809 
150.207.159.0,150.207.159.63,isp,AU,AS38809 
150.207.159.64,150.207.159.223,hosting,AU,AS38809 
150.207.159.224,150.207.159.224,isp,AU,AS38809 
150.207.159.225,150.207.159.238,hosting,AU,AS38809 
150.207.159.239,150.207.159.239,isp,AU,AS38809 
150.207.159.240,150.207.160.31,hosting,AU,AS38809 
150.207.160.32,150.207.160.63,isp,AU,AS38809 
150.207.160.64,150.207.160.255,hosting,AU,AS38809 
150.207.161.0,150.207.161.127,business,AU,AS38809 
150.207.161.128,150.207.162.127,isp,AU,AS38809 
150.207.162.128,150.207.163.127,business,AU,AS38809 
150.207.163.128,150.207.168.127,isp,AU,AS38809 
150.207.168.128,150.207.168.255,hosting,AU,AS38809 
150.207.169.0,150.207.169.255,business,AU,AS38809 
150.207.170.0,150.207.170.47,isp,AU,AS38809 
150.207.170.48,150.207.170.55,business,AU,AS38809 
150.207.170.56,150.207.255.255,isp,AU,AS38809 
