195.252.0.0,195.252.31.255,business,SE 
195.252.32.0,195.252.63.255,isp,SE 
195.252.64.0,195.252.68.255,isp,RS 
195.252.69.0,195.252.69.255,business,RS 
195.252.70.0,195.252.99.255,isp,RS 
195.252.100.0,195.252.100.255,business,RS 
195.252.101.0,195.252.107.127,isp,RS 
195.252.107.128,195.252.107.135,business,RS 
195.252.107.136,195.252.107.143,isp,RS 
195.252.107.144,195.252.107.151,business,RS 
195.252.107.152,195.252.107.159,isp,RS 
195.252.107.160,195.252.107.191,business,RS 
195.252.107.192,195.252.107.199,isp,RS 
195.252.107.200,195.252.107.207,business,RS 
195.252.107.208,195.252.111.255,isp,RS 
195.252.112.0,195.252.112.255,business,RS 
195.252.113.0,195.252.117.255,isp,RS 
195.252.118.0,195.252.118.127,business,RS 
195.252.118.128,195.252.118.143,isp,RS 
195.252.118.144,195.252.118.151,business,DK 
195.252.118.152,195.252.119.255,isp,RS 
195.252.120.0,195.252.120.255,business,RS 
195.252.121.0,195.252.126.191,isp,RS 
195.252.126.192,195.252.126.255,business,RS 
195.252.127.0,195.252.127.31,isp,RS 
195.252.127.32,195.252.127.63,business,RS 
195.252.127.64,195.252.127.255,isp,RS 
195.252.128.0,195.252.163.255,hosting,DE 
195.252.164.0,195.252.167.255,business,US 
195.252.168.0,195.252.171.255,isp,NZ 
195.252.172.0,195.252.172.255,business,HK 
195.252.173.0,195.252.175.255,business,US 
195.252.176.0,195.252.191.255,hosting,DE 
195.252.192.0,195.252.209.255,isp,US 
195.252.210.0,195.252.211.255,education,US 
195.252.212.0,195.252.216.159,isp,US 
195.252.216.160,195.252.216.175,business,US 
195.252.216.176,195.252.219.199,isp,US 
195.252.219.200,195.252.219.207,business,US 
195.252.219.208,195.252.232.223,isp,US 
195.252.232.224,195.252.232.231,business,US 
195.252.232.232,195.252.240.108,isp,US 
195.252.240.109,195.252.240.109,business,US 
195.252.240.110,195.252.243.32,isp,US 
195.252.243.33,195.252.243.33,business,US 
195.252.243.34,195.252.243.203,isp,US 
195.252.243.204,195.252.243.204,isp,GB 
195.252.243.205,195.252.248.79,isp,US 
195.252.248.80,195.252.248.80,business,US 
195.252.248.81,195.252.248.90,isp,US 
195.252.248.91,195.252.248.91,business,US 
195.252.248.92,195.252.248.192,isp,US 
195.252.248.193,195.252.248.193,business,US 
195.252.248.194,195.252.248.222,isp,US 
195.252.248.223,195.252.248.223,isp,GB 
195.252.248.224,195.252.249.11,isp,US 
195.252.249.12,195.252.249.12,business,US 
195.252.249.13,195.252.249.21,isp,US 
195.252.249.22,195.252.249.22,business,US 
195.252.249.23,195.252.249.164,isp,US 
195.252.249.165,195.252.249.165,business,US 
195.252.249.166,195.252.255.255,isp,US 
