195.137.0.0,195.137.15.255,business,GB,AS9105 
195.137.16.0,195.137.16.255,isp,GB,AS9105 
195.137.17.0,195.137.17.255,business,GB,AS9105 
195.137.18.0,195.137.18.255,isp,GB,AS9105 
195.137.19.0,195.137.26.255,business,GB,AS9105 
195.137.27.0,195.137.27.255,isp,GB,AS9105 
195.137.28.0,195.137.127.255,business,GB,AS9105 
195.137.128.0,195.137.131.255,isp,IT,AS60822 
195.137.132.0,195.137.139.255,business,IT, 
195.137.140.0,195.137.151.255,isp,IT,AS60822 
195.137.152.0,195.137.152.255,business,IT, 
195.137.153.0,195.137.159.255,isp,IT,AS60822 
195.137.160.0,195.137.160.255,business,BY,AS6697 
195.137.161.0,195.137.161.255,isp,PL,AS35601 
195.137.162.0,195.137.162.255,business,PL,AS20804 
195.137.163.0,195.137.163.255,business,DE,AS8422 
195.137.164.0,195.137.164.255,hosting,BG,AS33561 
195.137.165.0,195.137.165.255,hosting,NL,AS31477 
195.137.166.0,195.137.166.255,hosting,RO,AS35604 
195.137.168.0,195.137.168.255,business,BG,AS33561 
195.137.169.0,195.137.169.255,business,NL,AS31477 
195.137.170.0,195.137.170.255,hosting,DE,AS42442 
195.137.171.0,195.137.171.255,business,RU,AS35683 
195.137.172.0,195.137.172.255,hosting,CH,AS15576 
195.137.173.0,195.137.173.255,education,CY, 
195.137.174.0,195.137.174.255,business,KW,AS49104 
195.137.175.0,195.137.175.255,business,CH,AS9044 
195.137.176.0,195.137.176.255,business,GB, 
195.137.177.0,195.137.177.255,business,KZ, 
195.137.178.0,195.137.178.255,business,DK,AS3292 
195.137.179.0,195.137.179.255,isp,EE, 
195.137.180.0,195.137.180.255,business,BY, 
195.137.181.0,195.137.181.255,business,FR,AS212709 
195.137.182.0,195.137.182.255,isp,CZ,AS202522 
195.137.183.0,195.137.183.255,business,DK,AS35789 
195.137.184.0,195.137.184.255,hosting,FR,AS35717 
195.137.185.0,195.137.185.255,business,UA,AS35688 
195.137.186.0,195.137.186.223,hosting,FR,AS197883 
195.137.186.224,195.137.186.255,business,FR,AS197883 
195.137.187.0,195.137.187.255,business,RU,AS35730 
195.137.188.0,195.137.188.79,hosting,FR,AS197883 
195.137.188.80,195.137.188.103,business,FR,AS197883 
195.137.188.104,195.137.188.127,hosting,FR,AS197883 
195.137.188.128,195.137.188.195,business,FR,AS197883 
195.137.188.196,195.137.188.199,hosting,FR,AS197883 
195.137.188.200,195.137.188.211,business,FR,AS197883 
195.137.188.212,195.137.188.223,hosting,FR,AS197883 
195.137.188.224,195.137.188.227,business,FR,AS197883 
195.137.188.228,195.137.188.255,hosting,FR,AS197883 
195.137.189.0,195.137.189.255,hosting,PL,AS15694 
195.137.190.0,195.137.190.255,hosting,KW,AS56680 
195.137.191.0,195.137.191.255,hosting,DE,AS35684 
195.137.192.0,195.137.193.255,business,FR, 
195.137.194.0,195.137.195.255,business,DK,AS29266 
195.137.196.0,195.137.197.255,business,PL,AS29275 
195.137.198.0,195.137.199.255,hosting,DE,AS29316 
195.137.200.0,195.137.201.255,isp,RU,AS29303 
195.137.202.0,195.137.203.255,hosting,UA,AS29491 
195.137.204.0,195.137.205.255,business,IE, 
195.137.206.0,195.137.207.255,business,RU, 
195.137.208.0,195.137.209.255,business,PL,AS43173 
195.137.210.0,195.137.211.255,isp,DE,AS29317 
195.137.212.0,195.137.213.255,business,DE, 
195.137.214.0,195.137.215.255,business,NL, 
195.137.216.0,195.137.217.255,business,DE,AS3320 
195.137.218.0,195.137.219.255,hosting,UA,AS8870 
195.137.220.0,195.137.220.255,hosting,US,AS136258 
195.137.221.0,195.137.221.255,hosting,BG,AS201507 
195.137.222.0,195.137.223.255,isp,TR,AS29399 
195.137.224.0,195.137.225.255,hosting,DE,AS29358 
195.137.226.0,195.137.227.255,business,DE, 
195.137.228.0,195.137.229.255,isp,LU,AS34683 
195.137.230.0,195.137.230.255,business,TR, 
195.137.231.0,195.137.231.255,isp,DE,AS198119 
195.137.232.0,195.137.233.255,isp,UA,AS29382 
195.137.234.0,195.137.235.255,business,DE,AS29373 
195.137.236.0,195.137.237.255,business,DK,AS59701 
195.137.238.0,195.137.239.255,business,AT,AS41905 
195.137.240.0,195.137.241.255,hosting,UA,AS29389 
195.137.242.0,195.137.242.255,business,NL,AS8455 
195.137.243.0,195.137.243.255,business,BE,AS48260 
195.137.244.0,195.137.245.255,isp,UA,AS29443 
195.137.246.0,195.137.247.255,business,PL,AS31409 
195.137.248.0,195.137.249.255,business,FR, 
195.137.250.0,195.137.251.255,education,UA,AS29421 
195.137.254.0,195.137.255.255,business,UA, 
