195.135.0.0,195.135.11.255,hosting,FR,AS8399 
195.135.12.0,195.135.13.255,isp,ES,AS8399 
195.135.14.0,195.135.47.255,hosting,FR,AS8399 
195.135.48.0,195.135.63.255,isp,ES,AS8399 
195.135.64.0,195.135.127.255,hosting,FR,AS8399 
195.135.128.0,195.135.130.255,business,DE,AS8469 
195.135.131.0,195.135.132.255,hosting,DE,AS8469 
195.135.133.0,195.135.134.127,business,DE,AS8469 
195.135.134.128,195.135.134.143,hosting,DE,AS8469 
195.135.134.144,195.135.134.255,business,DE,AS8469 
195.135.135.0,195.135.136.255,hosting,DE,AS8469 
195.135.137.0,195.135.138.15,business,DE,AS8469 
195.135.138.16,195.135.138.31,hosting,DE,AS8469 
195.135.138.32,195.135.138.255,business,DE,AS8469 
195.135.139.0,195.135.139.255,hosting,DE,AS8469 
195.135.140.0,195.135.142.159,business,DE,AS8469 
195.135.142.160,195.135.142.183,hosting,DE,AS8469 
195.135.142.184,195.135.143.31,business,DE,AS8469 
195.135.143.32,195.135.143.127,hosting,DE,AS8469 
195.135.143.128,195.135.145.159,business,DE,AS8469 
195.135.145.160,195.135.145.175,hosting,DE,AS8469 
195.135.145.176,195.135.145.255,business,DE,AS8469 
195.135.146.0,195.135.146.191,hosting,DE,AS8469 
195.135.146.192,195.135.146.255,business,DE,AS8469 
195.135.147.0,195.135.148.255,hosting,DE,AS8469 
195.135.149.0,195.135.149.255,business,DE,AS8469 
195.135.150.0,195.135.150.127,hosting,DE,AS8469 
195.135.150.128,195.135.150.191,business,DE,AS8469 
195.135.150.192,195.135.150.207,hosting,DE,AS8469 
195.135.150.208,195.135.150.223,business,DE,AS8469 
195.135.150.224,195.135.151.7,hosting,DE,AS8469 
195.135.151.8,195.135.151.15,business,DE,AS8469 
195.135.151.16,195.135.151.31,hosting,DE,AS8469 
195.135.151.32,195.135.151.39,business,DE,AS8469 
195.135.151.40,195.135.151.47,hosting,DE,AS8469 
195.135.151.48,195.135.151.87,business,DE,AS8469 
195.135.151.88,195.135.151.103,hosting,DE,AS8469 
195.135.151.104,195.135.151.135,business,DE,AS8469 
195.135.151.136,195.135.151.143,hosting,DE,AS8469 
195.135.151.144,195.135.151.239,business,DE,AS8469 
195.135.151.240,195.135.151.243,hosting,DE,AS8469 
195.135.151.244,195.135.151.247,business,DE,AS8469 
195.135.151.248,195.135.152.223,hosting,DE,AS8469 
195.135.152.224,195.135.152.239,business,DE,AS8469 
195.135.152.240,195.135.152.255,hosting,DE,AS8469 
195.135.153.0,195.135.153.15,business,DE,AS8469 
195.135.153.16,195.135.153.23,hosting,DE,AS8469 
195.135.153.24,195.135.153.239,business,DE,AS8469 
195.135.153.240,195.135.153.247,hosting,DE,AS8469 
195.135.153.248,195.135.154.127,business,DE,AS8469 
195.135.154.128,195.135.154.255,hosting,DE,AS8469 
195.135.155.0,195.135.155.31,business,DE,AS8469 
195.135.155.32,195.135.155.47,hosting,DE,AS8469 
195.135.155.48,195.135.155.159,business,DE,AS8469 
195.135.155.160,195.135.155.175,hosting,DE,AS8469 
195.135.155.176,195.135.155.207,business,DE,AS8469 
195.135.155.208,195.135.155.223,hosting,DE,AS8469 
195.135.155.224,195.135.156.31,business,DE,AS8469 
195.135.156.32,195.135.156.63,hosting,DE,AS8469 
195.135.156.64,195.135.156.95,business,DE,AS8469 
195.135.156.96,195.135.156.191,hosting,DE,AS8469 
195.135.156.192,195.135.156.223,business,DE,AS8469 
195.135.156.224,195.135.156.255,hosting,DE,AS8469 
195.135.157.0,195.135.159.31,business,DE,AS8469 
195.135.159.32,195.135.159.63,hosting,DE,AS8469 
195.135.159.64,195.135.159.95,business,DE,AS8469 
195.135.159.96,195.135.159.255,hosting,DE,AS8469 
195.135.160.0,195.135.160.31,business,DE,AS8469 
195.135.160.32,195.135.161.255,hosting,DE,AS8469 
195.135.162.0,195.135.163.143,business,DE,AS8469 
195.135.163.144,195.135.163.255,hosting,DE,AS8469 
195.135.164.0,195.135.165.255,business,DE,AS8469 
195.135.166.0,195.135.166.15,hosting,DE,AS8469 
195.135.166.16,195.135.166.23,business,DE,AS8469 
195.135.166.24,195.135.166.31,hosting,DE,AS8469 
195.135.166.32,195.135.166.71,business,DE,AS8469 
195.135.166.72,195.135.166.79,hosting,DE,AS8469 
195.135.166.80,195.135.166.111,business,DE,AS8469 
195.135.166.112,195.135.166.127,hosting,DE,AS8469 
195.135.166.128,195.135.166.191,business,DE,AS8469 
195.135.166.192,195.135.166.207,education,DE,AS8469 
195.135.166.208,195.135.166.255,business,DE,AS8469 
195.135.167.0,195.135.167.127,hosting,DE,AS8469 
195.135.167.128,195.135.167.135,business,DE,AS8469 
195.135.167.136,195.135.167.183,hosting,DE,AS8469 
195.135.167.184,195.135.167.191,business,DE,AS8469 
195.135.167.192,195.135.169.255,hosting,DE,AS8469 
195.135.170.0,195.135.170.255,business,DE,AS8469 
195.135.171.0,195.135.171.255,hosting,DE,AS8469 
195.135.172.0,195.135.186.255,business,DE,AS8469 
195.135.187.0,195.135.188.15,hosting,DE,AS8469 
195.135.188.16,195.135.188.31,business,DE,AS8469 
195.135.188.32,195.135.189.223,hosting,DE,AS8469 
195.135.189.224,195.135.191.255,business,DE,AS8469 
195.135.192.0,195.135.193.255,hosting,GB,AS20473 
195.135.194.0,195.135.194.255,business,US, 
195.135.195.0,195.135.195.255,hosting,NL,AS20857 
195.135.196.0,195.135.199.255,business,UA,AS25165 
195.135.200.0,195.135.203.255,business,IT,AS44936 
195.135.204.0,195.135.207.255,business,RU, 
195.135.208.0,195.135.211.255,business,GB,AS25577 
195.135.212.0,195.135.215.255,isp,RU,AS8774 
