195.158.0.0,195.158.31.255,isp,UZ,AS8193 
195.158.32.0,195.158.33.127,business,DE,AS8319 
195.158.33.128,195.158.34.255,hosting,DE,AS8319 
195.158.35.0,195.158.35.47,business,DE,AS8319 
195.158.35.48,195.158.35.63,hosting,DE,AS8319 
195.158.35.64,195.158.35.191,business,DE,AS8319 
195.158.35.192,195.158.35.255,hosting,DE,AS8319 
195.158.36.0,195.158.36.127,business,DE,AS8319 
195.158.36.128,195.158.36.255,hosting,DE,AS8319 
195.158.37.0,195.158.39.255,business,DE,AS8319 
195.158.40.0,195.158.52.63,hosting,DE,AS8319 
195.158.52.64,195.158.52.71,business,DE,AS8319 
195.158.52.72,195.158.52.135,hosting,DE,AS8319 
195.158.52.136,195.158.52.144,business,DE,AS8319 
195.158.52.145,195.158.58.255,hosting,DE,AS8319 
195.158.59.0,195.158.59.255,business,DE,AS8319 
195.158.60.0,195.158.63.255,hosting,DE,AS8319 
195.158.64.0,195.158.127.255,isp,MT,AS15735 
195.158.128.0,195.158.130.75,isp,DE,AS3209 
195.158.130.76,195.158.130.79,business,DE,AS3209 
195.158.130.80,195.158.130.127,isp,DE,AS3209 
195.158.130.128,195.158.130.159,business,DE,AS3209 
195.158.130.160,195.158.132.255,isp,DE,AS3209 
195.158.133.0,195.158.133.255,business,DE,AS3209 
195.158.134.0,195.158.138.71,isp,DE,AS3209 
195.158.138.72,195.158.138.79,business,DE,AS3209 
195.158.138.80,195.158.138.87,isp,DE,AS3209 
195.158.138.88,195.158.138.91,business,DE,AS3209 
195.158.138.92,195.158.138.143,isp,DE,AS3209 
195.158.138.144,195.158.138.147,business,DE,AS3209 
195.158.138.148,195.158.138.159,isp,DE,AS3209 
195.158.138.160,195.158.138.167,business,DE,AS3209 
195.158.138.168,195.158.138.239,isp,DE,AS3209 
195.158.138.240,195.158.138.243,business,DE,AS3209 
195.158.138.244,195.158.138.247,isp,DE,AS3209 
195.158.138.248,195.158.138.251,business,DE,AS3209 
195.158.138.252,195.158.139.19,isp,DE,AS3209 
195.158.139.20,195.158.139.23,business,DE,AS3209 
195.158.139.24,195.158.139.55,isp,DE,AS3209 
195.158.139.56,195.158.139.59,business,DE,AS3209 
195.158.139.60,195.158.139.83,isp,DE,AS3209 
195.158.139.84,195.158.139.87,business,DE,AS3209 
195.158.139.88,195.158.139.163,isp,DE,AS3209 
195.158.139.164,195.158.139.167,business,DE,AS3209 
195.158.139.168,195.158.140.103,isp,DE,AS3209 
195.158.140.104,195.158.140.111,business,DE,AS3209 
195.158.140.112,195.158.140.119,isp,DE,AS3209 
195.158.140.120,195.158.140.127,business,DE,AS3209 
195.158.140.128,195.158.140.255,isp,DE,AS3209 
195.158.141.0,195.158.141.7,business,DE,AS3209 
195.158.141.8,195.158.141.175,isp,DE,AS3209 
195.158.141.176,195.158.141.183,business,DE,AS3209 
195.158.141.184,195.158.141.199,isp,DE,AS3209 
195.158.141.200,195.158.141.203,business,DE,AS3209 
195.158.141.204,195.158.145.39,isp,DE,AS3209 
195.158.145.40,195.158.145.47,business,DE,AS3209 
195.158.145.48,195.158.145.55,isp,DE,AS3209 
195.158.145.56,195.158.145.63,business,DE,AS3209 
195.158.145.64,195.158.145.127,isp,DE,AS3209 
195.158.145.128,195.158.145.255,business,DE,AS3209 
195.158.146.0,195.158.151.7,isp,DE,AS3209 
195.158.151.8,195.158.151.15,business,DE,AS3209 
195.158.151.16,195.158.151.119,isp,DE,AS3209 
195.158.151.120,195.158.151.127,business,DE,AS3209 
195.158.151.128,195.158.151.167,isp,DE,AS3209 
195.158.151.168,195.158.151.175,business,DE,AS3209 
195.158.151.176,195.158.151.231,isp,DE,AS3209 
195.158.151.232,195.158.151.247,business,DE,AS3209 
195.158.151.248,195.158.156.255,isp,DE,AS3209 
195.158.157.0,195.158.157.7,business,DE,AS3209 
195.158.157.8,195.158.157.15,isp,DE,AS3209 
195.158.157.16,195.158.157.23,business,DE,AS3209 
195.158.157.24,195.158.157.63,isp,DE,AS3209 
195.158.157.64,195.158.157.183,business,DE,AS3209 
195.158.157.184,195.158.158.255,isp,DE,AS3209 
195.158.159.0,195.158.159.255,business,DE,AS3209 
195.158.160.0,195.158.183.96,isp,DE,AS20676 
195.158.183.97,195.158.183.97,business,DE,AS20676 
195.158.183.98,195.158.183.125,isp,DE,AS20676 
195.158.183.126,195.158.183.127,business,DE,AS20676 
195.158.183.128,195.158.183.143,isp,DE,AS20676 
195.158.183.144,195.158.183.147,business,DE,AS20676 
195.158.183.148,195.158.183.164,isp,DE,AS20676 
195.158.183.165,195.158.183.165,business,DE,AS20676 
195.158.183.166,195.158.183.166,isp,DE,AS20676 
195.158.183.167,195.158.183.167,business,DE,AS20676 
195.158.183.168,195.158.183.191,isp,DE,AS20676 
195.158.183.192,195.158.183.199,business,DE,AS20676 
195.158.183.200,195.158.183.219,isp,DE,AS20676 
195.158.183.220,195.158.183.220,business,DE,AS20676 
195.158.183.221,195.158.183.221,isp,DE,AS20676 
195.158.183.222,195.158.183.222,business,DE,AS20676 
195.158.183.223,195.158.183.223,isp,DE,AS20676 
195.158.183.224,195.158.183.255,business,DE,AS20676 
195.158.184.0,195.158.184.8,isp,DE,AS20676 
195.158.184.9,195.158.184.9,business,DE,AS20676 
195.158.184.10,195.158.184.10,isp,DE,AS20676 
195.158.184.11,195.158.184.11,business,DE,AS20676 
195.158.184.12,195.158.184.23,isp,DE,AS20676 
195.158.184.24,195.158.184.24,business,DE,AS20676 
195.158.184.25,195.158.184.26,isp,DE,AS20676 
195.158.184.27,195.158.184.27,business,DE,AS20676 
195.158.184.28,195.158.184.28,isp,DE,AS20676 
195.158.184.29,195.158.184.30,business,DE,AS20676 
195.158.184.31,195.158.184.51,isp,DE,AS20676 
195.158.184.52,195.158.184.87,business,DE,AS20676 
195.158.184.88,195.158.184.95,isp,DE,AS20676 
195.158.184.96,195.158.184.99,business,DE,AS20676 
195.158.184.100,195.158.184.101,isp,DE,AS20676 
195.158.184.102,195.158.184.102,business,DE,AS20676 
195.158.184.103,195.158.184.107,isp,DE,AS20676 
195.158.184.108,195.158.184.108,business,DE,AS20676 
195.158.184.109,195.158.184.109,isp,DE,AS20676 
195.158.184.110,195.158.184.127,business,DE,AS20676 
195.158.184.128,195.158.184.159,isp,DE,AS20676 
195.158.184.160,195.158.184.183,business,DE,AS20676 
195.158.184.184,195.158.184.223,isp,DE,AS20676 
195.158.184.224,195.158.184.231,business,DE,AS20676 
195.158.184.232,195.158.184.240,isp,DE,AS20676 
195.158.184.241,195.158.184.243,business,DE,AS20676 
195.158.184.244,195.158.184.244,isp,DE,AS20676 
195.158.184.245,195.158.184.245,business,DE,AS20676 
195.158.184.246,195.158.184.255,isp,DE,AS20676 
195.158.185.0,195.158.185.3,business,DE,AS20676 
195.158.185.4,195.158.185.23,isp,DE,AS20676 
195.158.185.24,195.158.185.27,business,DE,AS20676 
195.158.185.28,195.158.185.35,isp,DE,AS20676 
195.158.185.36,195.158.185.47,business,DE,AS20676 
195.158.185.48,195.158.185.87,isp,DE,AS20676 
195.158.185.88,195.158.185.95,business,DE,AS20676 
195.158.185.96,195.158.185.119,isp,DE,AS20676 
195.158.185.120,195.158.185.120,business,DE,AS20676 
195.158.185.121,195.158.185.121,isp,DE,AS20676 
195.158.185.122,195.158.185.122,business,DE,AS20676 
195.158.185.123,195.158.185.123,isp,DE,AS20676 
195.158.185.124,195.158.185.124,business,DE,AS20676 
195.158.185.125,195.158.185.143,isp,DE,AS20676 
195.158.185.144,195.158.185.159,business,DE,AS20676 
195.158.185.160,195.158.185.191,isp,DE,AS20676 
195.158.185.192,195.158.185.207,business,DE,AS20676 
195.158.185.208,195.158.185.236,isp,DE,AS20676 
195.158.185.237,195.158.185.237,business,DE,AS20676 
195.158.185.238,195.158.185.238,isp,DE,AS20676 
195.158.185.239,195.158.185.255,business,DE,AS20676 
195.158.186.0,195.158.191.255,isp,DE,AS20676 
195.158.192.0,195.158.192.255,hosting,SE,AS60781 
195.158.193.0,195.158.195.255,business,SE,AS60781 
195.158.196.0,195.158.199.255,isp,UA,AS43967 
