195.160.0.0,195.160.63.255,business,FR, 
195.160.64.0,195.160.95.255,business,CH,AS203211 
195.160.96.0,195.160.159.255,hosting,FR,AS3360 
195.160.160.0,195.160.161.255,business,DE,AS12360 
195.160.162.0,195.160.163.255,business,RO,AS9009 
195.160.164.0,195.160.165.255,isp,RU,AS59665 
195.160.166.0,195.160.167.255,hosting,BE,AS35627 
195.160.168.0,195.160.169.255,hosting,DE,AS197782 
195.160.170.0,195.160.171.255,business,LV,AS35636 
195.160.172.0,195.160.173.255,business,DE,AS49225 
195.160.174.0,195.160.175.255,isp,PL, 
195.160.176.0,195.160.177.255,hosting,SE,AS41980 
195.160.178.0,195.160.179.255,education,PL,AS44959 
195.160.180.0,195.160.181.255,isp,PL,AS13110 
195.160.182.0,195.160.183.255,isp,SK,AS16354 
195.160.184.0,195.160.185.255,isp,PL,AS35007 
195.160.186.0,195.160.187.255,business,NL, 
195.160.188.0,195.160.189.255,hosting,FR,AS35665 
195.160.190.0,195.160.191.255,hosting,CH,AS35663 
195.160.192.0,195.160.195.255,isp,US,AS3257 
195.160.196.0,195.160.199.255,hosting,DE,AS34154 
195.160.200.0,195.160.203.255,hosting,DE,AS44949 
195.160.204.0,195.160.207.255,isp,UA,AS49480 
195.160.208.0,195.160.211.255,business,IT,AS12954 
195.160.212.0,195.160.215.255,isp,GB,AS34134 
195.160.216.0,195.160.219.255,hosting,NL,AS34215 
195.160.220.0,195.160.223.255,business,NL,AS43641 
195.160.224.0,195.160.227.255,isp,ES,AS15704 
195.160.228.0,195.160.231.255,business,DE,AS31103 
195.160.232.0,195.160.235.255,hosting,MT,AS28776 
195.160.236.0,195.160.239.255,business,GB, 
195.160.240.0,195.160.243.255,government,IL,AS43381 
195.160.244.0,195.160.247.255,isp,RU,AS12389 
195.160.248.0,195.160.251.255,business,DE,AS3320 
195.160.252.0,195.160.255.255,hosting,NL,AS34311 
