195.207.0.0,195.207.45.255,isp,BE 
195.207.46.0,195.207.47.255,business,BE 
195.207.48.0,195.207.133.255,isp,BE 
195.207.134.0,195.207.134.255,business,BE 
195.207.135.0,195.207.156.255,isp,BE 
195.207.157.0,195.207.158.255,business,BE 
195.207.159.0,195.207.178.255,isp,BE 
195.207.179.0,195.207.179.255,business,BE 
195.207.180.0,195.207.183.255,isp,BE 
195.207.184.0,195.207.184.255,business,BE 
195.207.185.0,195.207.255.255,isp,BE 
