195.113.0.0,195.113.69.255,education,CZ,AS2852 
195.113.70.0,195.113.70.31,business,CZ,AS2852 
195.113.70.32,195.113.70.71,education,CZ,AS2852 
195.113.70.72,195.113.70.113,business,CZ,AS2852 
195.113.70.114,195.113.70.119,education,CZ,AS2852 
195.113.70.120,195.113.70.123,business,CZ,AS2852 
195.113.70.124,195.113.78.255,education,CZ,AS2852 
195.113.79.0,195.113.79.255,business,CZ,AS2852 
195.113.80.0,195.113.80.127,education,CZ,AS2852 
195.113.80.128,195.113.80.191,business,CZ,AS2852 
195.113.80.192,195.113.80.227,education,CZ,AS2852 
195.113.80.228,195.113.80.229,business,CZ,AS2852 
195.113.80.230,195.113.80.231,education,CZ,AS2852 
195.113.80.232,195.113.80.247,business,CZ,AS2852 
195.113.80.248,195.113.81.255,education,CZ,AS2852 
195.113.82.0,195.113.82.127,business,CZ,AS2852 
195.113.82.128,195.113.82.143,education,CZ,AS2852 
195.113.82.144,195.113.82.159,business,CZ,AS2852 
195.113.82.160,195.113.82.167,education,CZ,AS2852 
195.113.82.168,195.113.82.171,business,CZ,AS2852 
195.113.82.172,195.113.83.255,education,CZ,AS2852 
195.113.84.0,195.113.84.127,business,CZ,AS2852 
195.113.84.128,195.113.86.143,education,CZ,AS2852 
195.113.86.144,195.113.86.179,business,CZ,AS2852 
195.113.86.180,195.113.86.191,education,CZ,AS2852 
195.113.86.192,195.113.86.255,business,CZ,AS2852 
195.113.87.0,195.113.87.191,education,CZ,AS2852 
195.113.87.192,195.113.87.255,business,CZ,AS2852 
195.113.88.0,195.113.101.199,education,CZ,AS2852 
195.113.101.200,195.113.101.231,business,CZ,AS2852 
195.113.101.232,195.113.123.31,education,CZ,AS2852 
195.113.123.32,195.113.123.47,business,CZ,AS2852 
195.113.123.48,195.113.123.51,education,CZ,AS2852 
195.113.123.52,195.113.123.59,business,CZ,AS2852 
195.113.123.60,195.113.123.63,education,CZ,AS2852 
195.113.123.64,195.113.123.255,business,CZ,AS2852 
195.113.124.0,195.113.134.255,education,CZ,AS2852 
195.113.135.0,195.113.135.255,business,CZ,AS2852 
195.113.136.0,195.113.141.255,education,CZ,AS2852 
195.113.142.0,195.113.142.31,business,CZ,AS2852 
195.113.142.32,195.113.142.107,education,CZ,AS2852 
195.113.142.108,195.113.142.127,business,CZ,AS2852 
195.113.142.128,195.113.142.135,education,CZ,AS2852 
195.113.142.136,195.113.142.151,business,CZ,AS2852 
195.113.142.152,195.113.142.167,education,CZ,AS2852 
195.113.142.168,195.113.142.175,business,CZ,AS2852 
195.113.142.176,195.113.142.183,education,CZ,AS2852 
195.113.142.184,195.113.142.255,business,CZ,AS2852 
195.113.143.0,195.113.144.255,education,CZ,AS2852 
195.113.145.0,195.113.146.191,business,CZ,AS2852 
195.113.146.192,195.113.147.255,education,CZ,AS2852 
195.113.148.0,195.113.148.31,business,CZ,AS2852 
195.113.148.32,195.113.148.63,education,CZ,AS2852 
195.113.148.64,195.113.148.95,business,CZ,AS2852 
195.113.148.96,195.113.148.115,education,CZ,AS2852 
195.113.148.116,195.113.148.127,business,CZ,AS2852 
195.113.148.128,195.113.148.163,education,CZ,AS2852 
195.113.148.164,195.113.148.183,business,CZ,AS2852 
