114.143.0.0,114.143.0.0,isp,IN,AS17762 
114.143.0.1,114.143.0.255,business,IN,AS17762 
114.143.1.0,114.143.2.0,isp,IN,AS17762 
114.143.2.1,114.143.2.255,isp,IN,AS134540 
114.143.3.0,114.143.4.0,isp,IN,AS17762 
114.143.4.1,114.143.4.255,isp,IN,AS134540 
114.143.5.0,114.143.5.0,isp,IN,AS17762 
114.143.5.1,114.143.5.255,isp,IN,AS134540 
114.143.6.0,114.143.8.0,isp,IN,AS17762 
114.143.8.1,114.143.8.255,isp,IN,AS134540 
114.143.9.0,114.143.10.0,isp,IN,AS17762 
114.143.10.1,114.143.10.255,business,IN,AS134540 
114.143.11.0,114.143.11.0,isp,IN,AS17762 
114.143.11.1,114.143.11.255,isp,IN,AS134540 
114.143.12.0,114.143.12.0,isp,IN,AS17762 
114.143.12.1,114.143.12.255,isp,IN,AS134540 
114.143.13.0,114.143.15.0,isp,IN,AS17762 
114.143.15.1,114.143.15.255,isp,IN,AS134540 
114.143.16.0,114.143.18.0,isp,IN,AS17762 
114.143.18.1,114.143.18.255,business,IN,AS134540 
114.143.19.0,114.143.19.0,isp,IN,AS17762 
114.143.19.1,114.143.19.255,isp,IN,AS134540 
114.143.20.0,114.143.21.0,isp,IN,AS17762 
114.143.21.1,114.143.21.223,isp,IN,AS134540 
114.143.21.224,114.143.21.231,business,IN,AS134540 
114.143.21.232,114.143.21.255,isp,IN,AS134540 
114.143.22.0,114.143.22.0,isp,IN,AS17762 
114.143.22.1,114.143.22.255,isp,IN,AS134540 
114.143.23.0,114.143.28.0,isp,IN,AS17762 
114.143.28.1,114.143.28.255,isp,IN,AS134540 
114.143.29.0,114.143.29.0,isp,IN,AS17762 
114.143.29.1,114.143.29.255,isp,IN,AS134540 
114.143.30.0,114.143.32.0,isp,IN,AS17762 
114.143.32.1,114.143.39.254,isp,IN,AS134540 
114.143.39.255,114.143.75.255,isp,IN,AS17762 
114.143.76.0,114.143.79.255,business,IN,AS17762 
114.143.80.0,114.143.80.0,isp,IN,AS17762 
114.143.80.1,114.143.95.254,isp,IN,AS134540 
114.143.95.255,114.143.96.0,isp,IN,AS17762 
114.143.96.1,114.143.96.254,isp,IN,AS134540 
114.143.96.255,114.143.110.63,isp,IN,AS17762 
114.143.110.64,114.143.110.127,business,IN,AS17762 
114.143.110.128,114.143.110.191,isp,IN,AS17762 
114.143.110.192,114.143.110.255,business,IN,AS17762 
