80.73.199.136,80.73.199.159,business,RU,AS31376 
80.73.199.160,80.73.199.175,isp,RU,AS31376 
80.73.199.176,80.73.199.255,business,RU,AS31376 
80.73.200.0,80.73.200.31,isp,RU,AS31376 
80.73.200.32,80.73.200.39,business,RU,AS31376 
80.73.200.40,80.73.200.63,isp,RU,AS31376 
80.73.200.64,80.73.200.79,business,RU,AS31376 
80.73.200.80,80.73.200.135,isp,RU,AS31376 
80.73.200.136,80.73.200.143,business,RU,AS31376 
80.73.200.144,80.73.200.159,isp,RU,AS31376 
80.73.200.160,80.73.200.175,business,RU,AS31376 
80.73.200.176,80.73.200.223,isp,RU,AS31376 
80.73.200.224,80.73.200.248,business,RU,AS31376 
80.73.200.249,80.73.201.31,isp,RU,AS31376 
80.73.201.32,80.73.201.111,business,RU,AS31376 
80.73.201.112,80.73.201.143,isp,RU,AS31376 
80.73.201.144,80.73.201.239,business,RU,AS31376 
80.73.201.240,80.73.202.15,isp,RU,AS31376 
80.73.202.16,80.73.202.175,business,RU,AS31376 
80.73.202.176,80.73.202.191,isp,RU,AS31376 
80.73.202.192,80.73.202.247,business,RU,AS31376 
80.73.202.248,80.73.202.255,isp,RU,AS31376 
80.73.203.0,80.73.203.31,business,RU,AS31376 
80.73.203.32,80.73.203.47,education,RU,AS31376 
80.73.203.48,80.73.203.83,business,RU,AS31376 
80.73.203.84,80.73.203.87,isp,RU,AS31376 
80.73.203.88,80.73.203.127,business,RU,AS31376 
80.73.203.128,80.73.203.159,isp,RU,AS31376 
80.73.203.160,80.73.203.199,business,RU,AS31376 
80.73.203.200,80.73.203.207,isp,RU,AS31376 
80.73.203.208,80.73.203.231,business,RU,AS31376 
80.73.203.232,80.73.203.239,isp,RU,AS31376 
80.73.203.240,80.73.204.63,business,RU,AS31376 
80.73.204.64,80.73.204.71,isp,RU,AS31376 
80.73.204.72,80.73.204.198,business,RU,AS31376 
80.73.204.199,80.73.204.199,isp,RU,AS31376 
80.73.204.200,80.73.204.223,business,RU,AS31376 
80.73.204.224,80.73.205.7,isp,RU,AS31376 
80.73.205.8,80.73.205.47,business,RU,AS31376 
80.73.205.48,80.73.205.55,isp,RU,AS31376 
80.73.205.56,80.73.205.94,business,RU,AS31376 
80.73.205.95,80.73.205.95,isp,RU,AS31376 
80.73.205.96,80.73.205.119,business,RU,AS31376 
80.73.205.120,80.73.205.191,isp,RU,AS31376 
80.73.205.192,80.73.205.223,business,RU,AS31376 
80.73.205.224,80.73.205.255,isp,RU,AS31376 
80.73.206.0,80.73.207.255,business,RU,AS31376 
80.73.208.0,80.73.217.255,isp,FK,AS204649 
80.73.218.0,80.73.218.255,isp,FK, 
80.73.219.0,80.73.223.255,isp,GB,AS210841 
80.73.224.0,80.73.226.255,business,IT,AS31034 
80.73.227.0,80.73.229.255,isp,IT,AS31034 
80.73.230.0,80.73.230.255,hosting,IT,AS31034 
80.73.231.0,80.73.231.255,isp,IT,AS31034 
80.73.232.0,80.73.235.255,isp,IT,AS202613 
80.73.236.0,80.73.239.255,hosting,IT,AS202613 
80.73.240.0,80.73.240.255,business,TJ,AS210053 
80.73.241.0,80.73.241.255,hosting,FR,AS197883 
80.73.242.0,80.73.242.255,business,US,AS62240 
80.73.243.0,80.73.243.255,hosting,JP,AS203020 
80.73.244.0,80.73.244.255,business,US,AS62240 
80.73.245.0,80.73.245.255,isp,PL,AS210911 
80.73.246.0,80.73.246.255,business,NL,AS41960 
80.73.247.0,80.73.247.255,hosting,NL,AS14445 
80.73.248.0,80.73.255.255,isp,GB,AS48273 
