80.254.0.0,80.254.15.255,isp,UA,AS15738 
80.254.16.0,80.254.31.255,isp,RU,AS39101 
80.254.32.0,80.254.47.255,business,NO,AS41164 
80.254.48.0,80.254.63.255,isp,RU,AS39046 
80.254.64.0,80.254.66.255,isp,CH,AS24889 
80.254.67.0,80.254.67.255,isp,DE,AS24889 
80.254.68.0,80.254.70.255,isp,CH,AS24889 
80.254.71.0,80.254.71.63,business,CH,AS24889 
80.254.71.64,80.254.71.231,isp,CH,AS24889 
80.254.71.232,80.254.71.239,business,CH,AS24889 
80.254.71.240,80.254.79.255,isp,CH,AS24889 
80.254.80.0,80.254.95.255,isp,MT,AS15735 
80.254.96.0,80.254.98.255,business,RU,AS21479 
80.254.99.0,80.254.100.31,isp,RU,AS21479 
80.254.100.32,80.254.100.47,business,RU,AS21479 
80.254.100.48,80.254.100.79,isp,RU,AS21479 
80.254.100.80,80.254.100.111,business,RU,AS21479 
80.254.100.112,80.254.100.143,isp,RU,AS21479 
80.254.100.144,80.254.100.151,business,RU,AS21479 
80.254.100.152,80.254.100.255,isp,RU,AS21479 
80.254.101.0,80.254.101.15,business,RU,AS21479 
80.254.101.16,80.254.101.31,isp,RU,AS21479 
80.254.101.32,80.254.101.39,business,RU,AS21479 
80.254.101.40,80.254.101.63,isp,RU,AS21479 
80.254.101.64,80.254.101.87,business,RU,AS21479 
80.254.101.88,80.254.101.95,isp,RU,AS21479 
80.254.101.96,80.254.101.119,business,RU,AS21479 
80.254.101.120,80.254.101.255,isp,RU,AS21479 
80.254.102.0,80.254.108.255,business,RU,AS21479 
80.254.109.0,80.254.109.15,isp,RU,AS21479 
80.254.109.16,80.254.109.23,business,RU,AS21479 
80.254.109.24,80.254.109.127,isp,RU,AS21479 
80.254.109.128,80.254.109.135,business,RU,AS21479 
80.254.109.136,80.254.109.143,isp,RU,AS21479 
80.254.109.144,80.254.109.151,business,RU,AS21479 
80.254.109.152,80.254.109.175,isp,RU,AS21479 
80.254.109.176,80.254.109.191,business,RU,AS21479 
80.254.109.192,80.254.109.207,isp,RU,AS21479 
80.254.109.208,80.254.109.215,business,RU,AS21479 
80.254.109.216,80.254.109.255,isp,RU,AS21479 
80.254.110.0,80.254.112.255,business,RU,AS21479 
80.254.113.0,80.254.116.71,isp,RU,AS21479 
80.254.116.72,80.254.116.79,business,RU,AS21479 
80.254.116.80,80.254.116.103,isp,RU,AS21479 
80.254.116.104,80.254.116.111,business,RU,AS21479 
80.254.116.112,80.254.116.119,isp,RU,AS21479 
80.254.116.120,80.254.116.127,business,RU,AS21479 
80.254.116.128,80.254.116.143,isp,RU,AS21479 
80.254.116.144,80.254.116.151,business,RU,AS21479 
80.254.116.152,80.254.116.159,isp,RU,AS21479 
80.254.116.160,80.254.116.167,business,RU,AS21479 
80.254.116.168,80.254.116.191,isp,RU,AS21479 
80.254.116.192,80.254.116.223,business,RU,AS21479 
80.254.116.224,80.254.118.255,isp,RU,AS21479 
80.254.119.0,80.254.119.7,business,RU,AS21479 
80.254.119.8,80.254.119.15,isp,RU,AS21479 
80.254.119.16,80.254.119.31,education,RU,AS21479 
80.254.119.32,80.254.119.87,isp,RU,AS21479 
80.254.119.88,80.254.119.95,business,RU,AS21479 
80.254.119.96,80.254.119.111,isp,RU,AS21479 
80.254.119.112,80.254.119.127,business,RU,AS21479 
80.254.119.128,80.254.119.135,isp,RU,AS21479 
80.254.119.136,80.254.119.143,business,RU,AS21479 
80.254.119.144,80.254.119.151,isp,RU,AS21479 
80.254.119.152,80.254.119.159,business,RU,AS21479 
80.254.119.160,80.254.119.183,isp,RU,AS21479 
80.254.119.184,80.254.119.239,business,RU,AS21479 
80.254.119.240,80.254.119.247,isp,RU,AS21479 
80.254.119.248,80.254.119.255,business,RU,AS21479 
80.254.120.0,80.254.122.199,isp,RU,AS21479 
80.254.122.200,80.254.122.203,business,RU,AS21479 
80.254.122.204,80.254.123.175,isp,RU,AS21479 
80.254.123.176,80.254.123.183,business,RU,AS21479 
80.254.123.184,80.254.123.239,isp,RU,AS21479 
80.254.123.240,80.254.123.255,education,RU,AS21479 
80.254.124.0,80.254.126.31,isp,RU,AS21479 
80.254.126.32,80.254.126.39,business,RU,AS21479 
80.254.126.40,80.254.127.255,isp,RU,AS21479 
80.254.128.0,80.254.128.63,hosting,DE,AS21476 
80.254.128.64,80.254.128.127,isp,DE,AS21476 
80.254.128.128,80.254.129.143,hosting,DE,AS21476 
80.254.129.144,80.254.129.159,business,DE,AS21476 
80.254.129.160,80.254.130.255,hosting,DE,AS21476 
80.254.131.0,80.254.131.31,business,DE,AS21476 
80.254.131.32,80.254.131.87,hosting,DE,AS21476 
80.254.131.88,80.254.131.95,business,DE,AS21476 
80.254.131.96,80.254.131.111,hosting,DE,AS21476 
80.254.131.112,80.254.131.151,business,DE,AS21476 
80.254.131.152,80.254.131.175,hosting,DE,AS21476 
80.254.131.176,80.254.131.183,business,DE,AS21476 
80.254.131.184,80.254.131.191,hosting,DE,AS21476 
80.254.131.192,80.254.131.199,business,DE,AS21476 
80.254.131.200,80.254.131.223,hosting,DE,AS21476 
80.254.131.224,80.254.131.239,business,DE,AS21476 
80.254.131.240,80.254.132.255,hosting,DE,AS21476 
80.254.133.0,80.254.133.31,business,DE,AS21476 
80.254.133.32,80.254.133.39,isp,DE,AS21476 
80.254.133.40,80.254.133.127,hosting,DE,AS21476 
80.254.133.128,80.254.133.175,business,DE,AS21476 
80.254.133.176,80.254.133.223,hosting,DE,AS21476 
80.254.133.224,80.254.133.255,business,DE,AS21476 
80.254.134.0,80.254.134.63,hosting,DE,AS21476 
80.254.134.64,80.254.134.127,isp,DE,AS21476 
80.254.134.128,80.254.135.63,hosting,DE,AS21476 
80.254.135.64,80.254.135.95,business,DE,AS21476 
80.254.135.96,80.254.135.239,hosting,DE,AS21476 
80.254.135.240,80.254.135.247,business,DE,AS21476 
80.254.135.248,80.254.137.79,hosting,DE,AS21476 
80.254.137.80,80.254.137.87,business,DE,AS21476 
80.254.137.88,80.254.137.255,hosting,DE,AS21476 
80.254.138.0,80.254.138.63,business,DE,AS21476 
80.254.138.64,80.254.138.243,hosting,DE,AS21476 
80.254.138.244,80.254.138.247,business,DE,AS21476 
80.254.138.248,80.254.139.15,hosting,DE,AS21476 
80.254.139.16,80.254.139.63,business,DE,AS21476 
80.254.139.64,80.254.143.255,hosting,DE,AS21476 
80.254.144.0,80.254.159.255,business,US, 
80.254.160.0,80.254.160.15,hosting,CH,AS1836 
80.254.160.16,80.254.160.23,hosting,IN,AS1836 
80.254.160.24,80.254.160.151,hosting,CH,AS1836 
80.254.160.152,80.254.160.159,hosting,LI,AS1836 
80.254.160.160,80.254.162.3,hosting,CH,AS1836 
80.254.162.4,80.254.162.7,business,CH,AS1836 
80.254.162.8,80.254.162.15,hosting,CH,AS1836 
80.254.162.16,80.254.162.39,business,CH,AS1836 
80.254.162.40,80.254.162.47,hosting,CH,AS1836 
80.254.162.48,80.254.162.51,business,CH,AS1836 
80.254.162.52,80.254.162.55,hosting,CH,AS1836 
