80.200.0.0,80.200.111.255,business,BE 
80.200.112.0,80.200.239.255,isp,BE 
80.200.240.0,80.200.243.255,business,BE 
80.200.244.0,80.200.244.255,isp,BE 
80.200.245.0,80.200.248.231,business,BE 
80.200.248.232,80.200.248.239,isp,BE 
80.200.248.240,80.200.255.119,business,BE 
80.200.255.120,80.200.255.123,isp,BE 
80.200.255.124,80.201.47.255,business,BE 
