80.235.0.0,80.235.77.127,isp,EE,AS3249 
80.235.77.128,80.235.77.191,business,EE,AS3249 
80.235.77.192,80.235.124.255,isp,EE,AS3249 
80.235.125.0,80.235.125.255,business,EE,AS3249 
80.235.126.0,80.235.127.255,isp,EE,AS3249 
80.235.128.0,80.235.128.255,isp,GB,AS5089 
80.235.129.0,80.235.130.255,education,GB,AS5089 
80.235.131.0,80.235.131.255,isp,GB,AS5089 
80.235.132.0,80.235.132.255,business,GB,AS5089 
80.235.133.0,80.235.149.255,isp,GB,AS5089 
80.235.150.0,80.235.151.255,business,GB,AS5089 
80.235.152.0,80.235.153.255,isp,GB,AS5089 
80.235.154.0,80.235.154.255,education,GB,AS5089 
80.235.155.0,80.235.156.255,isp,GB,AS5089 
80.235.157.0,80.235.157.255,business,GB,AS5089 
80.235.158.0,80.235.158.255,isp,GB,AS5089 
80.235.159.0,80.235.159.255,business,GB,AS5089 
80.235.160.0,80.235.207.255,isp,GB,AS5089 
80.235.208.0,80.235.208.15,business,GB,AS5089 
80.235.208.16,80.235.208.31,isp,GB,AS5089 
80.235.208.32,80.235.208.47,business,GB,AS5089 
80.235.208.48,80.235.208.63,isp,GB,AS5089 
80.235.208.64,80.235.208.71,business,GB,AS5089 
80.235.208.72,80.235.208.95,isp,GB,AS5089 
80.235.208.96,80.235.208.103,business,GB,AS5089 
80.235.208.104,80.235.208.135,isp,GB,AS5089 
80.235.208.136,80.235.208.143,education,GB,AS5089 
80.235.208.144,80.235.208.223,isp,GB,AS5089 
80.235.208.224,80.235.208.231,business,GB,AS5089 
80.235.208.232,80.235.208.247,isp,GB,AS5089 
80.235.208.248,80.235.208.255,business,GB,AS5089 
80.235.209.0,80.235.209.63,isp,GB,AS5089 
80.235.209.64,80.235.209.71,business,GB,AS5089 
80.235.209.72,80.235.209.95,isp,GB,AS5089 
80.235.209.96,80.235.209.103,business,GB,AS5089 
80.235.209.104,80.235.209.167,isp,GB,AS5089 
80.235.209.168,80.235.209.175,business,GB,AS5089 
80.235.209.176,80.235.209.183,isp,GB,AS5089 
80.235.209.184,80.235.209.191,business,GB,AS5089 
80.235.209.192,80.235.209.207,isp,GB,AS5089 
80.235.209.208,80.235.209.215,business,GB,AS5089 
80.235.209.216,80.235.209.255,isp,GB,AS5089 
80.235.210.0,80.235.210.7,business,GB,AS5089 
80.235.210.8,80.235.210.31,isp,GB,AS5089 
80.235.210.32,80.235.210.39,business,GB,AS5089 
80.235.210.40,80.235.210.55,isp,GB,AS5089 
80.235.210.56,80.235.210.63,business,GB,AS5089 
80.235.210.64,80.235.210.71,isp,GB,AS5089 
80.235.210.72,80.235.210.79,business,GB,AS5089 
80.235.210.80,80.235.210.111,isp,GB,AS5089 
80.235.210.112,80.235.210.119,business,GB,AS5089 
80.235.210.120,80.235.210.135,isp,GB,AS5089 
80.235.210.136,80.235.210.143,business,GB,AS5089 
80.235.210.144,80.235.210.151,isp,GB,AS5089 
80.235.210.152,80.235.210.159,business,GB,AS5089 
80.235.210.160,80.235.210.247,isp,GB,AS5089 
80.235.210.248,80.235.210.255,business,GB,AS5089 
80.235.211.0,80.235.211.23,isp,GB,AS5089 
80.235.211.24,80.235.211.31,business,GB,AS5089 
80.235.211.32,80.235.211.95,isp,GB,AS5089 
80.235.211.96,80.235.211.103,education,GB,AS5089 
80.235.211.104,80.235.211.111,isp,GB,AS5089 
80.235.211.112,80.235.211.119,business,GB,AS5089 
80.235.211.120,80.235.211.183,isp,GB,AS5089 
80.235.211.184,80.235.211.191,business,GB,AS5089 
80.235.211.192,80.235.212.143,isp,GB,AS5089 
80.235.212.144,80.235.212.151,business,GB,AS5089 
80.235.212.152,80.235.212.175,isp,GB,AS5089 
80.235.212.176,80.235.212.183,business,GB,AS5089 
80.235.212.184,80.235.212.215,isp,GB,AS5089 
80.235.212.216,80.235.212.223,business,GB,AS5089 
80.235.212.224,80.235.212.255,isp,GB,AS5089 
80.235.213.0,80.235.213.7,business,GB,AS5089 
80.235.213.8,80.235.213.15,isp,GB,AS5089 
80.235.213.16,80.235.213.31,business,GB,AS5089 
