80.246.0.0,80.246.15.255,hosting,DZ,AS21391 
80.246.16.0,80.246.27.255,business,RU,AS34434 
80.246.28.0,80.246.28.255,business,AL,AS197706 
80.246.29.0,80.246.29.255,business,GB,AS43513 
80.246.30.0,80.246.30.255,hosting,NL,AS203020 
80.246.31.0,80.246.31.255,hosting,LV,AS43513 
80.246.32.0,80.246.47.255,business,DE,AS21197 
80.246.48.0,80.246.50.255,business,DE,AS20773 
80.246.51.0,80.246.51.127,hosting,DE,AS20773 
80.246.51.128,80.246.52.127,business,DE,AS20773 
80.246.52.128,80.246.52.255,hosting,DE,AS20773 
80.246.53.0,80.246.54.255,business,DE,AS20773 
80.246.55.0,80.246.55.255,hosting,DE,AS20773 
80.246.56.0,80.246.58.255,business,DE,AS20773 
80.246.59.0,80.246.63.255,hosting,DE,AS20773 
80.246.64.0,80.246.79.255,business,RU,AS21378 
80.246.80.0,80.246.95.255,isp,RU,AS21378 
80.246.96.0,80.246.111.255,business,LU,AS201973 
80.246.112.0,80.246.127.255,business,DE, 
80.246.128.0,80.246.143.255,isp,IL,AS21450 
80.246.144.0,80.246.159.255,isp,FI,AS21348 
80.246.160.0,80.246.161.255,business,FI,AS16228 
80.246.162.0,80.246.162.255,isp,FI,AS16228 
80.246.163.0,80.246.175.255,business,FI,AS16228 
80.246.176.0,80.246.176.95,isp,NL,AS15879 
80.246.176.96,80.246.176.111,business,NL,AS15879 
80.246.176.112,80.246.177.63,isp,NL,AS15879 
80.246.177.64,80.246.177.127,business,NL,AS15879 
80.246.177.128,80.246.178.127,isp,NL,AS15879 
80.246.178.128,80.246.178.159,business,NL,AS15879 
80.246.178.160,80.246.178.191,isp,NL,AS15879 
80.246.178.192,80.246.178.255,business,NL,AS15879 
80.246.179.0,80.246.179.31,isp,NL,AS15879 
80.246.179.32,80.246.179.47,business,NL,AS15879 
80.246.179.48,80.246.179.63,isp,NL,AS15879 
80.246.179.64,80.246.179.95,business,NL,AS15879 
80.246.179.96,80.246.179.111,isp,NL,AS15879 
80.246.179.112,80.246.179.127,business,NL,AS15879 
80.246.179.128,80.246.179.143,isp,NL,AS15879 
80.246.179.144,80.246.179.175,business,NL,AS15879 
80.246.179.176,80.246.179.191,isp,NL,AS15879 
80.246.179.192,80.246.179.239,business,NL,AS15879 
80.246.179.240,80.246.179.255,isp,NL,AS15879 
80.246.180.0,80.246.180.255,business,NL,AS15879 
80.246.181.0,80.246.181.127,isp,NL,AS15879 
80.246.181.128,80.246.182.127,business,NL,AS15879 
80.246.182.128,80.246.183.63,isp,NL,AS15879 
80.246.183.64,80.246.183.255,business,NL,AS15879 
80.246.184.0,80.246.184.127,isp,NL,AS15879 
80.246.184.128,80.246.185.31,business,NL,AS15879 
80.246.185.32,80.246.185.63,isp,NL,AS15879 
80.246.185.64,80.246.185.95,business,NL,AS15879 
80.246.185.96,80.246.185.159,isp,NL,AS15879 
80.246.185.160,80.246.185.191,business,NL,AS15879 
80.246.185.192,80.246.185.223,isp,NL,AS15879 
80.246.185.224,80.246.186.39,business,NL,AS15879 
80.246.186.40,80.246.186.47,isp,NL,AS15879 
80.246.186.48,80.246.186.87,business,NL,AS15879 
80.246.186.88,80.246.186.95,isp,NL,AS15879 
80.246.186.96,80.246.186.103,business,NL,AS15879 
80.246.186.104,80.246.186.111,isp,NL,AS15879 
80.246.186.112,80.246.186.119,business,NL,AS15879 
80.246.186.120,80.246.186.135,isp,NL,AS15879 
80.246.186.136,80.246.186.143,business,NL,AS15879 
80.246.186.144,80.246.186.151,isp,NL,AS15879 
80.246.186.152,80.246.186.159,business,NL,AS15879 
80.246.186.160,80.246.186.175,isp,NL,AS15879 
80.246.186.176,80.246.186.183,business,NL,AS15879 
80.246.186.184,80.246.186.255,isp,NL,AS15879 
80.246.187.0,80.246.188.127,business,NL,AS15879 
80.246.188.128,80.246.191.255,isp,NL,AS15879 
80.246.192.0,80.246.192.39,isp,NL,AS28878 
80.246.192.40,80.246.192.47,business,NL,AS28878 
80.246.192.48,80.246.192.103,isp,NL,AS28878 
80.246.192.104,80.246.192.111,business,NL,AS28878 
80.246.192.112,80.246.192.215,isp,NL,AS28878 
80.246.192.216,80.246.192.223,business,NL,AS28878 
80.246.192.224,80.246.192.239,isp,NL,AS28878 
80.246.192.240,80.246.192.247,business,NL,AS28878 
80.246.192.248,80.246.193.87,isp,NL,AS28878 
80.246.193.88,80.246.193.95,business,NL,AS28878 
80.246.193.96,80.246.193.143,isp,NL,AS28878 
80.246.193.144,80.246.193.159,business,NL,AS28878 
80.246.193.160,80.246.193.175,isp,NL,AS28878 
80.246.193.176,80.246.193.183,business,NL,AS28878 
80.246.193.184,80.246.195.55,isp,NL,AS28878 
80.246.195.56,80.246.195.63,business,NL,AS28878 
80.246.195.64,80.246.195.239,isp,NL,AS28878 
80.246.195.240,80.246.195.247,business,NL,AS28878 
80.246.195.248,80.246.195.255,isp,NL,AS28878 
80.246.196.0,80.246.196.31,business,NL,AS28878 
80.246.196.32,80.246.196.87,isp,NL,AS28878 
80.246.196.88,80.246.196.91,business,NL,AS28878 
80.246.196.92,80.246.196.111,isp,NL,AS28878 
80.246.196.112,80.246.196.119,business,NL,AS28878 
80.246.196.120,80.246.196.143,isp,NL,AS28878 
80.246.196.144,80.246.196.151,business,NL,AS28878 
80.246.196.152,80.246.196.183,isp,NL,AS28878 
80.246.196.184,80.246.196.187,business,NL,AS28878 
80.246.196.188,80.246.196.191,isp,NL,AS28878 
80.246.196.192,80.246.196.195,business,NL,AS28878 
80.246.196.196,80.246.199.31,isp,NL,AS28878 
80.246.199.32,80.246.199.47,business,NL,AS28878 
80.246.199.48,80.246.199.79,isp,NL,AS28878 
80.246.199.80,80.246.199.87,business,NL,AS28878 
80.246.199.88,80.246.199.107,isp,NL,AS28878 
80.246.199.108,80.246.199.111,business,NL,AS28878 
