119.224.0.0,119.224.95.255,isp,NZ 
119.224.96.0,119.224.127.255,isp,HK 
119.224.128.0,119.224.143.255,isp,NZ 
119.224.144.0,119.224.144.255,business,AU 
119.224.145.0,119.224.154.255,isp,AU 
119.224.155.0,119.224.155.255,business,AU 
119.224.156.0,119.224.159.255,isp,AU 
119.224.160.0,119.224.245.255,business,JP 
119.224.246.0,119.224.247.255,hosting,JP 
119.224.248.0,119.224.255.255,business,JP 
