107.144.0.0,107.144.11.239,isp,US,AS33363 
107.144.11.240,107.144.11.247,business,US, 
107.144.11.248,107.144.48.87,isp,US,AS33363 
107.144.48.88,107.144.48.95,business,US,AS33363 
107.144.48.96,107.144.49.155,isp,US,AS33363 
107.144.49.156,107.144.49.159,business,US,AS33363 
107.144.49.160,107.144.100.135,isp,US,AS33363 
107.144.100.136,107.144.100.143,business,US,AS33363 
107.144.100.144,107.144.110.7,isp,US,AS33363 
107.144.110.8,107.144.110.15,business,US,AS33363 
107.144.110.16,107.144.111.159,isp,US,AS33363 
107.144.111.160,107.144.111.167,business,US,AS33363 
107.144.111.168,107.144.128.47,isp,US,AS33363 
107.144.128.48,107.144.128.51,business,US,AS33363 
107.144.128.52,107.144.128.55,isp,US,AS33363 
107.144.128.56,107.144.128.59,business,US,AS33363 
107.144.128.60,107.144.128.79,isp,US,AS33363 
107.144.128.80,107.144.128.95,business,US,AS33363 
107.144.128.96,107.144.128.175,isp,US,AS33363 
107.144.128.176,107.144.128.179,business,US,AS33363 
107.144.128.180,107.144.128.247,isp,US,AS33363 
107.144.128.248,107.144.128.255,business,US,AS33363 
107.144.129.0,107.144.130.55,isp,US,AS33363 
107.144.130.56,107.144.130.59,business,US,AS33363 
107.144.130.60,107.144.130.67,isp,US,AS33363 
107.144.130.68,107.144.130.71,business,US,AS33363 
107.144.130.72,107.144.130.79,isp,US,AS33363 
107.144.130.80,107.144.130.87,business,US,AS33363 
107.144.130.88,107.144.130.95,isp,US,AS33363 
107.144.130.96,107.144.130.103,business,US,AS33363 
107.144.130.104,107.144.130.247,isp,US,AS33363 
107.144.130.248,107.144.130.255,business,US,AS33363 
107.144.131.0,107.144.131.3,isp,US,AS33363 
107.144.131.4,107.144.131.7,business,US,AS33363 
107.144.131.8,107.144.131.39,isp,US,AS33363 
107.144.131.40,107.144.131.43,business,US,AS33363 
107.144.131.44,107.144.131.119,isp,US,AS33363 
107.144.131.120,107.144.131.127,business,US,AS33363 
107.144.131.128,107.144.131.207,isp,US,AS33363 
107.144.131.208,107.144.131.223,business,US,AS33363 
107.144.131.224,107.144.132.27,isp,US,AS33363 
107.144.132.28,107.144.132.31,business,US,AS33363 
107.144.132.32,107.144.133.59,isp,US,AS33363 
107.144.133.60,107.144.133.63,business,US,AS33363 
107.144.133.64,107.144.133.71,isp,US,AS33363 
107.144.133.72,107.144.133.79,business,US,AS33363 
107.144.133.80,107.144.133.179,isp,US,AS33363 
107.144.133.180,107.144.133.183,business,US,AS33363 
107.144.133.184,107.144.133.239,isp,US,AS33363 
107.144.133.240,107.144.133.255,business,US,AS33363 
107.144.134.0,107.144.134.39,isp,US,AS33363 
107.144.134.40,107.144.134.47,business,US,AS33363 
107.144.134.48,107.144.134.143,isp,US,AS33363 
