107.160.0.0,107.160.101.210,business,US, 
107.160.101.211,107.160.101.227,business,CN, 
107.160.101.228,107.160.101.228,business,US, 
107.160.101.229,107.160.101.247,business,IN, 
107.160.101.248,107.160.125.191,business,US, 
107.160.125.192,107.160.125.223,business,IN, 
107.160.125.224,107.160.159.255,business,US, 
107.160.160.0,107.160.160.255,business,SG, 
107.160.161.0,107.160.236.255,business,US, 
107.160.237.0,107.160.237.255,business,SG, 
107.160.238.0,107.160.244.53,business,US, 
107.160.244.54,107.160.244.60,business,IN, 
107.160.244.61,107.160.255.255,business,US, 
