149.235.0.0,149.235.15.255,hosting,GB 
149.235.16.0,149.235.253.255,business,GB 
149.235.254.0,149.235.254.31,hosting,DE 
149.235.254.32,149.235.254.63,hosting,GB 
149.235.254.64,149.235.254.71,hosting,FR 
149.235.254.72,149.235.254.79,hosting,ES 
149.235.254.80,149.235.254.87,hosting,IT 
149.235.254.88,149.235.254.95,hosting,SE 
149.235.254.96,149.235.254.103,hosting,NL 
149.235.254.104,149.235.254.111,hosting,FI 
149.235.254.112,149.235.254.119,hosting,PL 
149.235.254.120,149.235.254.127,hosting,CZ 
149.235.254.128,149.235.254.135,hosting,ZA 
149.235.254.136,149.235.254.143,hosting,AE 
149.235.254.144,149.235.255.255,business,GB 
