149.143.0.0,149.143.31.255,isp,NL,AS57795 
149.143.32.0,149.143.127.255,isp,NL,AS15435 
149.143.128.0,149.143.149.255,business,US,AS13347 
149.143.150.0,149.143.151.255,isp,GB,AS28920 
149.143.152.0,149.143.161.255,business,US,AS13347 
149.143.162.0,149.143.162.255,hosting,HR,AS396356 
149.143.163.0,149.143.163.255,hosting,LV,AS9009 
149.143.164.0,149.143.167.255,business,US,AS13347 
149.143.168.0,149.143.171.255,isp,GB,AS28920 
149.143.172.0,149.143.175.255,business,US,AS13347 
149.143.176.0,149.143.176.255,hosting,GR,AS396356 
149.143.177.0,149.143.177.255,hosting,IM,AS9009 
149.143.178.0,149.143.178.255,hosting,PT,AS396356 
149.143.179.0,149.143.179.255,hosting,IS,AS9009 
149.143.180.0,149.143.191.255,business,US,AS13347 
149.143.192.0,149.143.255.255,education,US,AS36403 
