149.232.0.0,149.232.63.255,business,DE,AS15763 
149.232.64.0,149.232.127.255,isp,SA,AS35753 
149.232.128.0,149.232.159.255,hosting,MX,AS136907 
149.232.160.0,149.232.175.255,hosting,FR,AS30781 
149.232.176.0,149.232.183.255,isp,FR,AS29283 
149.232.184.0,149.232.187.255,isp,DE,AS16024 
149.232.188.0,149.232.188.255,business,FR,AS216239 
149.232.189.0,149.232.189.255,business,FR, 
149.232.190.0,149.232.191.255,isp,DE,AS16024 
149.232.192.0,149.232.243.255,business,DE, 
149.232.244.0,149.232.251.255,isp,DE,AS16024 
149.232.252.0,149.232.255.255,hosting,DE,AS57376 
