125.214.0.0,125.214.0.191,isp,VN 
125.214.0.192,125.214.0.223,business,VN 
125.214.0.224,125.214.2.255,isp,VN 
125.214.3.0,125.214.16.255,business,VN 
125.214.17.0,125.214.17.255,isp,VN 
125.214.18.0,125.214.29.255,business,VN 
125.214.30.0,125.214.30.255,isp,VN 
125.214.31.0,125.214.43.103,business,VN 
125.214.43.104,125.214.43.111,business,KH 
125.214.43.112,125.214.63.255,business,VN 
125.214.64.0,125.214.79.255,hosting,AU 
125.214.80.0,125.214.87.255,isp,AU 
125.214.88.0,125.214.95.255,business,AU 
125.214.96.0,125.214.127.255,business,CN 
125.214.128.0,125.214.159.255,isp,JP 
125.214.160.0,125.214.191.255,isp,LK 
125.214.192.0,125.214.192.7,business,HK 
125.214.192.8,125.214.192.47,isp,HK 
125.214.192.48,125.214.192.55,business,HK 
125.214.192.56,125.214.192.87,isp,HK 
125.214.192.88,125.214.192.119,business,HK 
125.214.192.120,125.214.192.255,isp,HK 
125.214.193.0,125.214.193.15,business,HK 
125.214.193.16,125.214.193.95,isp,HK 
125.214.193.96,125.214.193.111,business,HK 
125.214.193.112,125.214.193.143,isp,HK 
125.214.193.144,125.214.193.151,business,HK 
125.214.193.152,125.214.193.199,isp,HK 
125.214.193.200,125.214.193.207,business,HK 
125.214.193.208,125.214.194.23,isp,HK 
125.214.194.24,125.214.194.47,business,HK 
125.214.194.48,125.214.194.63,isp,HK 
125.214.194.64,125.214.194.71,business,HK 
125.214.194.72,125.214.194.127,isp,HK 
125.214.194.128,125.214.194.135,business,HK 
125.214.194.136,125.214.194.167,isp,HK 
125.214.194.168,125.214.194.175,business,HK 
125.214.194.176,125.214.194.191,isp,HK 
125.214.194.192,125.214.194.199,business,HK 
125.214.194.200,125.214.194.223,isp,HK 
125.214.194.224,125.214.194.231,business,HK 
125.214.194.232,125.214.195.79,isp,HK 
125.214.195.80,125.214.195.87,business,HK 
125.214.195.88,125.214.195.127,isp,HK 
125.214.195.128,125.214.195.135,business,HK 
125.214.195.136,125.214.195.215,isp,HK 
125.214.195.216,125.214.195.223,business,HK 
125.214.195.224,125.214.196.7,isp,HK 
125.214.196.8,125.214.196.15,business,HK 
125.214.196.16,125.214.196.47,isp,HK 
125.214.196.48,125.214.196.55,business,HK 
125.214.196.56,125.214.196.103,isp,HK 
125.214.196.104,125.214.196.111,business,HK 
125.214.196.112,125.214.196.143,isp,HK 
125.214.196.144,125.214.196.151,business,HK 
125.214.196.152,125.214.196.175,isp,HK 
125.214.196.176,125.214.196.191,business,HK 
125.214.196.192,125.214.196.239,isp,HK 
125.214.196.240,125.214.196.247,business,HK 
125.214.196.248,125.214.197.23,isp,HK 
125.214.197.24,125.214.197.31,education,HK 
125.214.197.32,125.214.197.183,isp,HK 
125.214.197.184,125.214.197.191,business,HK 
125.214.197.192,125.214.197.223,isp,HK 
125.214.197.224,125.214.197.231,business,HK 
125.214.197.232,125.214.197.239,isp,HK 
125.214.197.240,125.214.197.247,business,HK 
125.214.197.248,125.214.198.79,isp,HK 
125.214.198.80,125.214.198.87,business,HK 
125.214.198.88,125.214.198.135,isp,HK 
