169.159.0.0,169.159.63.255,isp,GA, 
169.159.64.0,169.159.127.255,isp,NG,AS37637 
169.159.128.0,169.159.184.255,isp,ZA,AS328471 
169.159.185.0,169.159.185.255,business,ZA, 
169.159.186.0,169.159.189.255,isp,ZA,AS328471 
169.159.190.0,169.159.191.255,business,ZA, 
169.159.192.0,169.159.199.255,isp,ZA,AS3356 
169.159.200.0,169.159.200.31,business,ZA,AS3356 
169.159.200.32,169.159.200.39,isp,ZA,AS3356 
169.159.200.40,169.159.200.47,business,ZA,AS3356 
169.159.200.48,169.159.200.63,isp,ZA,AS3356 
169.159.200.64,169.159.200.79,business,ZA,AS3356 
169.159.200.80,169.159.200.103,isp,ZA,AS3356 
169.159.200.104,169.159.200.111,business,ZA,AS3356 
169.159.200.112,169.159.200.127,isp,ZA,AS3356 
169.159.200.128,169.159.200.135,business,ZA,AS3356 
169.159.200.136,169.159.200.151,isp,ZA,AS3356 
169.159.200.152,169.159.200.159,business,ZA,AS3356 
169.159.200.160,169.159.200.207,isp,ZA,AS3356 
169.159.200.208,169.159.200.215,business,ZA,AS3356 
169.159.200.216,169.159.200.231,isp,ZA,AS3356 
169.159.200.232,169.159.200.239,business,ZA,AS3356 
169.159.200.240,169.159.200.247,isp,ZA,AS3356 
169.159.200.248,169.159.200.255,business,ZA,AS3356 
169.159.201.0,169.159.203.15,isp,ZA,AS3356 
169.159.203.16,169.159.203.23,business,KE,AS3356 
169.159.203.24,169.159.203.63,isp,ZA,AS3356 
169.159.203.64,169.159.203.87,business,ZA,AS3356 
169.159.203.88,169.159.203.151,isp,ZA,AS3356 
169.159.203.152,169.159.203.159,business,ZA,AS3356 
169.159.203.160,169.159.203.199,isp,ZA,AS3356 
169.159.203.200,169.159.203.207,business,ZA,AS3356 
169.159.203.208,169.159.203.223,isp,ZA,AS3356 
169.159.203.224,169.159.203.231,business,ZW,AS3356 
169.159.203.232,169.159.206.255,isp,ZA,AS3356 
169.159.207.0,169.159.207.31,business,ZA,AS3356 
169.159.207.32,169.159.207.255,isp,ZA,AS3356 
169.159.208.0,169.159.221.255,isp,CD,AS37453 
169.159.222.0,169.159.222.255,isp,CD, 
169.159.223.0,169.159.223.255,isp,CD,AS37453 
169.159.224.0,169.159.227.255,isp,ZA,AS327824 
169.159.228.0,169.159.255.255,business,ZA,AS327824 
