169.60.106.0,169.60.107.255,hosting,CA,AS36351 
169.60.108.0,169.60.108.255,hosting,US,AS36351 
169.60.109.0,169.60.109.255,hosting,CA,AS36351 
169.60.110.0,169.60.110.63,hosting,US,AS36351 
169.60.110.64,169.60.110.95,hosting,GB,AS36351 
169.60.110.96,169.60.111.255,hosting,US,AS36351 
169.60.112.0,169.60.112.63,hosting,GB,AS36351 
169.60.112.64,169.60.112.87,hosting,US,AS36351 
169.60.112.88,169.60.112.95,hosting,GB,AS36351 
169.60.112.96,169.60.112.143,hosting,US,AS36351 
169.60.112.144,169.60.112.159,business,US,AS36351 
169.60.112.160,169.60.113.143,hosting,US,AS36351 
169.60.113.144,169.60.113.159,business,US,AS36351 
169.60.113.160,169.60.115.23,hosting,US,AS36351 
169.60.115.24,169.60.115.31,hosting,GB,AS36351 
169.60.115.32,169.60.120.223,hosting,US,AS36351 
169.60.120.224,169.60.120.255,hosting,GB,AS36351 
169.60.121.0,169.60.125.63,hosting,US,AS36351 
169.60.125.64,169.60.125.71,hosting,GB,AS36351 
169.60.125.72,169.60.125.95,hosting,US,AS36351 
169.60.125.96,169.60.125.103,hosting,MA,AS36351 
169.60.125.104,169.60.125.223,hosting,US,AS36351 
169.60.125.224,169.60.125.231,hosting,CA,AS36351 
169.60.125.232,169.60.127.255,hosting,US,AS36351 
169.60.128.0,169.60.128.7,hosting,GB,AS36351 
169.60.128.8,169.60.130.39,hosting,US,AS36351 
169.60.130.40,169.60.130.47,hosting,CA,AS36351 
169.60.130.48,169.60.130.71,hosting,US,AS36351 
169.60.130.72,169.60.130.79,hosting,CN,AS36351 
169.60.130.80,169.60.130.127,hosting,US,AS36351 
169.60.130.128,169.60.130.143,hosting,CA,AS36351 
169.60.130.144,169.60.131.191,hosting,US,AS36351 
169.60.131.192,169.60.131.255,hosting,GB,AS36351 
169.60.132.0,169.60.133.255,hosting,US,AS36351 
169.60.134.0,169.60.134.15,hosting,GB,AS36351 
169.60.134.16,169.60.134.31,hosting,US,AS36351 
169.60.134.32,169.60.134.47,hosting,MX,AS36351 
169.60.134.48,169.60.136.127,hosting,US,AS36351 
169.60.136.128,169.60.136.255,hosting,AF,AS36351 
169.60.137.0,169.60.138.23,hosting,US,AS36351 
169.60.138.24,169.60.138.31,hosting,CH,AS36351 
169.60.138.32,169.60.140.179,hosting,US,AS36351 
169.60.140.180,169.60.140.183,hosting,PE,AS36351 
169.60.140.184,169.60.140.207,hosting,US,AS36351 
169.60.140.208,169.60.140.223,hosting,CO,AS36351 
169.60.140.224,169.60.141.15,hosting,US,AS36351 
169.60.141.16,169.60.141.31,hosting,GB,AS36351 
169.60.141.32,169.60.141.95,hosting,US,AS36351 
169.60.141.96,169.60.141.127,hosting,GB,AS36351 
169.60.141.128,169.60.141.143,hosting,US,AS36351 
169.60.141.144,169.60.141.159,hosting,BH,AS36351 
169.60.141.160,169.60.141.197,hosting,US,AS36351 
169.60.141.198,169.60.141.199,hosting,MX,AS36351 
169.60.141.200,169.60.143.255,hosting,US,AS36351 
169.60.144.0,169.60.144.7,hosting,MX,AS36351 
169.60.144.8,169.60.146.15,hosting,US,AS36351 
