208.101.0.0,208.101.63.255,hosting,US 
208.101.64.0,208.101.127.255,business,CA 
208.101.128.0,208.101.176.255,isp,US 
208.101.177.0,208.101.177.15,business,US 
208.101.177.16,208.101.177.31,isp,US 
208.101.177.32,208.101.177.39,business,US 
208.101.177.40,208.101.177.79,isp,US 
208.101.177.80,208.101.177.95,education,US 
208.101.177.96,208.101.177.143,isp,US 
208.101.177.144,208.101.177.159,business,US 
208.101.177.160,208.101.177.175,isp,US 
208.101.177.176,208.101.177.183,business,US 
208.101.177.184,208.101.180.191,isp,US 
208.101.180.192,208.101.180.255,business,US 
208.101.181.0,208.101.181.15,isp,US 
208.101.181.16,208.101.181.39,business,US 
208.101.181.40,208.101.181.47,isp,US 
208.101.181.48,208.101.181.63,business,US 
208.101.181.64,208.101.181.111,isp,US 
208.101.181.112,208.101.181.119,business,US 
208.101.181.120,208.101.182.255,isp,US 
208.101.183.0,208.101.183.7,business,US 
208.101.183.8,208.101.183.15,isp,US 
208.101.183.16,208.101.183.31,business,US 
208.101.183.32,208.101.183.47,isp,US 
208.101.183.48,208.101.183.55,business,US 
208.101.183.56,208.101.183.63,isp,US 
208.101.183.64,208.101.183.71,business,US 
208.101.183.72,208.101.183.79,isp,US 
208.101.183.80,208.101.183.87,business,US 
208.101.183.88,208.101.183.95,isp,US 
208.101.183.96,208.101.183.127,education,US 
208.101.183.128,208.101.183.135,business,US 
208.101.183.136,208.101.183.143,isp,US 
208.101.183.144,208.101.183.151,business,US 
208.101.183.152,208.101.185.47,isp,US 
208.101.185.48,208.101.185.55,business,US 
208.101.185.56,208.101.185.63,education,US 
208.101.185.64,208.101.185.71,isp,US 
208.101.185.72,208.101.185.79,business,US 
208.101.185.80,208.101.185.87,education,US 
208.101.185.88,208.101.185.111,isp,US 
208.101.185.112,208.101.185.119,education,US 
208.101.185.120,208.101.185.127,business,US 
208.101.185.128,208.101.185.191,isp,US 
208.101.185.192,208.101.186.255,business,US 
208.101.187.0,208.101.191.7,isp,US 
208.101.191.8,208.101.191.15,business,US 
208.101.191.16,208.101.191.63,isp,US 
208.101.191.64,208.101.191.127,education,US 
208.101.191.128,208.101.191.143,business,US 
208.101.191.144,208.101.191.255,isp,US 
208.101.192.0,208.101.197.255,business,US 
208.101.198.0,208.101.198.255,hosting,US 
208.101.199.0,208.101.199.255,isp,US 
208.101.200.0,208.101.204.255,hosting,US 
208.101.205.0,208.101.205.255,isp,CA 
208.101.206.0,208.101.206.255,isp,US 
208.101.207.0,208.101.208.255,business,US 
208.101.209.0,208.101.209.255,isp,US 
208.101.210.0,208.101.212.255,business,US 
208.101.213.0,208.101.217.255,isp,US 
208.101.218.0,208.101.223.255,business,US 
208.101.224.0,208.101.225.255,isp,US 
208.101.226.0,208.101.226.255,business,US 
208.101.227.0,208.101.229.255,isp,US 
208.101.230.0,208.101.231.255,business,US 
208.101.232.0,208.101.233.255,isp,CA 
208.101.234.0,208.101.237.255,isp,US 
208.101.238.0,208.101.239.255,business,US 
208.101.240.0,208.101.240.71,hosting,US 
208.101.240.72,208.101.240.103,business,US 
208.101.240.104,208.101.240.111,hosting,US 
208.101.240.112,208.101.240.127,business,US 
208.101.240.128,208.101.240.255,hosting,US 
208.101.241.0,208.101.241.255,business,US 
208.101.242.0,208.101.245.63,hosting,US 
208.101.245.64,208.101.245.103,business,US 
208.101.245.104,208.101.245.111,hosting,US 
208.101.245.112,208.101.245.119,business,US 
208.101.245.120,208.101.245.127,hosting,US 
208.101.245.128,208.101.245.135,business,US 
208.101.245.136,208.101.248.15,hosting,US 
208.101.248.16,208.101.248.31,business,US 
208.101.248.32,208.101.248.47,hosting,US 
208.101.248.48,208.101.248.63,business,US 
208.101.248.64,208.101.248.71,hosting,US 
208.101.248.72,208.101.248.95,business,US 
208.101.248.96,208.101.248.127,hosting,US 
208.101.248.128,208.101.248.135,business,US 
208.101.248.136,208.101.248.143,hosting,US 
208.101.248.144,208.101.248.159,business,US 
208.101.248.160,208.101.248.223,hosting,US 
208.101.248.224,208.101.248.231,business,US 
208.101.248.232,208.101.248.239,hosting,US 
208.101.248.240,208.101.249.63,business,US 
208.101.249.64,208.101.249.167,hosting,US 
208.101.249.168,208.101.249.175,isp,US 
208.101.249.176,208.101.250.63,hosting,US 
208.101.250.64,208.101.250.71,education,US 
208.101.250.72,208.101.250.127,hosting,US 
208.101.250.128,208.101.250.191,isp,US 
208.101.250.192,208.101.253.7,hosting,US 
208.101.253.8,208.101.253.15,business,US 
208.101.253.16,208.101.253.47,hosting,US 
208.101.253.48,208.101.253.63,business,US 
208.101.253.64,208.101.254.23,hosting,US 
208.101.254.24,208.101.254.31,business,US 
208.101.254.32,208.101.254.175,hosting,US 
208.101.254.176,208.101.254.183,business,US 
208.101.254.184,208.101.255.255,hosting,US 
