208.167.56.64,208.167.56.71,business,US,AS3561 
208.167.56.72,208.167.57.15,isp,US,AS3561 
208.167.57.16,208.167.57.31,business,US,AS3561 
208.167.57.32,208.167.119.255,isp,US,AS3561 
208.167.120.0,208.167.122.255,business,US,AS3561 
208.167.123.0,208.167.191.255,isp,US,AS3561 
208.167.192.0,208.167.192.7,isp,PL,AS1273 
208.167.192.8,208.167.192.15,isp,RO,AS1273 
208.167.192.16,208.167.192.23,isp,GR,AS1273 
208.167.192.24,208.167.192.31,isp,LU,AS1273 
208.167.192.32,208.167.192.39,isp,IS,AS1273 
208.167.192.40,208.167.192.47,isp,CY,AS1273 
208.167.192.48,208.167.192.55,isp,EE,AS1273 
208.167.192.56,208.167.192.63,isp,LT,AS1273 
208.167.192.64,208.167.192.71,isp,LV,AS1273 
208.167.192.72,208.167.192.79,isp,SI,AS1273 
208.167.192.80,208.167.192.87,isp,BG,AS1273 
208.167.192.88,208.167.192.95,business,MT,AS1273 
208.167.192.96,208.167.192.103,isp,SK,AS1273 
208.167.192.104,208.167.192.111,isp,US,AS1273 
208.167.192.112,208.167.192.143,isp,GB,AS1273 
208.167.192.144,208.167.192.151,isp,TW,AS1273 
208.167.192.152,208.167.192.159,isp,TH,AS1273 
208.167.192.160,208.167.192.167,isp,MY,AS1273 
208.167.192.168,208.167.192.175,isp,SG,AS1273 
208.167.192.176,208.167.192.183,isp,AU,AS1273 
208.167.192.184,208.167.192.191,isp,NZ,AS1273 
208.167.192.192,208.167.192.199,isp,ZA,AS1273 
208.167.192.200,208.167.192.207,isp,GR,AS1273 
208.167.192.208,208.167.207.255,isp,US,AS1273 
208.167.208.0,208.167.217.255,isp,US,AS3561 
208.167.218.0,208.167.218.255,business,US,AS3561 
208.167.219.0,208.167.223.255,isp,US,AS3561 
208.167.224.0,208.167.224.255,hosting,US,AS20473 
208.167.225.0,208.167.225.47,hosting,US,AS46407 
208.167.225.48,208.167.225.63,hosting,US,AS20473 
208.167.225.64,208.167.225.71,hosting,US,AS46407 
208.167.225.72,208.167.225.95,hosting,US,AS20473 
208.167.225.96,208.167.225.167,hosting,US,AS46407 
208.167.225.168,208.167.225.175,hosting,US,AS20473 
208.167.225.176,208.167.225.191,hosting,US,AS46407 
208.167.225.192,208.167.225.199,hosting,US,AS20473 
208.167.225.200,208.167.225.239,hosting,US,AS46407 
208.167.225.240,208.167.225.247,hosting,US,AS20473 
208.167.225.248,208.167.225.255,hosting,US,AS46407 
208.167.226.0,208.167.228.47,hosting,US,AS20473 
208.167.228.48,208.167.228.55,business,US,AS20473 
208.167.228.56,208.167.228.63,hosting,US,AS20473 
208.167.228.64,208.167.228.135,business,US,AS20473 
208.167.228.136,208.167.228.143,hosting,US,AS20473 
208.167.228.144,208.167.228.159,business,US,AS20473 
208.167.228.160,208.167.228.175,hosting,US,AS20473 
208.167.228.176,208.167.228.183,business,US,AS20473 
208.167.228.184,208.167.228.207,hosting,US,AS20473 
208.167.228.208,208.167.228.215,business,US,AS20473 
208.167.228.216,208.167.228.223,hosting,US,AS20473 
208.167.228.224,208.167.228.239,business,US,AS20473 
208.167.228.240,208.167.236.255,hosting,US,AS20473 
208.167.237.0,208.167.237.79,business,US,AS20473 
208.167.237.80,208.167.237.111,hosting,US,AS20473 
208.167.237.112,208.167.237.127,business,US,AS20473 
208.167.237.128,208.167.255.255,hosting,US,AS20473 
