63.159.0.0,63.159.1.255,education,US,AS209 
63.159.2.0,63.159.131.255,isp,US,AS209 
63.159.132.0,63.159.132.7,business,US,AS209 
63.159.132.8,63.159.132.23,isp,US,AS209 
63.159.132.24,63.159.132.31,business,US,AS209 
63.159.132.32,63.159.132.39,isp,US,AS209 
63.159.132.40,63.159.132.47,business,US,AS209 
63.159.132.48,63.159.132.63,isp,US,AS209 
63.159.132.64,63.159.132.87,business,US,AS209 
63.159.132.88,63.159.132.103,isp,US,AS209 
63.159.132.104,63.159.132.111,education,US,AS209 
63.159.132.112,63.159.132.159,isp,US,AS209 
63.159.132.160,63.159.132.175,business,US,AS209 
63.159.132.176,63.159.132.183,isp,US,AS209 
63.159.132.184,63.159.132.191,business,US,AS209 
63.159.132.192,63.159.132.247,isp,US,AS209 
63.159.132.248,63.159.132.255,business,US,AS209 
63.159.133.0,63.159.134.255,isp,US,AS209 
63.159.135.0,63.159.135.15,business,US,AS209 
63.159.135.16,63.159.135.39,isp,US,AS209 
63.159.135.40,63.159.135.47,business,US,AS209 
63.159.135.48,63.159.135.143,isp,US,AS209 
63.159.135.144,63.159.135.151,business,US,AS209 
63.159.135.152,63.159.135.175,isp,US,AS209 
63.159.135.176,63.159.135.183,business,US,AS209 
63.159.135.184,63.159.135.191,isp,US,AS209 
63.159.135.192,63.159.135.207,business,US,AS209 
63.159.135.208,63.159.135.223,isp,US,AS209 
63.159.135.224,63.159.135.239,business,US,AS209 
63.159.135.240,63.159.136.39,isp,US,AS209 
63.159.136.40,63.159.136.47,business,US,AS209 
63.159.136.48,63.159.136.55,isp,US,AS209 
63.159.136.56,63.159.136.63,business,US,AS209 
63.159.136.64,63.159.136.71,isp,US,AS209 
63.159.136.72,63.159.136.79,business,US,AS209 
63.159.136.80,63.159.136.119,isp,US,AS209 
63.159.136.120,63.159.136.127,business,US,AS209 
63.159.136.128,63.159.136.135,isp,US,AS209 
63.159.136.136,63.159.136.143,business,US,AS209 
63.159.136.144,63.159.136.191,isp,US,AS209 
63.159.136.192,63.159.136.207,business,US,AS209 
63.159.136.208,63.159.136.223,isp,US,AS209 
63.159.136.224,63.159.136.239,business,US,AS209 
63.159.136.240,63.159.138.255,isp,US,AS209 
63.159.139.0,63.159.139.15,business,US,AS209 
63.159.139.16,63.159.139.39,isp,US,AS209 
63.159.139.40,63.159.139.47,business,US,AS209 
63.159.139.48,63.159.139.63,isp,US,AS209 
63.159.139.64,63.159.139.71,business,US,AS209 
63.159.139.72,63.159.139.95,isp,US,AS209 
63.159.139.96,63.159.139.127,business,US,AS209 
63.159.139.128,63.159.139.143,isp,US,AS209 
63.159.139.144,63.159.139.151,business,US,AS209 
63.159.139.152,63.159.139.175,isp,US,AS209 
63.159.139.176,63.159.139.183,business,US,AS209 
63.159.139.184,63.159.139.191,isp,US,AS209 
63.159.139.192,63.159.139.207,business,US,AS209 
63.159.139.208,63.159.139.223,isp,US,AS209 
63.159.139.224,63.159.139.231,business,US,AS209 
63.159.139.232,63.159.139.239,isp,US,AS209 
63.159.139.240,63.159.139.247,business,US,AS209 
63.159.139.248,63.159.140.175,isp,US,AS209 
63.159.140.176,63.159.140.191,business,US,AS209 
63.159.140.192,63.159.140.239,isp,US,AS209 
