63.140.0.0,63.140.2.255,isp,HK 
63.140.3.0,63.140.3.255,business,SG 
63.140.4.0,63.140.15.255,isp,HK 
63.140.16.0,63.140.16.255,isp,US 
63.140.17.0,63.140.18.255,business,US 
63.140.19.0,63.140.31.255,isp,US 
63.140.32.0,63.140.63.255,hosting,US 
63.140.64.0,63.140.105.255,isp,US 
63.140.106.0,63.140.106.3,business,US 
63.140.106.4,63.140.106.7,isp,US 
63.140.106.8,63.140.106.11,business,US 
63.140.106.12,63.140.106.15,isp,US 
63.140.106.16,63.140.106.19,business,US 
63.140.106.20,63.140.106.23,isp,US 
63.140.106.24,63.140.106.27,business,US 
63.140.106.28,63.140.106.31,isp,US 
63.140.106.32,63.140.106.35,business,US 
63.140.106.36,63.140.106.47,isp,US 
63.140.106.48,63.140.106.51,business,US 
63.140.106.52,63.140.106.55,isp,US 
63.140.106.56,63.140.106.59,business,US 
63.140.106.60,63.140.106.63,isp,US 
63.140.106.64,63.140.106.67,business,US 
63.140.106.68,63.140.106.71,isp,US 
63.140.106.72,63.140.106.75,education,US 
63.140.106.76,63.140.106.79,isp,US 
63.140.106.80,63.140.106.83,business,US 
63.140.106.84,63.140.106.87,isp,US 
63.140.106.88,63.140.106.91,business,US 
63.140.106.92,63.140.106.95,isp,US 
63.140.106.96,63.140.106.99,business,US 
63.140.106.100,63.140.106.103,isp,US 
63.140.106.104,63.140.106.107,business,US 
63.140.106.108,63.140.106.119,isp,US 
63.140.106.120,63.140.106.123,business,US 
63.140.106.124,63.140.106.135,isp,US 
63.140.106.136,63.140.106.139,business,US 
63.140.106.140,63.140.106.159,isp,US 
63.140.106.160,63.140.106.163,education,US 
63.140.106.164,63.140.106.175,isp,US 
63.140.106.176,63.140.106.179,business,US 
63.140.106.180,63.140.106.191,isp,US 
63.140.106.192,63.140.106.195,business,US 
63.140.106.196,63.140.106.199,isp,US 
63.140.106.200,63.140.106.203,business,US 
63.140.106.204,63.140.106.231,isp,US 
63.140.106.232,63.140.106.235,business,US 
63.140.106.236,63.140.106.239,isp,US 
63.140.106.240,63.140.106.243,business,US 
63.140.106.244,63.140.107.7,isp,US 
63.140.107.8,63.140.107.31,business,US 
63.140.107.32,63.140.107.39,isp,US 
63.140.107.40,63.140.107.47,business,US 
63.140.107.48,63.140.107.55,isp,US 
63.140.107.56,63.140.107.127,business,US 
63.140.107.128,63.140.107.135,isp,US 
63.140.107.136,63.140.107.151,business,US 
63.140.107.152,63.140.107.159,isp,US 
63.140.107.160,63.140.107.175,business,US 
63.140.107.176,63.140.107.183,isp,US 
63.140.107.184,63.140.107.199,business,US 
63.140.107.200,63.140.107.239,isp,US 
63.140.107.240,63.140.107.247,business,US 
63.140.107.248,63.140.108.15,isp,US 
63.140.108.16,63.140.108.95,business,US 
63.140.108.96,63.140.108.111,education,US 
63.140.108.112,63.140.108.127,isp,US 
63.140.108.128,63.140.108.143,business,US 
63.140.108.144,63.140.108.223,isp,US 
63.140.108.224,63.140.108.239,business,US 
63.140.108.240,63.140.109.7,isp,US 
63.140.109.8,63.140.109.15,business,US 
63.140.109.16,63.140.109.39,isp,US 
63.140.109.40,63.140.109.47,business,US 
63.140.109.48,63.140.109.119,isp,US 
63.140.109.120,63.140.109.127,business,US 
63.140.109.128,63.140.109.135,isp,US 
63.140.109.136,63.140.109.159,business,US 
63.140.109.160,63.140.109.215,isp,US 
63.140.109.216,63.140.109.223,business,US 
63.140.109.224,63.140.109.239,isp,US 
63.140.109.240,63.140.110.255,business,US 
63.140.111.0,63.140.111.7,isp,US 
63.140.111.8,63.140.111.11,business,US 
63.140.111.12,63.140.111.15,isp,US 
63.140.111.16,63.140.111.19,business,US 
63.140.111.20,63.140.111.23,isp,US 
63.140.111.24,63.140.111.27,business,US 
63.140.111.28,63.140.111.47,isp,US 
63.140.111.48,63.140.111.51,business,US 
63.140.111.52,63.140.111.55,isp,US 
63.140.111.56,63.140.111.59,business,US 
63.140.111.60,63.140.111.71,isp,US 
63.140.111.72,63.140.111.75,business,US 
63.140.111.76,63.140.111.95,isp,US 
63.140.111.96,63.140.111.99,business,US 
63.140.111.100,63.140.111.103,isp,US 
63.140.111.104,63.140.111.107,business,US 
63.140.111.108,63.140.111.127,isp,US 
63.140.111.128,63.140.111.131,business,US 
63.140.111.132,63.140.111.135,isp,US 
63.140.111.136,63.140.111.139,business,US 
63.140.111.140,63.140.111.143,isp,US 
63.140.111.144,63.140.111.147,business,US 
63.140.111.148,63.140.111.151,isp,US 
63.140.111.152,63.140.111.155,business,US 
63.140.111.156,63.140.111.167,isp,US 
63.140.111.168,63.140.111.171,business,US 
63.140.111.172,63.140.111.175,isp,US 
63.140.111.176,63.140.111.179,business,US 
63.140.111.180,63.140.111.191,isp,US 
63.140.111.192,63.140.111.195,business,US 
63.140.111.196,63.140.111.207,isp,US 
63.140.111.208,63.140.111.211,business,US 
63.140.111.212,63.140.111.223,isp,US 
63.140.111.224,63.140.111.227,business,US 
63.140.111.228,63.140.111.239,isp,US 
63.140.111.240,63.140.111.243,education,US 
63.140.111.244,63.140.111.255,isp,US 
63.140.112.0,63.140.112.63,business,US 
63.140.112.64,63.140.112.143,isp,US 
63.140.112.144,63.140.112.159,business,US 
63.140.112.160,63.140.112.191,isp,US 
63.140.112.192,63.140.112.207,business,US 
63.140.112.208,63.140.112.239,isp,US 
63.140.112.240,63.140.112.255,business,US 
63.140.113.0,63.140.113.7,education,US 
63.140.113.8,63.140.113.15,isp,US 
63.140.113.16,63.140.113.39,business,US 
63.140.113.40,63.140.113.71,isp,US 
63.140.113.72,63.140.113.79,business,US 
63.140.113.80,63.140.113.103,isp,US 
63.140.113.104,63.140.113.127,business,US 
63.140.113.128,63.140.113.135,isp,US 
63.140.113.136,63.140.113.143,business,US 
63.140.113.144,63.140.113.151,isp,US 
63.140.113.152,63.140.113.167,business,US 
63.140.113.168,63.140.113.175,isp,US 
63.140.113.176,63.140.113.191,business,US 
63.140.113.192,63.140.113.207,isp,US 
63.140.113.208,63.140.113.215,business,US 
63.140.113.216,63.140.113.239,isp,US 
63.140.113.240,63.140.113.255,business,US 
63.140.114.0,63.140.115.23,isp,US 
63.140.115.24,63.140.115.27,education,US 
63.140.115.28,63.140.115.63,isp,US 
63.140.115.64,63.140.115.67,business,US 
63.140.115.68,63.140.115.71,isp,US 
63.140.115.72,63.140.115.75,business,US 
63.140.115.76,63.140.115.95,isp,US 
63.140.115.96,63.140.115.99,business,US 
63.140.115.100,63.140.115.111,isp,US 
63.140.115.112,63.140.115.115,business,US 
63.140.115.116,63.140.115.119,isp,US 
63.140.115.120,63.140.115.123,business,US 
63.140.115.124,63.140.115.127,isp,US 
63.140.115.128,63.140.115.131,business,US 
63.140.115.132,63.140.115.159,isp,US 
63.140.115.160,63.140.115.163,business,US 
63.140.115.164,63.140.115.167,isp,US 
63.140.115.168,63.140.115.171,business,US 
63.140.115.172,63.140.115.175,isp,US 
63.140.115.176,63.140.115.179,business,US 
63.140.115.180,63.140.115.207,isp,US 
63.140.115.208,63.140.115.211,business,US 
63.140.115.212,63.140.115.215,isp,US 
63.140.115.216,63.140.115.219,business,US 
63.140.115.220,63.140.115.223,isp,US 
63.140.115.224,63.140.115.227,business,US 
63.140.115.228,63.140.115.239,isp,US 
63.140.115.240,63.140.115.243,business,US 
63.140.115.244,63.140.115.247,isp,US 
63.140.115.248,63.140.115.251,business,US 
63.140.115.252,63.140.116.255,isp,US 
63.140.117.0,63.140.117.15,business,US 
63.140.117.16,63.140.117.31,isp,US 
63.140.117.32,63.140.117.55,business,US 
63.140.117.56,63.140.117.71,isp,US 
63.140.117.72,63.140.117.103,business,US 
63.140.117.104,63.140.117.111,isp,US 
63.140.117.112,63.140.117.151,business,US 
63.140.117.152,63.140.117.159,isp,US 
63.140.117.160,63.140.117.175,business,US 
63.140.117.176,63.140.117.183,isp,US 
63.140.117.184,63.140.117.215,business,US 
63.140.117.216,63.140.117.247,isp,US 
63.140.117.248,63.140.117.255,business,US 
63.140.118.0,63.140.118.7,isp,US 
63.140.118.8,63.140.118.11,education,US 
63.140.118.12,63.140.118.15,isp,US 
63.140.118.16,63.140.118.19,business,US 
63.140.118.20,63.140.118.23,isp,US 
63.140.118.24,63.140.118.27,business,US 
63.140.118.28,63.140.118.31,isp,US 
63.140.118.32,63.140.118.35,business,US 
63.140.118.36,63.140.118.87,isp,US 
63.140.118.88,63.140.118.91,business,US 
63.140.118.92,63.140.118.95,isp,US 
63.140.118.96,63.140.118.99,business,US 
63.140.118.100,63.140.118.119,isp,US 
63.140.118.120,63.140.118.123,business,US 
63.140.118.124,63.140.118.127,isp,US 
63.140.118.128,63.140.118.131,business,US 
63.140.118.132,63.140.118.143,isp,US 
63.140.118.144,63.140.118.147,business,US 
63.140.118.148,63.140.118.151,isp,US 
63.140.118.152,63.140.118.155,business,US 
63.140.118.156,63.140.118.159,isp,US 
63.140.118.160,63.140.118.163,business,US 
63.140.118.164,63.140.118.167,isp,US 
63.140.118.168,63.140.118.171,business,US 
63.140.118.172,63.140.118.175,isp,US 
63.140.118.176,63.140.118.179,business,US 
63.140.118.180,63.140.118.183,isp,US 
63.140.118.184,63.140.118.187,business,US 
63.140.118.188,63.140.118.191,isp,US 
63.140.118.192,63.140.118.195,business,US 
63.140.118.196,63.140.118.215,isp,US 
63.140.118.216,63.140.118.219,business,US 
63.140.118.220,63.140.118.223,isp,US 
63.140.118.224,63.140.118.227,business,US 
63.140.118.228,63.140.118.239,isp,US 
63.140.118.240,63.140.118.243,business,US 
63.140.118.244,63.140.118.247,isp,US 
63.140.118.248,63.140.118.251,business,US 
63.140.118.252,63.140.119.127,isp,US 
63.140.119.128,63.140.120.15,business,US 
63.140.120.16,63.140.120.63,isp,US 
63.140.120.64,63.140.120.111,business,US 
63.140.120.112,63.140.120.127,isp,US 
63.140.120.128,63.140.121.7,business,US 
63.140.121.8,63.140.121.23,isp,US 
63.140.121.24,63.140.121.55,business,US 
63.140.121.56,63.140.121.71,isp,US 
63.140.121.72,63.140.121.95,business,US 
63.140.121.96,63.140.121.103,isp,US 
63.140.121.104,63.140.121.119,business,US 
63.140.121.120,63.140.121.127,isp,US 
63.140.121.128,63.140.121.135,business,US 
63.140.121.136,63.140.121.143,isp,US 
63.140.121.144,63.140.121.151,business,US 
63.140.121.152,63.140.121.159,isp,US 
63.140.121.160,63.140.121.183,business,US 
63.140.121.184,63.140.121.207,isp,US 
63.140.121.208,63.140.121.215,business,US 
63.140.121.216,63.140.121.223,isp,US 
63.140.121.224,63.140.121.231,business,US 
63.140.121.232,63.140.121.239,isp,US 
63.140.121.240,63.140.121.247,education,US 
63.140.121.248,63.140.122.7,isp,US 
63.140.122.8,63.140.122.11,business,US 
63.140.122.12,63.140.122.15,isp,US 
63.140.122.16,63.140.122.19,business,US 
63.140.122.20,63.140.122.23,isp,US 
63.140.122.24,63.140.122.27,business,US 
63.140.122.28,63.140.122.39,isp,US 
63.140.122.40,63.140.122.43,business,US 
63.140.122.44,63.140.122.47,isp,US 
63.140.122.48,63.140.122.51,business,US 
63.140.122.52,63.140.122.55,isp,US 
63.140.122.56,63.140.122.59,business,US 
63.140.122.60,63.140.122.79,isp,US 
63.140.122.80,63.140.122.83,business,US 
63.140.122.84,63.140.122.87,isp,US 
63.140.122.88,63.140.122.91,business,US 
63.140.122.92,63.140.122.127,isp,US 
63.140.122.128,63.140.122.131,business,US 
63.140.122.132,63.140.122.135,isp,US 
63.140.122.136,63.140.122.139,business,US 
63.140.122.140,63.140.122.143,isp,US 
63.140.122.144,63.140.122.147,business,US 
63.140.122.148,63.140.122.151,isp,US 
63.140.122.152,63.140.122.155,business,US 
63.140.122.156,63.140.122.159,isp,US 
63.140.122.160,63.140.122.163,business,US 
63.140.122.164,63.140.122.199,isp,US 
63.140.122.200,63.140.122.203,business,US 
63.140.122.204,63.140.122.207,isp,US 
63.140.122.208,63.140.122.211,business,US 
63.140.122.212,63.140.122.215,isp,US 
63.140.122.216,63.140.122.219,business,US 
63.140.122.220,63.140.122.223,isp,US 
63.140.122.224,63.140.122.227,business,US 
63.140.122.228,63.140.122.239,isp,US 
63.140.122.240,63.140.122.241,business,US 
63.140.122.242,63.140.123.7,isp,US 
63.140.123.8,63.140.123.31,business,US 
63.140.123.32,63.140.123.39,isp,US 
63.140.123.40,63.140.123.47,business,US 
63.140.123.48,63.140.123.71,isp,US 
63.140.123.72,63.140.123.87,business,US 
63.140.123.88,63.140.123.95,isp,US 
