68.238.48.0,68.238.49.255,isp,US,AS13977 
68.238.50.0,68.238.51.255,isp,US,AS14671 
68.238.52.0,68.238.63.255,isp,US,AS13977 
68.238.64.0,68.238.145.23,isp,US,AS701 
68.238.145.24,68.238.145.31,business,US, 
68.238.145.32,68.238.145.103,isp,US,AS701 
68.238.145.104,68.238.145.111,business,US, 
68.238.145.112,68.238.145.127,isp,US,AS701 
68.238.145.128,68.238.145.135,business,US, 
68.238.145.136,68.238.145.151,isp,US,AS701 
68.238.145.152,68.238.145.159,business,US, 
68.238.145.160,68.238.147.7,isp,US,AS701 
68.238.147.8,68.238.147.31,business,US, 
68.238.147.32,68.238.147.55,isp,US,AS701 
68.238.147.56,68.238.147.71,business,US, 
68.238.147.72,68.238.147.255,isp,US,AS701 
68.238.148.0,68.238.148.7,business,US, 
68.238.148.8,68.238.148.15,education,US, 
68.238.148.16,68.238.148.47,business,US, 
68.238.148.48,68.238.148.55,isp,US,AS701 
68.238.148.56,68.238.148.63,business,US, 
68.238.148.64,68.238.148.71,isp,US,AS701 
68.238.148.72,68.238.148.103,business,US, 
68.238.148.104,68.238.148.111,isp,US,AS701 
68.238.148.112,68.238.148.135,business,US, 
68.238.148.136,68.238.148.143,isp,US,AS701 
68.238.148.144,68.238.148.159,business,US, 
68.238.148.160,68.238.157.15,isp,US,AS701 
68.238.157.16,68.238.157.23,business,US, 
68.238.157.24,68.238.157.31,isp,US,AS701 
68.238.157.32,68.238.157.39,business,US, 
68.238.157.40,68.238.157.71,isp,US,AS701 
68.238.157.72,68.238.157.79,business,US, 
68.238.157.80,68.238.157.87,isp,US,AS701 
68.238.157.88,68.238.157.111,business,US, 
68.238.157.112,68.238.157.119,isp,US,AS701 
68.238.157.120,68.238.157.143,business,US, 
68.238.157.144,68.238.157.151,isp,US,AS701 
68.238.157.152,68.238.157.159,business,US, 
68.238.157.160,68.238.157.175,isp,US,AS701 
68.238.157.176,68.238.157.183,business,US, 
68.238.157.184,68.238.157.191,isp,US,AS701 
68.238.157.192,68.238.157.199,business,US, 
68.238.157.200,68.238.157.207,isp,US,AS701 
68.238.157.208,68.238.157.239,business,US, 
68.238.157.240,68.238.157.255,isp,US,AS701 
68.238.158.0,68.238.158.7,business,US, 
68.238.158.8,68.238.158.15,isp,US,AS701 
68.238.158.16,68.238.158.31,business,US, 
68.238.158.32,68.238.158.47,isp,US,AS701 
68.238.158.48,68.238.158.71,business,US, 
68.238.158.72,68.238.158.79,isp,US,AS701 
68.238.158.80,68.238.158.87,business,US, 
68.238.158.88,68.238.158.95,isp,US,AS701 
68.238.158.96,68.238.158.103,business,US, 
68.238.158.104,68.238.158.111,isp,US,AS701 
68.238.158.112,68.238.158.135,business,US, 
68.238.158.136,68.238.158.143,isp,US,AS701 
68.238.158.144,68.238.158.191,business,US, 
68.238.158.192,68.238.158.199,isp,US,AS701 
68.238.158.200,68.238.158.223,business,US, 
68.238.158.224,68.238.163.111,isp,US,AS701 
68.238.163.112,68.238.163.119,business,US,AS701 
68.238.163.120,68.238.163.247,isp,US,AS701 
68.238.163.248,68.238.163.255,business,US,AS701 
68.238.164.0,68.238.170.87,isp,US,AS701 
68.238.170.88,68.238.170.95,business,US, 
68.238.170.96,68.238.170.215,isp,US,AS701 
68.238.170.216,68.238.170.231,business,US, 
68.238.170.232,68.238.174.15,isp,US,AS701 
68.238.174.16,68.238.174.135,business,US, 
68.238.174.136,68.238.174.143,isp,US,AS701 
68.238.174.144,68.238.174.255,business,US, 
68.238.175.0,68.238.253.135,isp,US,AS701 
68.238.253.136,68.238.253.143,business,US,AS701 
68.238.253.144,68.239.255.255,isp,US,AS701 
