64.245.0.0,64.245.3.255,hosting,US,AS36825 
64.245.4.0,64.245.24.255,isp,US,AS2828 
64.245.25.0,64.245.25.255,business,US,AS2828 
64.245.26.0,64.245.31.255,isp,US,AS2828 
64.245.32.0,64.245.35.255,business,US,AS17119 
64.245.36.0,64.245.48.31,isp,US,AS2828 
64.245.48.32,64.245.48.191,business,US,AS2828 
64.245.48.192,64.245.48.207,isp,US,AS2828 
64.245.48.208,64.245.48.255,business,US,AS2828 
64.245.49.0,64.245.49.23,isp,US,AS2828 
64.245.49.24,64.245.49.47,business,US,AS2828 
64.245.49.48,64.245.49.63,isp,US,AS2828 
64.245.49.64,64.245.50.127,business,US,AS2828 
64.245.50.128,64.245.50.159,isp,US,AS2828 
64.245.50.160,64.245.50.191,business,US,AS2828 
64.245.50.192,64.245.50.207,isp,US,AS2828 
64.245.50.208,64.245.52.127,business,US,AS2828 
64.245.52.128,64.245.52.175,isp,US,AS2828 
64.245.52.176,64.245.52.191,business,US,AS2828 
64.245.52.192,64.245.52.207,isp,US,AS2828 
64.245.52.208,64.245.53.255,business,US,AS2828 
64.245.54.0,64.245.55.87,isp,US,AS2828 
64.245.55.88,64.245.55.111,business,US,AS2828 
64.245.55.112,64.245.55.159,isp,US,AS2828 
64.245.55.160,64.245.55.255,business,US,AS2828 
64.245.56.0,64.245.56.127,isp,US,AS2828 
64.245.56.128,64.245.63.255,business,US,AS2828 
64.245.64.0,64.245.77.255,isp,US,AS2828 
64.245.78.0,64.245.79.255,business,US,AS2828 
64.245.80.0,64.245.107.255,isp,US,AS2828 
64.245.108.0,64.245.108.255,business,US,AS2828 
64.245.109.0,64.245.119.255,isp,US,AS2828 
64.245.120.0,64.245.120.255,business,US,AS2828 
64.245.121.0,64.245.127.255,isp,US,AS2828 
64.245.128.0,64.245.128.255,business,US,AS2828 
64.245.129.0,64.245.131.255,isp,US,AS2828 
64.245.132.0,64.245.132.255,business,US,AS2828 
64.245.133.0,64.245.135.255,isp,US,AS2828 
64.245.136.0,64.245.137.255,business,US,AS2828 
64.245.138.0,64.245.165.255,isp,US,AS2828 
64.245.166.0,64.245.167.255,business,US,AS2828 
64.245.168.0,64.245.200.255,isp,US,AS2828 
64.245.201.0,64.245.201.255,business,US,AS22362 
64.245.202.0,64.245.214.255,isp,US,AS2828 
64.245.215.0,64.245.215.255,business,US,AS396861 
64.245.216.0,64.245.225.159,isp,US,AS2828 
64.245.225.160,64.245.225.191,business,US,AS2828 
64.245.225.192,64.245.255.255,isp,US,AS2828 
