64.238.0.0,64.238.6.255,isp,US 
64.238.7.0,64.238.7.255,business,US 
64.238.8.0,64.238.13.255,isp,US 
64.238.14.0,64.238.15.255,business,US 
64.238.16.0,64.238.31.255,hosting,US 
64.238.32.0,64.238.33.255,business,US 
64.238.34.0,64.238.34.255,hosting,US 
64.238.35.0,64.238.39.255,business,US 
64.238.40.0,64.238.47.255,isp,US 
64.238.48.0,64.238.127.255,business,US 
64.238.128.0,64.238.129.63,hosting,US 
64.238.129.64,64.238.129.127,business,US 
64.238.129.128,64.238.129.255,hosting,US 
64.238.130.0,64.238.130.7,business,US 
64.238.130.8,64.238.130.31,hosting,US 
64.238.130.32,64.238.130.127,business,US 
64.238.130.128,64.238.131.127,hosting,US 
64.238.131.128,64.238.131.255,business,US 
64.238.132.0,64.238.132.15,hosting,US 
64.238.132.16,64.238.132.31,business,US 
64.238.132.32,64.238.132.63,hosting,US 
64.238.132.64,64.238.132.255,business,US 
64.238.133.0,64.238.135.7,hosting,US 
64.238.135.8,64.238.135.15,business,US 
64.238.135.16,64.238.135.31,hosting,US 
64.238.135.32,64.238.135.47,business,US 
64.238.135.48,64.238.135.79,hosting,US 
64.238.135.80,64.238.135.87,business,US 
64.238.135.88,64.238.135.231,hosting,US 
64.238.135.232,64.238.135.255,business,US 
64.238.136.0,64.238.136.87,hosting,US 
64.238.136.88,64.238.136.127,business,US 
64.238.136.128,64.238.136.135,hosting,US 
64.238.136.136,64.238.136.159,business,US 
64.238.136.160,64.238.136.191,hosting,US 
64.238.136.192,64.238.136.223,business,US 
64.238.136.224,64.238.138.87,hosting,US 
64.238.138.88,64.238.138.127,business,US 
64.238.138.128,64.238.138.191,hosting,US 
64.238.138.192,64.238.138.223,education,US 
64.238.138.224,64.238.139.63,hosting,US 
64.238.139.64,64.238.139.119,business,US 
64.238.139.120,64.238.139.135,hosting,US 
64.238.139.136,64.238.139.143,business,US 
64.238.139.144,64.238.139.167,hosting,US 
64.238.139.168,64.238.139.175,business,US 
64.238.139.176,64.238.139.255,hosting,US 
64.238.140.0,64.238.140.31,business,US 
64.238.140.32,64.238.140.95,hosting,US 
64.238.140.96,64.238.140.127,isp,US 
64.238.140.128,64.238.140.143,hosting,US 
64.238.140.144,64.238.140.159,business,US 
64.238.140.160,64.238.141.63,hosting,US 
64.238.141.64,64.238.141.143,business,US 
64.238.141.144,64.238.142.7,hosting,US 
64.238.142.8,64.238.142.31,business,US 
64.238.142.32,64.238.142.95,hosting,US 
64.238.142.96,64.238.142.159,business,US 
64.238.142.160,64.238.142.191,hosting,US 
64.238.142.192,64.238.142.223,isp,US 
64.238.142.224,64.238.142.255,business,US 
64.238.143.0,64.238.143.239,hosting,US 
64.238.143.240,64.238.143.255,business,US 
64.238.144.0,64.238.144.55,hosting,US 
64.238.144.56,64.238.144.99,business,US 
64.238.144.100,64.238.144.175,hosting,US 
64.238.144.176,64.238.144.183,business,US 
64.238.144.184,64.238.144.187,hosting,US 
64.238.144.188,64.238.144.239,business,US 
64.238.144.240,64.238.145.127,hosting,US 
64.238.145.128,64.238.145.143,business,US 
64.238.145.144,64.238.145.151,hosting,US 
64.238.145.152,64.238.145.159,business,US 
64.238.145.160,64.238.145.191,hosting,US 
64.238.145.192,64.238.145.223,business,US 
64.238.145.224,64.238.145.231,hosting,US 
64.238.145.232,64.238.145.239,business,US 
64.238.145.240,64.238.145.247,hosting,US 
64.238.145.248,64.238.145.255,business,US 
64.238.146.0,64.238.146.23,hosting,US 
64.238.146.24,64.238.146.47,business,US 
64.238.146.48,64.238.146.79,hosting,US 
64.238.146.80,64.238.146.95,isp,US 
64.238.146.96,64.238.146.127,business,US 
64.238.146.128,64.238.146.199,hosting,US 
64.238.146.200,64.238.146.207,business,US 
64.238.146.208,64.238.146.255,hosting,US 
64.238.147.0,64.238.147.127,business,US 
64.238.147.128,64.238.149.87,hosting,US 
64.238.149.88,64.238.149.95,business,US 
64.238.149.96,64.238.149.127,hosting,US 
64.238.149.128,64.238.149.191,business,US 
64.238.149.192,64.238.149.239,hosting,US 
64.238.149.240,64.238.149.243,hosting,AU 
64.238.149.244,64.238.150.207,hosting,US 
64.238.150.208,64.238.150.215,business,US 
64.238.150.216,64.238.151.191,hosting,US 
64.238.151.192,64.238.151.207,education,US 
64.238.151.208,64.238.151.255,hosting,US 
64.238.152.0,64.238.152.7,business,US 
64.238.152.8,64.238.152.191,hosting,US 
64.238.152.192,64.238.153.63,business,US 
64.238.153.64,64.238.153.127,education,US 
64.238.153.128,64.238.153.135,hosting,US 
64.238.153.136,64.238.153.143,business,US 
64.238.153.144,64.238.154.23,hosting,US 
64.238.154.24,64.238.154.31,business,US 
64.238.154.32,64.238.154.95,hosting,US 
64.238.154.96,64.238.154.127,business,US 
64.238.154.128,64.238.154.255,hosting,US 
64.238.155.0,64.238.155.255,business,US 
64.238.156.0,64.238.157.95,hosting,US 
64.238.157.96,64.238.157.127,business,US 
64.238.157.128,64.238.157.239,hosting,US 
64.238.157.240,64.238.157.247,business,US 
64.238.157.248,64.238.158.255,hosting,US 
64.238.159.0,64.238.159.255,business,US 
64.238.160.0,64.238.160.255,isp,US 
64.238.161.0,64.238.161.255,business,US 
64.238.162.0,64.238.163.255,isp,US 
64.238.164.0,64.238.167.255,business,US 
64.238.168.0,64.238.191.255,isp,US 
64.238.192.0,64.238.192.51,hosting,US 
64.238.192.52,64.238.192.55,isp,US 
64.238.192.56,64.238.193.15,hosting,US 
64.238.193.16,64.238.193.23,business,US 
64.238.193.24,64.238.193.31,hosting,US 
64.238.193.32,64.238.193.89,business,US 
64.238.193.90,64.238.193.91,hosting,US 
64.238.193.92,64.238.193.93,business,US 
64.238.193.94,64.238.193.95,hosting,US 
64.238.193.96,64.238.193.127,isp,US 
64.238.193.128,64.238.193.133,business,US 
64.238.193.134,64.238.193.135,isp,US 
64.238.193.136,64.238.193.137,business,US 
64.238.193.138,64.238.193.139,hosting,US 
64.238.193.140,64.238.193.141,business,US 
64.238.193.142,64.238.193.143,hosting,US 
64.238.193.144,64.238.193.149,business,US 
64.238.193.150,64.238.193.151,isp,US 
64.238.193.152,64.238.193.163,business,US 
64.238.193.164,64.238.193.167,hosting,US 
64.238.193.168,64.238.193.175,isp,US 
64.238.193.176,64.238.193.207,hosting,US 
64.238.193.208,64.238.193.239,business,US 
64.238.193.240,64.238.193.247,isp,US 
64.238.193.248,64.238.193.255,business,US 
64.238.194.0,64.238.194.47,isp,US 
64.238.194.48,64.238.194.127,hosting,US 
64.238.194.128,64.238.194.159,isp,US 
64.238.194.160,64.238.194.175,hosting,US 
64.238.194.176,64.238.194.191,isp,US 
64.238.194.192,64.238.194.255,hosting,US 
64.238.195.0,64.238.195.255,isp,US 
64.238.196.0,64.238.196.31,business,US 
64.238.196.32,64.238.196.47,hosting,US 
64.238.196.48,64.238.196.79,business,US 
64.238.196.80,64.238.196.95,isp,US 
64.238.196.96,64.238.196.159,business,US 
64.238.196.160,64.238.196.191,isp,US 
64.238.196.192,64.238.196.203,business,US 
64.238.196.204,64.238.196.207,isp,US 
64.238.196.208,64.238.196.215,hosting,US 
64.238.196.216,64.238.196.231,business,US 
64.238.196.232,64.238.196.239,hosting,US 
64.238.196.240,64.238.196.255,business,US 
64.238.197.0,64.238.197.153,hosting,US 
64.238.197.154,64.238.197.157,isp,US 
64.238.197.158,64.238.197.191,hosting,US 
64.238.197.192,64.238.197.199,isp,US 
64.238.197.200,64.238.198.71,hosting,US 
64.238.198.72,64.238.198.79,business,US 
64.238.198.80,64.238.198.87,isp,US 
64.238.198.88,64.238.198.103,hosting,US 
64.238.198.104,64.238.198.111,isp,US 
64.238.198.112,64.238.198.127,business,US 
64.238.198.128,64.238.198.191,hosting,US 
64.238.198.192,64.238.198.255,isp,US 
64.238.199.0,64.238.199.3,hosting,US 
64.238.199.4,64.238.199.7,business,US 
64.238.199.8,64.238.199.13,hosting,US 
64.238.199.14,64.238.199.75,business,US 
64.238.199.76,64.238.199.77,hosting,US 
64.238.199.78,64.238.199.81,business,US 
64.238.199.82,64.238.199.83,hosting,US 
64.238.199.84,64.238.199.85,business,US 
64.238.199.86,64.238.199.86,isp,US 
64.238.199.87,64.238.199.87,business,US 
64.238.199.88,64.238.199.95,hosting,US 
64.238.199.96,64.238.199.101,business,US 
64.238.199.102,64.238.199.102,hosting,US 
64.238.199.103,64.238.199.105,business,US 
64.238.199.106,64.238.199.106,hosting,US 
64.238.199.107,64.238.199.110,business,US 
64.238.199.111,64.238.199.111,hosting,US 
64.238.199.112,64.238.199.113,business,US 
64.238.199.114,64.238.199.115,isp,US 
64.238.199.116,64.238.199.121,business,US 
64.238.199.122,64.238.199.125,hosting,US 
64.238.199.126,64.238.199.127,business,US 
64.238.199.128,64.238.199.135,hosting,US 
64.238.199.136,64.238.199.139,business,US 
64.238.199.140,64.238.199.141,hosting,US 
64.238.199.142,64.238.199.143,business,US 
64.238.199.144,64.238.199.145,hosting,US 
64.238.199.146,64.238.199.151,business,US 
64.238.199.152,64.238.199.155,hosting,US 
64.238.199.156,64.238.199.163,business,US 
64.238.199.164,64.238.199.167,isp,US 
64.238.199.168,64.238.199.183,business,US 
64.238.199.184,64.238.199.199,hosting,US 
64.238.199.200,64.238.199.215,business,US 
64.238.199.216,64.238.199.223,isp,US 
64.238.199.224,64.238.199.231,hosting,US 
64.238.199.232,64.238.199.255,business,US 
64.238.200.0,64.238.200.7,hosting,US 
64.238.200.8,64.238.200.31,business,US 
64.238.200.32,64.238.200.39,hosting,US 
64.238.200.40,64.238.200.79,business,US 
64.238.200.80,64.238.200.87,hosting,US 
64.238.200.88,64.238.200.95,business,US 
64.238.200.96,64.238.200.103,isp,US 
64.238.200.104,64.238.200.119,business,US 
64.238.200.120,64.238.200.127,hosting,US 
64.238.200.128,64.238.200.159,business,US 
64.238.200.160,64.238.200.191,isp,US 
64.238.200.192,64.238.200.223,business,US 
64.238.200.224,64.238.200.231,isp,US 
64.238.200.232,64.238.200.240,business,US 
64.238.200.241,64.238.200.241,isp,US 
64.238.200.242,64.238.200.243,business,US 
64.238.200.244,64.238.200.245,isp,US 
64.238.200.246,64.238.200.247,business,US 
64.238.200.248,64.238.202.3,hosting,US 
64.238.202.4,64.238.202.6,isp,US 
64.238.202.7,64.238.202.23,hosting,US 
64.238.202.24,64.238.202.31,isp,US 
64.238.202.32,64.238.202.35,hosting,US 
64.238.202.36,64.238.202.37,isp,US 
64.238.202.38,64.238.202.43,hosting,US 
64.238.202.44,64.238.202.45,isp,US 
64.238.202.46,64.238.202.47,hosting,US 
64.238.202.48,64.238.202.49,isp,US 
64.238.202.50,64.238.202.67,hosting,US 
64.238.202.68,64.238.202.69,isp,US 
64.238.202.70,64.238.202.94,hosting,US 
64.238.202.95,64.238.202.95,isp,US 
64.238.202.96,64.238.202.97,hosting,US 
64.238.202.98,64.238.202.99,isp,US 
64.238.202.100,64.238.202.110,hosting,US 
64.238.202.111,64.238.202.111,isp,US 
64.238.202.112,64.238.202.112,hosting,US 
64.238.202.113,64.238.202.113,isp,US 
64.238.202.114,64.238.202.131,hosting,US 
64.238.202.132,64.238.202.132,isp,US 
64.238.202.133,64.238.202.137,hosting,US 
64.238.202.138,64.238.202.140,isp,US 
64.238.202.141,64.238.202.143,hosting,US 
64.238.202.144,64.238.202.160,isp,US 
64.238.202.161,64.238.202.162,hosting,US 
64.238.202.163,64.238.202.163,isp,US 
64.238.202.164,64.238.202.167,hosting,US 
64.238.202.168,64.238.202.169,isp,US 
64.238.202.170,64.238.202.176,hosting,US 
64.238.202.177,64.238.202.177,isp,US 
64.238.202.178,64.238.202.183,hosting,US 
64.238.202.184,64.238.202.199,isp,US 
64.238.202.200,64.238.202.255,hosting,US 
64.238.203.0,64.238.203.1,hosting,GB 
64.238.203.2,64.238.203.5,hosting,DE 
64.238.203.6,64.238.203.23,hosting,GB 
64.238.203.24,64.238.203.31,hosting,DE 
64.238.203.32,64.238.203.191,hosting,GB 
64.238.203.192,64.238.203.255,hosting,DE 
64.238.204.0,64.238.204.255,business,NL 
64.238.205.0,64.238.205.63,business,US 
64.238.205.64,64.238.205.103,isp,US 
64.238.205.104,64.238.205.111,business,US 
64.238.205.112,64.238.205.143,isp,US 
64.238.205.144,64.238.205.151,business,US 
64.238.205.152,64.238.205.159,isp,US 
64.238.205.160,64.238.205.179,business,US 
64.238.205.180,64.238.205.183,hosting,US 
64.238.205.184,64.238.205.255,business,US 
64.238.206.0,64.238.206.255,hosting,US 
64.238.207.0,64.238.207.31,isp,US 
64.238.207.32,64.238.207.63,hosting,US 
64.238.207.64,64.238.207.79,business,US 
64.238.207.80,64.238.207.111,hosting,US 
64.238.207.112,64.238.207.191,business,US 
64.238.207.192,64.238.207.239,isp,US 
64.238.207.240,64.238.207.247,business,US 
64.238.207.248,64.238.207.255,isp,US 
64.238.208.0,64.238.208.15,business,US 
64.238.208.16,64.238.208.31,isp,US 
64.238.208.32,64.238.208.47,hosting,US 
64.238.208.48,64.238.208.111,business,US 
64.238.208.112,64.238.208.119,hosting,US 
64.238.208.120,64.238.208.159,business,US 
64.238.208.160,64.238.208.191,hosting,US 
64.238.208.192,64.238.209.255,business,US 
64.238.210.0,64.238.210.7,hosting,CA 
64.238.210.8,64.238.210.15,hosting,US 
64.238.210.16,64.238.210.31,hosting,CA 
64.238.210.32,64.238.210.71,hosting,US 
64.238.210.72,64.238.210.79,business,CA 
64.238.210.80,64.238.210.95,isp,US 
64.238.210.96,64.238.210.127,hosting,CA 
64.238.210.128,64.238.210.143,business,US 
64.238.210.144,64.238.210.207,hosting,CA 
64.238.210.208,64.238.210.223,isp,US 
64.238.210.224,64.238.210.255,business,US 
64.238.211.0,64.238.211.7,isp,US 
64.238.211.8,64.238.211.15,business,US 
64.238.211.16,64.238.211.31,hosting,US 
64.238.211.32,64.238.211.63,isp,US 
64.238.211.64,64.238.211.67,business,US 
64.238.211.68,64.238.211.71,isp,US 
64.238.211.72,64.238.211.79,business,US 
64.238.211.80,64.238.211.95,hosting,US 
64.238.211.96,64.238.211.127,business,US 
64.238.211.128,64.238.211.135,hosting,US 
64.238.211.136,64.238.211.143,business,US 
64.238.211.144,64.238.211.159,hosting,US 
64.238.211.160,64.238.211.191,business,US 
64.238.211.192,64.238.211.247,hosting,US 
64.238.211.248,64.238.211.255,business,US 
64.238.212.0,64.238.212.23,hosting,US 
64.238.212.24,64.238.212.39,isp,US 
64.238.212.40,64.238.212.56,hosting,US 
64.238.212.57,64.238.212.57,business,US 
64.238.212.58,64.238.212.58,isp,US 
64.238.212.59,64.238.212.59,hosting,US 
64.238.212.60,64.238.212.79,business,US 
64.238.212.80,64.238.212.87,isp,US 
64.238.212.88,64.238.212.119,business,US 
64.238.212.120,64.238.212.127,isp,US 
64.238.212.128,64.238.213.31,business,US 
64.238.213.32,64.238.213.63,hosting,US 
64.238.213.64,64.238.213.71,isp,US 
64.238.213.72,64.238.213.79,hosting,US 
64.238.213.80,64.238.213.87,isp,US 
64.238.213.88,64.238.213.111,hosting,US 
64.238.213.112,64.238.213.127,business,US 
64.238.213.128,64.238.213.143,isp,US 
64.238.213.144,64.238.213.159,business,US 
64.238.213.160,64.238.213.175,isp,US 
64.238.213.176,64.238.213.183,business,CA 
64.238.213.184,64.238.213.191,isp,US 
64.238.213.192,64.238.213.199,hosting,US 
64.238.213.200,64.238.213.207,isp,US 
64.238.213.208,64.238.213.223,business,US 
64.238.213.224,64.238.213.231,hosting,US 
64.238.213.232,64.238.213.239,isp,US 
64.238.213.240,64.238.214.15,business,US 
64.238.214.16,64.238.214.17,isp,US 
