64.130.0.0,64.130.15.255,hosting,US,AS399122 
64.130.16.0,64.130.31.255,isp,US,AS33652 
64.130.32.0,64.130.47.255,hosting,US,AS20473 
64.130.48.0,64.130.63.255,hosting,US,AS20326 
64.130.64.0,64.130.95.255,isp,US,AS13693 
64.130.96.0,64.130.108.7,isp,US,AS13825 
64.130.108.8,64.130.108.15,business,US,AS13825 
64.130.108.16,64.130.108.31,isp,US,AS13825 
64.130.108.32,64.130.108.63,business,US,AS13825 
64.130.108.64,64.130.109.15,isp,US,AS13825 
64.130.109.16,64.130.109.39,business,US,AS13825 
64.130.109.40,64.130.109.43,isp,US,AS13825 
64.130.109.44,64.130.109.47,business,US,AS13825 
64.130.109.48,64.130.109.127,isp,US,AS13825 
64.130.109.128,64.130.109.159,business,US,AS13825 
64.130.109.160,64.130.109.175,isp,US,AS13825 
64.130.109.176,64.130.109.183,education,US,AS13825 
64.130.109.184,64.130.109.191,isp,US,AS13825 
64.130.109.192,64.130.109.223,business,US,AS13825 
64.130.109.224,64.130.116.255,isp,US,AS13825 
64.130.117.0,64.130.117.7,business,US,AS13825 
64.130.117.8,64.130.117.79,isp,US,AS13825 
64.130.117.80,64.130.117.87,business,US,AS13825 
64.130.117.88,64.130.117.151,isp,US,AS13825 
64.130.117.152,64.130.117.159,business,US,AS13825 
64.130.117.160,64.130.117.167,isp,US,AS13825 
64.130.117.168,64.130.117.175,business,US,AS13825 
64.130.117.176,64.130.117.231,isp,US,AS13825 
64.130.117.232,64.130.117.255,business,US,AS13825 
64.130.118.0,64.130.127.255,isp,US,AS13825 
64.130.128.0,64.130.191.255,isp,US,AS29894 
64.130.192.0,64.130.207.255,isp,US,AS12044 
64.130.208.0,64.130.209.255,hosting,CA,AS23136 
64.130.210.0,64.130.210.207,business,US,AS23136 
64.130.210.208,64.130.210.255,hosting,CA,AS23136 
64.130.211.0,64.130.211.31,business,CA,AS23136 
64.130.211.32,64.130.212.255,hosting,CA,AS23136 
64.130.213.0,64.130.213.15,business,CA,AS23136 
64.130.213.16,64.130.217.175,hosting,CA,AS23136 
64.130.217.176,64.130.217.207,business,CA,AS23136 
64.130.217.208,64.130.223.255,hosting,CA,AS23136 
64.130.224.0,64.130.224.255,hosting,US,AS26251 
64.130.225.0,64.130.225.127,business,US,AS26251 
64.130.225.128,64.130.226.39,hosting,US,AS26251 
64.130.226.40,64.130.226.47,business,US,AS26251 
64.130.226.48,64.130.226.95,hosting,US,AS26251 
64.130.226.96,64.130.226.127,business,US,AS26251 
64.130.226.128,64.130.226.143,hosting,US,AS26251 
64.130.226.144,64.130.226.151,business,US,AS26251 
64.130.226.152,64.130.228.23,hosting,US,AS26251 
64.130.228.24,64.130.228.31,business,US,AS26251 
64.130.228.32,64.130.228.71,hosting,US,AS26251 
64.130.228.72,64.130.228.87,business,US,AS26251 
64.130.228.88,64.130.228.111,hosting,US,AS26251 
64.130.228.112,64.130.228.119,business,US,AS26251 
64.130.228.120,64.130.228.159,hosting,US,AS26251 
64.130.228.160,64.130.228.167,education,US,AS26251 
64.130.228.168,64.130.228.175,business,US,AS26251 
64.130.228.176,64.130.229.127,hosting,US,AS26251 
64.130.229.128,64.130.229.135,business,US,AS26251 
64.130.229.136,64.130.229.159,hosting,US,AS26251 
64.130.229.160,64.130.229.191,business,US,AS26251 
64.130.229.192,64.130.229.207,hosting,US,AS26251 
64.130.229.208,64.130.229.215,business,US,AS26251 
64.130.229.216,64.130.230.31,hosting,US,AS26251 
64.130.230.32,64.130.230.63,business,US,AS26251 
64.130.230.64,64.130.230.95,hosting,US,AS26251 
64.130.230.96,64.130.230.111,business,US,AS26251 
64.130.230.112,64.130.230.159,hosting,US,AS26251 
64.130.230.160,64.130.230.191,business,US,AS26251 
64.130.230.192,64.130.230.223,hosting,US,AS26251 
64.130.230.224,64.130.230.239,business,US,AS26251 
64.130.230.240,64.130.231.31,hosting,US,AS26251 
64.130.231.32,64.130.231.39,business,US,AS26251 
64.130.231.40,64.130.231.127,hosting,US,AS26251 
64.130.231.128,64.130.231.143,business,US,AS26251 
64.130.231.144,64.130.231.199,hosting,US,AS26251 
64.130.231.200,64.130.231.207,business,US,AS26251 
64.130.231.208,64.130.233.31,hosting,US,AS26251 
64.130.233.32,64.130.233.47,business,US,AS26251 
64.130.233.48,64.130.233.159,hosting,US,AS26251 
64.130.233.160,64.130.233.175,business,US,AS26251 
64.130.233.176,64.130.233.191,hosting,US,AS26251 
64.130.233.192,64.130.233.199,business,US,AS26251 
64.130.233.200,64.130.234.151,hosting,US,AS26251 
64.130.234.152,64.130.234.159,business,US,AS26251 
64.130.234.160,64.130.235.23,hosting,US,AS26251 
64.130.235.24,64.130.235.31,business,US,AS26251 
64.130.235.32,64.130.235.255,hosting,US,AS26251 
64.130.236.0,64.130.236.31,business,US,AS26251 
64.130.236.32,64.130.238.31,hosting,US,AS26251 
64.130.238.32,64.130.238.63,business,US,AS26251 
64.130.238.64,64.130.238.159,hosting,US,AS26251 
64.130.238.160,64.130.238.167,business,US,AS26251 
64.130.238.168,64.130.238.191,hosting,US,AS26251 
64.130.238.192,64.130.238.199,business,US,AS26251 
64.130.238.200,64.130.238.239,hosting,US,AS26251 
64.130.238.240,64.130.239.255,business,US,AS26251 
64.130.240.0,64.130.255.255,hosting,US,AS20077 
