64.250.16.0,64.250.31.255,hosting,US 
64.250.32.0,64.250.49.255,isp,US 
64.250.50.0,64.250.55.255,business,US 
64.250.56.0,64.250.79.255,isp,US 
64.250.80.0,64.250.81.255,isp,CA 
64.250.82.0,64.250.83.255,business,CA 
64.250.84.0,64.250.93.255,isp,CA 
64.250.94.0,64.250.95.255,business,CA 
64.250.96.0,64.250.111.255,isp,US 
64.250.112.0,64.250.127.255,hosting,US 
64.250.128.0,64.250.159.255,business,US 
64.250.160.0,64.250.175.255,isp,US 
64.250.176.0,64.250.183.31,hosting,US 
64.250.183.32,64.250.183.63,business,US 
64.250.183.64,64.250.185.39,hosting,US 
64.250.185.40,64.250.185.47,education,US 
64.250.185.48,64.250.189.255,hosting,US 
64.250.190.0,64.250.190.63,business,US 
64.250.190.64,64.250.191.255,hosting,US 
64.250.192.0,64.250.193.63,isp,US 
64.250.193.64,64.250.193.95,business,US 
64.250.193.96,64.250.193.207,isp,US 
64.250.193.208,64.250.193.215,business,US 
64.250.193.216,64.250.195.15,isp,US 
64.250.195.16,64.250.195.23,education,US 
64.250.195.24,64.250.195.127,isp,US 
64.250.195.128,64.250.195.135,education,US 
64.250.195.136,64.250.196.31,isp,US 
64.250.196.32,64.250.196.47,education,US 
64.250.196.48,64.250.196.55,isp,US 
64.250.196.56,64.250.196.63,education,US 
64.250.196.64,64.250.210.207,isp,US 
64.250.210.208,64.250.210.223,business,US 
64.250.210.224,64.250.223.255,isp,US 
64.250.224.0,64.250.224.255,business,US 
64.250.225.0,64.250.225.255,isp,US 
64.250.226.0,64.250.226.255,business,US 
64.250.227.0,64.250.227.15,isp,US 
64.250.227.16,64.250.227.47,business,US 
64.250.227.48,64.250.227.63,education,US 
64.250.227.64,64.250.227.79,business,US 
64.250.227.80,64.250.227.127,isp,US 
64.250.227.128,64.250.227.175,business,US 
64.250.227.176,64.250.227.207,isp,US 
64.250.227.208,64.250.227.255,business,US 
64.250.228.0,64.250.228.16,isp,US 
64.250.228.17,64.250.228.24,business,US 
64.250.228.25,64.250.228.31,isp,US 
64.250.228.32,64.250.228.47,business,US 
64.250.228.48,64.250.228.87,isp,US 
64.250.228.88,64.250.228.103,business,US 
64.250.228.104,64.250.228.111,isp,US 
64.250.228.112,64.250.228.127,business,US 
64.250.228.128,64.250.228.159,isp,US 
64.250.228.160,64.250.228.191,business,US 
64.250.228.192,64.250.228.199,isp,US 
64.250.228.200,64.250.228.207,business,US 
64.250.228.208,64.250.228.231,isp,US 
64.250.228.232,64.250.228.247,business,US 
64.250.228.248,64.250.228.255,isp,US 
64.250.229.0,64.250.229.31,business,US 
64.250.229.32,64.250.229.63,isp,US 
64.250.229.64,64.250.229.127,business,US 
64.250.229.128,64.250.229.159,isp,US 
