64.254.0.0,64.254.12.255,hosting,CA,AS18563 
64.254.13.0,64.254.13.31,hosting,US,AS18563 
64.254.13.32,64.254.27.255,hosting,CA,AS18563 
64.254.28.0,64.254.31.255,isp,CA,AS18563 
64.254.32.0,64.254.61.255,business,US,AS53703 
64.254.62.0,64.254.62.255,business,US,AS6531 
64.254.63.0,64.254.63.255,business,US,AS53703 
64.254.64.0,64.254.79.255,business,US,AS600 
64.254.80.0,64.254.95.255,business,US, 
64.254.96.0,64.254.121.103,hosting,US,AS17307 
64.254.121.104,64.254.121.111,business,HK,AS19809 
64.254.121.112,64.254.127.255,hosting,US,AS17307 
64.254.128.0,64.254.128.127,hosting,US,AS16617 
64.254.128.128,64.254.128.207,business,US,AS16617 
64.254.128.208,64.254.128.255,hosting,US,AS16617 
64.254.129.0,64.254.129.255,education,US,AS16617 
64.254.130.0,64.254.130.255,business,US,AS16617 
64.254.131.0,64.254.131.255,hosting,US,AS16617 
64.254.132.0,64.254.132.15,business,US,AS16617 
64.254.132.16,64.254.132.63,hosting,US,AS16617 
64.254.132.64,64.254.132.87,business,US,AS16617 
64.254.132.88,64.254.132.103,hosting,US,AS16617 
64.254.132.104,64.254.132.111,business,US,AS16617 
64.254.132.112,64.254.132.167,hosting,US,AS16617 
64.254.132.168,64.254.132.175,business,US,AS16617 
64.254.132.176,64.254.132.191,hosting,US,AS16617 
64.254.132.192,64.254.132.223,business,US,AS16617 
64.254.132.224,64.254.132.231,hosting,US,AS16617 
64.254.132.232,64.254.132.239,business,US,AS16617 
64.254.132.240,64.254.135.15,hosting,US,AS16617 
64.254.135.16,64.254.135.31,business,US,AS16617 
64.254.135.32,64.254.135.135,hosting,US,AS16617 
64.254.135.136,64.254.135.147,business,US,AS16617 
64.254.135.148,64.254.135.163,hosting,US,AS16617 
64.254.135.164,64.254.135.171,business,US,AS16617 
64.254.135.172,64.254.135.179,hosting,US,AS16617 
64.254.135.180,64.254.135.187,business,US,AS16617 
64.254.135.188,64.254.135.191,hosting,US,AS16617 
64.254.135.192,64.254.135.199,business,US,AS16617 
64.254.135.200,64.254.135.211,hosting,US,AS16617 
64.254.135.212,64.254.135.215,business,US,AS16617 
64.254.135.216,64.254.135.223,hosting,US,AS16617 
64.254.135.224,64.254.135.231,business,US,AS16617 
64.254.135.232,64.254.135.239,hosting,US,AS16617 
64.254.135.240,64.254.135.247,business,US,AS16617 
64.254.135.248,64.254.136.31,hosting,US,AS16617 
64.254.136.32,64.254.136.43,business,US,AS16617 
64.254.136.44,64.254.136.51,hosting,US,AS16617 
64.254.136.52,64.254.136.59,business,US,AS16617 
64.254.136.60,64.254.136.63,hosting,US,AS16617 
64.254.136.64,64.254.136.75,business,US,AS16617 
64.254.136.76,64.254.136.79,hosting,US,AS16617 
64.254.136.80,64.254.136.87,business,US,AS16617 
64.254.136.88,64.254.136.107,hosting,US,AS16617 
64.254.136.108,64.254.136.131,business,US,AS16617 
64.254.136.132,64.254.136.135,hosting,US,AS16617 
64.254.136.136,64.254.136.143,business,US,AS16617 
