64.209.12.216,64.209.12.223,business,RO,AS3549 
64.209.12.224,64.209.20.255,isp,US,AS3549 
64.209.21.0,64.209.21.255,business,GB,AS3549 
64.209.22.0,64.209.49.255,isp,US,AS3549 
64.209.50.0,64.209.51.255,business,US,AS3549 
64.209.52.0,64.209.55.255,isp,US,AS3549 
64.209.56.0,64.209.63.255,hosting,US,AS834 
64.209.64.0,64.209.67.255,isp,US,AS3549 
64.209.68.0,64.209.71.255,hosting,US,AS834 
64.209.72.0,64.209.88.255,isp,US,AS3549 
64.209.89.0,64.209.89.255,hosting,US,AS6404 
64.209.90.0,64.209.90.255,isp,US,AS3549 
64.209.91.0,64.209.91.255,business,US,AS3549 
64.209.92.0,64.209.114.255,isp,US,AS3549 
64.209.115.0,64.209.115.255,business,US,AS3549 
64.209.116.0,64.209.127.255,isp,US,AS3549 
64.209.128.0,64.209.128.31,isp,US,AS3561 
64.209.128.32,64.209.128.79,business,US,AS3561 
64.209.128.80,64.209.128.95,isp,US,AS3561 
64.209.128.96,64.209.128.111,business,US,AS3561 
64.209.128.112,64.209.128.127,isp,US,AS3561 
64.209.128.128,64.209.128.191,business,US,AS3561 
64.209.128.192,64.209.128.207,isp,US,AS3561 
64.209.128.208,64.209.128.223,business,US,AS3561 
64.209.128.224,64.209.128.239,isp,US,AS3561 
64.209.128.240,64.209.130.255,business,US,AS3561 
64.209.131.0,64.209.132.255,isp,US,AS3561 
64.209.133.0,64.209.133.255,business,US,AS3561 
64.209.134.0,64.209.135.255,hosting,US,AS14415 
64.209.136.0,64.209.136.255,isp,US,AS3561 
64.209.137.0,64.209.137.255,business,US,AS397691 
64.209.138.0,64.209.138.255,hosting,US,AS33087 
64.209.139.0,64.209.140.31,isp,US,AS3561 
64.209.140.32,64.209.140.63,business,US,AS3561 
64.209.140.64,64.209.140.127,isp,US,AS3561 
64.209.140.128,64.209.140.255,business,US,AS3561 
64.209.141.0,64.209.141.255,hosting,US,AS203 
64.209.142.0,64.209.142.255,hosting,US,AS14415 
64.209.143.0,64.209.143.63,business,US,AS3561 
64.209.143.64,64.209.143.127,isp,US,AS3561 
64.209.143.128,64.209.143.143,business,US,AS3561 
64.209.143.144,64.209.143.159,isp,US,AS3561 
64.209.143.160,64.209.143.191,business,US,AS3561 
64.209.143.192,64.209.143.255,isp,US,AS3561 
64.209.144.0,64.209.159.255,education,US,AS14860 
64.209.160.0,64.209.167.255,isp,US,AS3561 
64.209.168.0,64.209.168.127,business,US,AS3561 
