52.220.0.0,52.220.63.127,hosting,SG,AS16509 
52.220.63.128,52.220.63.191,hosting,US,AS16509 
52.220.63.192,52.220.127.175,hosting,SG,AS16509 
52.220.127.176,52.220.127.255,hosting,US,AS16509 
52.220.128.0,52.220.191.95,hosting,SG,AS16509 
52.220.191.96,52.220.191.127,hosting,US,AS16509 
52.220.191.128,52.220.191.207,hosting,SG,AS16509 
52.220.191.208,52.220.191.239,hosting,US,AS16509 
52.220.191.240,52.220.191.247,hosting,BR,AS16509 
52.220.191.248,52.220.191.251,hosting,SG,AS16509 
52.220.191.252,52.220.191.255,hosting,PL,AS16509 
52.220.192.0,52.220.255.239,hosting,SG,AS16509 
52.220.255.240,52.220.255.255,hosting,LU,AS16509 
